层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦 新增次留,0.1875,0.166667,0.125,0.133333,0.117647,0.111111,0.020833,12.5
1.1.吉布提,吉布提 新增次留,,,,0.0,0.0,,,
1.1.哈萨克斯坦,哈萨克斯坦 新增次留,0.166667,0.106383,0.050847,0.145833,0.095238,0.150943,0.060284,56.666667
1.1.哥伦比亚,哥伦比亚 新增次留,0.132653,0.085106,0.065934,0.097826,0.028846,0.117188,0.047547,55.867347
1.1.哥斯达黎加,哥斯达黎加 新增次留,0.1,0.0,0.2,0.384615,0.0,0.0,0.1,
1.1.喀麦隆,喀麦隆 新增次留,0.4,0.2,0.4,0.0,1.0,0.0,0.2,100.0
1.1.图瓦卢,图瓦卢 新增次留,,,,,,,,
1.1.土库曼斯坦,土库曼斯坦 新增次留,,,0.0,0.0,0.5,,,
1.1.土耳其,土耳其 新增次留,0.097278,0.079014,0.08105,0.090114,0.09629,0.087531,0.018264,23.114284
1.1.圣卢西亚,圣卢西亚 新增次留,,,,0.0,,,,
1.1.圣基茨和尼维斯,圣基茨和尼维斯 新增次留,,,,1.0,,,,
1.1.圣多美和普林西比,圣多美和普林西比 新增次留,,,,,,,,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 新增次留,0.0,,,,,,,
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 新增次留,,,,,,,,
1.1.圣马力诺,圣马力诺 新增次留,,,,,0.0,,,
1.1.圭亚那,圭亚那 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.坦桑尼亚,坦桑尼亚 新增次留,0.285714,0.25,0.2,0.3,0.0,0.0,0.035714,14.285714
1.1.埃及,埃及 新增次留,0.163265,0.226415,0.23913,0.103448,0.234568,0.05,-0.06315,-27.891156
1.1.埃塞俄比亚,埃塞俄比亚 新增次留,0.0,0.4,0.0,0.3,0.0,0.142857,-0.4,-100.0
1.1.基里巴斯,基里巴斯 新增次留,,,,,0.0,,,
1.1.塔吉克斯坦,塔吉克斯坦 新增次留,0.0,0.666667,0.0,0.0,0.0,0.0,-0.666667,-100.0
1.1.塞内加尔,塞内加尔 新增次留,0.0,0.0,0.2,0.416667,0.25,0.333333,0.0,
1.1.塞尔维亚,塞尔维亚 新增次留,0.2,0.038462,0.035714,0.192308,0.066667,0.096774,0.161538,420.0
1.1.塞拉利昂,塞拉利昂 新增次留,,0.0,,0.0,0.5,0.333333,,
1.1.塞浦路斯,塞浦路斯 新增次留,0.071429,0.285714,0.222222,0.416667,0.153846,0.0,-0.214286,-75.0
1.1.塞舌尔,塞舌尔 新增次留,0.0,0.0,,0.0,1.0,,0.0,
1.1.墨西哥,墨西哥 新增次留,0.073175,0.066224,0.076812,0.084303,0.054595,0.054824,0.00695,10.495234
1.1.多哥,多哥 新增次留,0.0,0.333333,0.0,0.0,0.333333,0.0,-0.333333,-100.0
1.1.多米尼克,多米尼克 新增次留,,,,,,,,
1.1.多米尼加,多米尼加 新增次留,0.28,0.071429,0.071429,0.176471,0.1875,0.333333,0.208571,292.0
1.1.奥兰群岛,奥兰群岛 新增次留,,,,,,,,
1.1.奥地利,奥地利 新增次留,0.047619,0.083333,0.166667,0.071429,0.147059,0.131579,-0.035714,-42.857143
1.1.委内瑞拉,委内瑞拉 新增次留,0.093023,0.121951,0.125,0.042553,0.093023,0.098361,-0.028928,-23.72093
1.1.孟加拉,孟加拉 新增次留,0.170543,0.18,0.150794,0.139037,0.20283,0.162921,-0.009457,-5.254091
1.1.安哥拉,安哥拉 新增次留,0.0,0.0,,0.333333,0.333333,0.0,0.0,
1.1.安圭拉,安圭拉 新增次留,0.0,0.0,,0.0,,,0.0,
1.1.安提瓜和巴布达,安提瓜和巴布达 新增次留,0.0,1.0,0.0,,0.0,,-1.0,-100.0
1.1.安道尔,安道尔 新增次留,0.0,,0.5,1.0,0.0,,,
1.1.密克罗尼西亚联邦,密克罗尼西亚联邦 新增次留,,,,,,,,
1.1.尼加拉瓜,尼加拉瓜 新增次留,0.2,0.333333,0.25,0.142857,0.0,0.5,-0.133333,-40.0
1.1.尼日利亚,尼日利亚 新增次留,0.235897,0.268293,0.229167,0.242775,0.296,0.193333,-0.032395,-12.074592
1.1.尼日尔,尼日尔 新增次留,1.0,0.0,0.0,,0.0,,1.0,
