层级,指标,本周,上周,2周前,3周前,4周前,5周前,wow,wow%
3.2.2.阿根廷,阿根廷 次日留存UV,968.285714,978.142857,916.571429,927.428571,961.0,946.428571,-9.857143,-1.007741
3.2.2.阿联酋,阿联酋 次日留存UV,477.714286,504.285714,519.857143,484.571429,649.0,471.428571,-26.571429,-5.269122
3.2.2.阿鲁巴,阿鲁巴 次日留存UV,39.142857,28.0,36.0,36.285714,33.857143,33.428571,11.142857,39.795918
3.2.2.韩国,韩国 次日留存UV,107.0,114.857143,106.0,98.285714,102.142857,123.714286,-7.857143,-6.840796
3.2.2.马尔代夫,马尔代夫 次日留存UV,37.142857,40.571429,41.714286,30.571429,42.285714,26.857143,-3.428571,-8.450704
3.2.2.马恩岛,马恩岛 次日留存UV,10.857143,8.285714,9.0,12.285714,12.285714,10.0,2.571429,31.034483
3.2.2.马拉维,马拉维 次日留存UV,10.428571,9.428571,12.571429,11.428571,15.428571,11.714286,1.0,10.606061
3.2.2.马提尼克岛,马提尼克岛 次日留存UV,2.428571,1.571429,0.714286,2.571429,2.714286,2.0,0.857143,54.545455
3.2.2.马来西亚,马来西亚 次日留存UV,158.571429,163.714286,155.714286,197.714286,205.0,160.285714,-5.142857,-3.141361
3.2.2.马约特,马约特 次日留存UV,0.0,0.0,0.75,0.0,0.0,0.0,0.0,
3.2.2.马绍尔群岛,马绍尔群岛 次日留存UV,0.0,0.0,0.0,0.0,0.0,0.25,0.0,
3.2.2.马耳他,马耳他 次日留存UV,124.428571,122.571429,120.714286,113.0,92.428571,100.857143,1.857143,1.515152
3.2.2.马达加斯加,马达加斯加 次日留存UV,8.285714,7.285714,9.714286,6.285714,8.428571,5.142857,1.0,13.72549
3.2.2.马里,马里 次日留存UV,33.428571,37.428571,44.714286,41.0,66.571429,25.714286,-4.0,-10.687023
3.2.2.黎巴嫩,黎巴嫩 次日留存UV,221.285714,248.428571,237.714286,228.857143,270.571429,198.857143,-27.142857,-10.925819
3.2.2.黑山,黑山 次日留存UV,283.714286,259.714286,255.857143,224.142857,235.857143,232.285714,24.0,9.240924
