渠道自然,国家,日期,平台,DAU,新老,_window,_query
整体,巴拿马,2026-07-06T00:00:00,整体,430.2857142857143,Old,recent_8w,全量维度
整体,布隆迪,2026-07-06T00:00:00,整体,1.6666666666666667,New,recent_8w,全量维度
整体,南非,2026-06-15T00:00:00,整体,2610.714285714286,Old,recent_8w,全量维度
整体,巴西,2026-06-15T00:00:00,iOS,197921.42857142858,Old,recent_8w,全量维度
整体,澳大利亚,2026-06-15T00:00:00,Android,954.2857142857143,Old,recent_8w,全量维度
整体,秘鲁,2026-06-15T00:00:00,Android,1442.0,Old,recent_8w,全量维度
整体,黑山,2026-06-22T00:00:00,整体,23.142857142857142,New,recent_8w,全量维度
整体,巴西,2026-06-15T00:00:00,iOS,6257.428571428572,New,recent_8w,全量维度
整体,布隆迪,2026-07-06T00:00:00,整体,40.0,Old,recent_8w,全量维度
整体,拉脱维亚,2026-06-29T00:00:00,整体,64.71428571428571,New,recent_8w,全量维度
整体,秘鲁,2026-07-06T00:00:00,Android,1388.7142857142858,Old,recent_8w,全量维度
整体,阿联酋,2026-07-13T00:00:00,iOS,1222.2857142857142,Old,recent_8w,全量维度
整体,利比里亚,2026-08-03T00:00:00,整体,33.714285714285715,New,recent_8w,全量维度
整体,南非,2026-07-06T00:00:00,iOS,1741.5714285714287,Old,recent_8w,全量维度
整体,尼日利亚,2026-07-20T00:00:00,整体,6457.142857142857,整体,recent_8w,全量维度
整体,爱沙尼亚,2026-07-13T00:00:00,Android,118.85714285714286,Old,recent_8w,全量维度
整体,香港,2026-07-13T00:00:00,整体,90.42857142857143,New,recent_8w,全量维度
整体,巴勒斯坦,2026-07-13T00:00:00,iOS,296.42857142857144,整体,recent_8w,全量维度
整体,香港,2026-07-20T00:00:00,整体,59.142857142857146,New,recent_8w,全量维度
整体,拉脱维亚,2026-07-27T00:00:00,Android,189.14285714285714,整体,recent_8w,全量维度
整体,波兰,2026-07-13T00:00:00,Android,831.0,整体,recent_8w,全量维度
整体,英国,2026-07-20T00:00:00,整体,40950.142857142855,整体,recent_8w,全量维度
整体,南非,2026-07-13T00:00:00,整体,2609.8571428571427,Old,recent_8w,全量维度
整体,伯利兹,2026-06-29T00:00:00,整体,59.285714285714285,Old,recent_8w,全量维度
整体,波兰,2026-06-29T00:00:00,iOS,2958.5714285714284,整体,recent_8w,全量维度
整体,整体,2026-06-29T00:00:00,整体,692342.4285714285,Old,recent_8w,全量维度
整体,巴拿马,2026-07-13T00:00:00,整体,445.42857142857144,整体,recent_8w,全量维度
整体,爱沙尼亚,2026-07-27T00:00:00,整体,731.1428571428571,Old,recent_8w,全量维度
整体,布隆迪,2026-07-27T00:00:00,iOS,6.857142857142857,整体,recent_8w,全量维度
整体,塞浦路斯,2026-07-06T00:00:00,Android,105.71428571428571,Old,recent_8w,全量维度
整体,爱沙尼亚,2026-07-20T00:00:00,Android,103.0,Old,recent_8w,全量维度
整体,拉脱维亚,2026-06-22T00:00:00,Android,7.714285714285714,New,recent_8w,全量维度
整体,波兰,2026-06-15T00:00:00,整体,3519.0,整体,recent_8w,全量维度
整体,尼日利亚,2026-06-22T00:00:00,iOS,625.0,New,recent_8w,全量维度
