渠道自然,国家,日期,平台,新老,_window,_query,活跃用户数,次日留存人数
整体,所罗门群岛,2026-06-15,Android,Old,recent_8w,全量维度,2.857142857142857,1.2857142857142858
整体,不丹,2026-06-15,整体,Old,recent_8w,全量维度,4.285714285714286,0.5714285714285714
整体,牙买加,2026-06-22,整体,New,recent_8w,全量维度,24.142857142857142,4.857142857142857
整体,圣马力诺,2026-06-29,整体,Old,recent_8w,全量维度,1.5,0.75
整体,毛里求斯,2026-07-13,iOS,整体,recent_8w,全量维度,88.0,37.142857142857146
整体,牙买加,2026-07-13,Android,整体,recent_8w,全量维度,66.57142857142857,23.142857142857142
整体,马提尼克岛,2026-07-13,Android,Old,recent_8w,全量维度,1.8,0.2
整体,莱索托,2026-07-13,iOS,整体,recent_8w,全量维度,8.0,2.7142857142857144
整体,突尼斯,2026-07-27,iOS,New,recent_8w,全量维度,29.142857142857142,6.0
整体,开曼群岛,2026-07-13,整体,整体,recent_8w,全量维度,36.857142857142854,14.571428571428571
整体,塞舌尔,2026-06-15,iOS,Old,recent_8w,全量维度,21.714285714285715,8.571428571428571
整体,马拉维,2026-07-20,整体,New,recent_8w,全量维度,7.0,2.0
整体,圣马力诺,2026-07-20,iOS,Old,recent_8w,全量维度,1.8333333333333333,0.5
整体,莱索托,2026-07-13,iOS,Old,recent_8w,全量维度,7.428571428571429,2.5714285714285716
整体,瓜德罗普,2026-07-06,整体,New,recent_8w,全量维度,1.0,0.25
整体,马提尼克岛,2026-07-06,iOS,New,recent_8w,全量维度,1.0,0.5
整体,圣文森特和格林纳丁斯,2026-07-13,整体,Old,recent_8w,全量维度,14.142857142857142,5.428571428571429
整体,荷属圣马丁,2026-06-22,iOS,整体,recent_8w,全量维度,18.857142857142858,10.857142857142858
整体,所罗门群岛,2026-07-06,Android,New,recent_8w,全量维度,1.6666666666666667,0.3333333333333333
整体,不丹,2026-06-08,整体,New,recent_8w,全量维度,1.0,0.0
整体,不丹,2026-07-13,整体,New,recent_8w,全量维度,1.0,0.0
整体,斯威士兰,2026-06-22,整体,Old,recent_8w,全量维度,11.714285714285714,4.857142857142857
整体,伯利兹,2026-06-15,iOS,Old,recent_8w,全量维度,43.42857142857143,13.285714285714286
整体,马拉维,2026-06-22,整体,New,recent_8w,全量维度,4.0,1.7142857142857142
整体,立陶宛,2026-06-15,整体,整体,recent_8w,全量维度,965.0,320.7142857142857
整体,马拉维,2026-07-06,iOS,Old,recent_8w,全量维度,29.285714285714285,10.428571428571429
整体,圣文森特和格林纳丁斯,2026-06-15,整体,Old,recent_8w,全量维度,11.857142857142858,4.0
整体,开曼群岛,2026-06-15,iOS,Old,recent_8w,全量维度,32.857142857142854,12.857142857142858
整体,塞舌尔,2026-07-20,iOS,整体,recent_8w,全量维度,39.42857142857143,18.142857142857142
整体,库克群岛,2026-06-22,iOS,Old,recent_8w,全量维度,4.666666666666667,1.8333333333333333
整体,法属圣马丁,2026-07-13,整体,Old,recent_8w,全量维度,5.857142857142857,3.2857142857142856
整体,库克群岛,2026-07-20,iOS,Old,recent_8w,全量维度,3.7142857142857144,1.8571428571428572
整体,百慕大,2026-07-06,整体,New,recent_8w,全量维度,1.75,1.0
整体,塞舌尔,2026-07-27,整体,New,recent_8w,全量维度,2.142857142857143,0.42857142857142855
整体,圣马力诺,2026-07-13,iOS,整体,recent_8w,全量维度,1.8,0.8
整体,突尼斯,2026-06-29,iOS,Old,recent_8w,全量维度,202.85714285714286,62.857142857142854
整体,伯利兹,2026-07-13,iOS,Old,recent_8w,全量维度,43.285714285714285,15.857142857142858
整体,圣马力诺,2026-07-06,整体,整体,recent_8w,全量维度,2.1666666666666665,0.6666666666666666
整体,斯威士兰,2026-07-27,整体,整体,recent_8w,全量维度,13.571428571428571,4.857142857142857
整体,塞舌尔,2026-06-29,整体,Old,recent_8w,全量维度,32.285714285714285,14.285714285714286
整体,英属维尔京群岛,2026-07-20,Android,整体,recent_8w,全量维度,2.0,0.3333333333333333
整体,圣马力诺,2026-07-27,Android,整体,recent_8w,全量维度,1.0,1.0
整体,立陶宛,2026-07-20,iOS,New,recent_8w,全量维度,43.142857142857146,6.571428571428571
整体,突尼斯,2026-07-20,整体,整体,recent_8w,全量维度,449.14285714285717,140.42857142857142
整体,直布罗陀,2026-07-06,iOS,整体,recent_8w,全量维度,29.857142857142858,9.428571428571429
整体,所罗门群岛,2026-07-20,Android,整体,recent_8w,全量维度,2.4285714285714284,1.4285714285714286
整体,卢森堡,2026-07-20,Android,Old,recent_8w,全量维度,20.571428571428573,9.571428571428571
整体,马拉维,2026-06-15,Android,New,recent_8w,全量维度,4.857142857142857,1.2857142857142858
整体,牙买加,2026-07-20,Android,New,recent_8w,全量维度,2.5714285714285716,0.2857142857142857
整体,毛里求斯,2026-07-20,iOS,整体,recent_8w,全量维度,80.0,32.142857142857146
整体,百慕大,2026-06-08,整体,整体,recent_8w,全量维度,34.0,13.0
整体,荷兰加勒比,2026-07-27,Android,Old,recent_8w,全量维度,2.1666666666666665,1.1666666666666667
整体,瓜德罗普,2026-06-08,整体,整体,recent_8w,全量维度,11.428571428571429,3.857142857142857
整体,开曼群岛,2026-06-15,iOS,New,recent_8w,全量维度,1.5714285714285714,0.14285714285714285
整体,圣马力诺,2026-06-08,iOS,New,recent_8w,全量维度,1.0,0.0
整体,斯威士兰,2026-07-13,整体,New,recent_8w,全量维度,1.0,1.0
整体,瓦努阿图,2026-06-29,iOS,New,recent_8w,全量维度,1.5,0.5
整体,赤道几内亚,2026-07-06,Android,Old,recent_8w,全量维度,3.7142857142857144,0.42857142857142855
整体,牙买加,2026-07-27,整体,Old,recent_8w,全量维度,458.7142857142857,165.0
整体,斯威士兰,2026-06-15,Android,Old,recent_8w,全量维度,5.857142857142857,1.4285714285714286
整体,卢森堡,2026-06-22,整体,Old,recent_8w,全量维度,131.28571428571428,48.142857142857146
整体,不丹,2026-06-08,Android,整体,recent_8w,全量维度,2.2857142857142856,0.2857142857142857
整体,荷兰加勒比,2026-07-13,Android,整体,recent_8w,全量维度,1.0,0.2
整体,荷兰加勒比,2026-06-29,整体,整体,recent_8w,全量维度,6.285714285714286,2.2857142857142856
整体,莱索托,2026-06-22,Android,Old,recent_8w,全量维度,6.428571428571429,2.4285714285714284
整体,格陵兰,2026-07-20,iOS,整体,recent_8w,全量维度,2.1666666666666665,0.0
整体,荷属圣马丁,2026-06-29,整体,整体,recent_8w,全量维度,25.714285714285715,14.571428571428571
整体,百慕大,2026-06-29,Android,Old,recent_8w,全量维度,4.714285714285714,1.8571428571428572
整体,格陵兰,2026-06-22,iOS,Old,recent_8w,全量维度,1.5714285714285714,0.42857142857142855
整体,马提尼克岛,2026-07-20,Android,Old,recent_8w,全量维度,1.8333333333333333,0.8333333333333334
整体,直布罗陀,2026-07-27,iOS,New,recent_8w,全量维度,1.75,0.5
整体,塞舌尔,2026-07-20,Android,Old,recent_8w,全量维度,10.142857142857142,5.285714285714286
整体,瓦努阿图,2026-07-27,Android,整体,recent_8w,全量维度,1.2,0.4
整体,开曼群岛,2026-06-29,整体,New,recent_8w,全量维度,2.0,0.5
整体,安圭拉,2026-07-27,整体,New,recent_8w,全量维度,1.6666666666666667,0.3333333333333333
