渠道自然,国家,日期,平台,_window,_query,DNU,新增次日留存人数
Organic,澳门,2026-06-08,整体,recent_8w,全量维度,1.0,0.0
整体,瑞典,2026-07-13,整体,recent_8w,全量维度,152.14285714285714,29.0
整体,加拿大,2026-07-13,整体,recent_8w,全量维度,530.7142857142857,72.0
整体,比利时,2026-07-06,整体,recent_8w,全量维度,61.285714285714285,11.0
Organic,多哥,2026-06-08,整体,recent_8w,全量维度,6.714285714285714,1.2857142857142858
Organic,瑞典,2026-07-06,整体,recent_8w,全量维度,128.71428571428572,22.571428571428573
non-Organic,瑞典,2026-06-22,整体,recent_8w,全量维度,15.714285714285714,1.7142857142857142
整体,南非,2026-06-15,整体,recent_8w,全量维度,97.14285714285714,17.285714285714285
整体,unknow,2026-06-22,整体,recent_8w,全量维度,2.0,0.2
non-Organic,多哥,2026-06-15,整体,recent_8w,全量维度,1.5,0.5
non-Organic,伊朗,2026-07-27,整体,recent_8w,全量维度,57.42857142857143,6.428571428571429
整体,多哥,2026-07-20,整体,recent_8w,全量维度,5.142857142857143,1.0
整体,卡塔尔,2026-07-20,整体,recent_8w,全量维度,11.285714285714286,2.4285714285714284
整体,伊朗,2026-07-20,整体,recent_8w,全量维度,603.4285714285714,84.0
Organic,比利时,2026-07-20,整体,recent_8w,全量维度,84.42857142857143,14.571428571428571
non-Organic,美国,2026-06-08,整体,recent_8w,全量维度,3266.5714285714284,410.0
Organic,巴基斯坦,2026-06-15,整体,recent_8w,全量维度,194.85714285714286,37.142857142857146
整体,坦桑尼亚,2026-07-13,整体,recent_8w,全量维度,21.0,4.142857142857143
整体,乌克兰,2026-06-08,整体,recent_8w,全量维度,454.7142857142857,82.57142857142857
Organic,玻利维亚,2026-06-29,整体,recent_8w,全量维度,25.428571428571427,5.428571428571429
整体,利比里亚,2026-07-06,整体,recent_8w,全量维度,30.571428571428573,3.4285714285714284
Organic,利比亚,2026-07-20,整体,recent_8w,全量维度,6.571428571428571,1.1428571428571428
non-Organic,以色列,2026-06-15,整体,recent_8w,全量维度,2.0,0.5
Organic,以色列,2026-07-20,整体,recent_8w,全量维度,93.57142857142857,16.571428571428573
Organic,比利时,2026-06-08,整体,recent_8w,全量维度,59.285714285714285,8.428571428571429
整体,比利时,2026-07-20,整体,recent_8w,全量维度,85.57142857142857,14.571428571428571
整体,墨西哥,2026-07-27,整体,recent_8w,全量维度,1808.0,297.2857142857143
Organic,unknow,2026-07-06,整体,recent_8w,全量维度,2.3333333333333335,0.16666666666666666
non-Organic,玻利维亚,2026-06-22,整体,recent_8w,全量维度,2.7142857142857144,0.14285714285714285
整体,以色列,2026-07-20,整体,recent_8w,全量维度,95.42857142857143,16.714285714285715
Organic,葡萄牙,2026-06-22,整体,recent_8w,全量维度,155.57142857142858,24.142857142857142
整体,利比亚,2026-07-06,整体,recent_8w,全量维度,12.0,1.0
整体,伊朗,2026-07-13,整体,recent_8w,全量维度,683.2857142857143,91.57142857142857
Organic,卡塔尔,2026-07-06,整体,recent_8w,全量维度,12.0,2.0
整体,捷克,2026-07-13,整体,recent_8w,全量维度,58.42857142857143,9.714285714285714
整体,墨西哥,2026-06-08,整体,recent_8w,全量维度,1392.7142857142858,140.42857142857142
整体,比利时,2026-06-08,整体,recent_8w,全量维度,62.0,8.428571428571429
non-Organic,爱沙尼亚,2026-07-06,整体,recent_8w,全量维度,2.0,0.3333333333333333
整体,南非,2026-06-08,整体,recent_8w,全量维度,86.42857142857143,15.285714285714286
Organic,利比里亚,2026-06-15,整体,recent_8w,全量维度,29.142857142857142,3.5714285714285716
整体,关岛,2026-07-06,整体,recent_8w,全量维度,1.0,0.3333333333333333
non-Organic,unknow,2026-06-15,整体,recent_8w,全量维度,1.0,0.0
non-Organic,意大利,2026-06-29,整体,recent_8w,全量维度,18.571428571428573,2.0
整体,加拿大,2026-06-08,整体,recent_8w,全量维度,511.42857142857144,66.57142857142857
Organic,关岛,2026-06-22,整体,recent_8w,全量维度,2.0,0.0
整体,法国,2026-07-27,整体,recent_8w,全量维度,967.7142857142857,169.57142857142858
non-Organic,斯洛伐克,2026-06-22,整体,recent_8w,全量维度,3.0,0.5
整体,巴基斯坦,2026-06-29,整体,recent_8w,全量维度,259.42857142857144,45.714285714285715
Organic,利比里亚,2026-06-22,整体,recent_8w,全量维度,29.714285714285715,6.428571428571429
Organic,比利时,2026-07-06,整体,recent_8w,全量维度,59.42857142857143,10.571428571428571
Organic,斐济,2026-06-08,整体,recent_8w,全量维度,1.4285714285714286,0.42857142857142855
non-Organic,捷克,2026-07-06,整体,recent_8w,全量维度,2.4,0.4
Organic,萨尔瓦多,2026-06-22,整体,recent_8w,全量维度,13.428571428571429,3.2857142857142856
整体,纳米比亚,2026-06-08,整体,recent_8w,全量维度,3.8333333333333335,1.3333333333333333
non-Organic,萨尔瓦多,2026-07-27,整体,recent_8w,全量维度,2.0,0.2
整体,捷克,2026-06-08,整体,recent_8w,全量维度,59.714285714285715,10.142857142857142
整体,多哥,2026-06-08,整体,recent_8w,全量维度,7.0,1.2857142857142858
整体,加拿大,2026-06-15,整体,recent_8w,全量维度,794.2857142857143,85.0
整体,斯洛伐克,2026-06-29,整体,recent_8w,全量维度,21.142857142857142,3.142857142857143
Organic,坦桑尼亚,2026-06-29,整体,recent_8w,全量维度,21.142857142857142,3.857142857142857
non-Organic,萨尔瓦多,2026-06-29,整体,recent_8w,全量维度,2.0,0.3333333333333333
整体,蒙古,2026-07-20,整体,recent_8w,全量维度,6.285714285714286,0.5714285714285714
Organic,斐济,2026-07-13,整体,recent_8w,全量维度,2.6666666666666665,0.6666666666666666
整体,美国,2026-07-27,整体,recent_8w,全量维度,6002.0,841.7142857142857
Organic,美国,2026-07-06,整体,recent_8w,全量维度,4269.428571428572,602.1428571428571
整体,斯洛伐克,2026-07-27,整体,recent_8w,全量维度,23.714285714285715,3.857142857142857
non-Organic,斯洛伐克,2026-07-20,整体,recent_8w,全量维度,1.75,0.0
Organic,加拿大,2026-06-29,整体,recent_8w,全量维度,500.57142857142856,69.71428571428571
整体,多哥,2026-06-15,整体,recent_8w,全量维度,7.285714285714286,1.5714285714285714
整体,利比亚,2026-06-22,整体,recent_8w,全量维度,10.142857142857142,1.1428571428571428
整体,美国,2026-06-15,整体,recent_8w,全量维度,6699.857142857143,919.5714285714286
整体,比利时,2026-06-22,整体,recent_8w,全量维度,59.857142857142854,9.285714285714286
non-Organic,斐济,2026-06-15,整体,recent_8w,全量维度,1.0,0.0
non-Organic,以色列,2026-07-20,整体,recent_8w,全量维度,2.1666666666666665,0.16666666666666666
non-Organic,捷克,2026-06-29,整体,recent_8w,全量维度,3.142857142857143,0.42857142857142855
Organic,葡萄牙,2026-07-27,整体,recent_8w,全量维度,237.14285714285714,42.57142857142857
non-Organic,巴基斯坦,2026-07-06,整体,recent_8w,全量维度,7.428571428571429,1.4285714285714286
整体,关岛,2026-06-29,整体,recent_8w,全量维度,3.0,0.0
Organic,哈萨克斯坦,2026-07-27,整体,recent_8w,全量维度,205.71428571428572,35.857142857142854
整体,南非,2026-07-20,整体,recent_8w,全量维度,84.57142857142857,13.285714285714286
non-Organic,乌克兰,2026-06-15,整体,recent_8w,全量维度,21.857142857142858,2.7142857142857144
Organic,斯洛伐克,2026-07-20,整体,recent_8w,全量维度,21.857142857142858,4.142857142857143
Organic,法国,2026-07-20,整体,recent_8w,全量维度,496.14285714285717,89.28571428571429
non-Organic,巴基斯坦,2026-06-29,整体,recent_8w,全量维度,6.142857142857143,1.0
non-Organic,法国,2026-06-22,整体,recent_8w,全量维度,47.857142857142854,5.714285714285714
整体,巴基斯坦,2026-07-06,整体,recent_8w,全量维度,332.0,57.142857142857146
Organic,巴基斯坦,2026-07-20,整体,recent_8w,全量维度,219.28571428571428,40.57142857142857
Organic,法国,2026-06-15,整体,recent_8w,全量维度,309.2857142857143,52.857142857142854
Organic,伊朗,2026-06-29,整体,recent_8w,全量维度,1730.142857142857,279.14285714285717
non-Organic,爱沙尼亚,2026-06-29,整体,recent_8w,全量维度,2.2857142857142856,0.42857142857142855
Organic,法国,2026-07-13,整体,recent_8w,全量维度,347.14285714285717,54.57142857142857
non-Organic,南非,2026-06-15,整体,recent_8w,全量维度,3.142857142857143,0.42857142857142855
整体,斐济,2026-06-22,整体,recent_8w,全量维度,1.8333333333333333,0.0
