渠道自然,国家,日期,平台,新老,付费状态,版本,一级功能,二级功能,_window,_query,保存 UV
整体,英国,2026-07-20,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,26046.285714285714
整体,美国,2026-07-06,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,3103.0
整体,英国,2026-07-20,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,25054.14285714286
整体,美国,2026-06-29,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,86100.14285714286
整体,巴西,2026-07-13,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,203239.57142857142
整体,美国,2026-06-08,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,61870.71428571428
整体,巴西,2026-06-29,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,6688.285714285715
整体,英国,2026-06-22,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,26697.25
整体,英国,2026-07-27,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,25021.714285714286
整体,巴西,2026-07-06,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,211178.57142857142
整体,美国,2026-06-22,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,81354.75
整体,巴西,2026-06-22,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,218299.0
整体,美国,2026-06-29,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,83523.28571428571
整体,整体,2026-07-13,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,20726.285714285714
整体,巴西,2026-07-13,整体,整体,整体,整体,视频编辑,整体,recent_8w,周报维度,7144.571428571428
整体,整体,2026-06-22,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,483554.28571428574
整体,美国,2026-06-22,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,78994.5
整体,巴西,2026-06-15,整体,整体,整体,整体,整体,整体,recent_8w,周报维度,205108.42857142858
整体,巴西,2026-06-29,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,206733.85714285713
整体,整体,2026-07-06,整体,整体,整体,整体,图片编辑,整体,recent_8w,周报维度,478757.0
