渠道自然,国家,日期,平台,DNU,_window,_query
整体,以色列,2026-06-29T00:00:00,Android,45.285714285714285,recent_8w,全量维度
整体,加拿大,2026-06-22T00:00:00,Android,60.857142857142854,recent_8w,全量维度
non-Organic,玻利维亚,2026-06-08T00:00:00,整体,3.4285714285714284,recent_8w,全量维度
non-Organic,以色列,2026-07-27T00:00:00,Android,2.1666666666666665,recent_8w,全量维度
整体,斐济,2026-07-06T00:00:00,整体,1.8571428571428572,recent_8w,全量维度
整体,unknow,2026-07-27T00:00:00,Android,1.6,recent_8w,全量维度
Organic,美国,2026-06-15T00:00:00,整体,3632.5714285714284,recent_8w,全量维度
Organic,斯洛伐克,2026-06-15T00:00:00,整体,18.714285714285715,recent_8w,全量维度
整体,葡萄牙,2026-06-29T00:00:00,整体,180.14285714285714,recent_8w,全量维度
Organic,哈萨克斯坦,2026-06-08T00:00:00,Android,22.428571428571427,recent_8w,全量维度
Organic,利比亚,2026-06-29T00:00:00,Android,4.285714285714286,recent_8w,全量维度
整体,比利时,2026-06-15T00:00:00,整体,63.0,recent_8w,全量维度
Organic,南非,2026-07-06T00:00:00,整体,119.28571428571429,recent_8w,全量维度
Organic,葡萄牙,2026-07-20T00:00:00,整体,181.57142857142858,recent_8w,全量维度
Organic,意大利,2026-06-22T00:00:00,iOS,324.85714285714283,recent_8w,全量维度
整体,坦桑尼亚,2026-06-08T00:00:00,整体,22.285714285714285,recent_8w,全量维度
整体,蒙古,2026-06-08T00:00:00,iOS,6.285714285714286,recent_8w,全量维度
non-Organic,捷克,2026-06-29T00:00:00,Android,1.8333333333333333,recent_8w,全量维度
Organic,美国,2026-06-29T00:00:00,Android,2065.714285714286,recent_8w,全量维度
Organic,捷克,2026-06-15T00:00:00,整体,49.0,recent_8w,全量维度
整体,蒙古,2026-07-27T00:00:00,Android,1.4,recent_8w,全量维度
non-Organic,利比里亚,2026-06-08T00:00:00,Android,1.0,recent_8w,全量维度
non-Organic,蒙古,2026-06-15T00:00:00,整体,1.0,recent_8w,全量维度
non-Organic,墨西哥,2026-06-15T00:00:00,整体,1076.4285714285713,recent_8w,全量维度
Organic,萨尔瓦多,2026-06-29T00:00:00,整体,14.571428571428571,recent_8w,全量维度
non-Organic,萨尔瓦多,2026-06-29T00:00:00,Android,1.5,recent_8w,全量维度
non-Organic,瑞典,2026-06-08T00:00:00,Android,1.6666666666666667,recent_8w,全量维度
non-Organic,以色列,2026-07-06T00:00:00,整体,12.142857142857142,recent_8w,全量维度
整体,美国,2026-06-29T00:00:00,Android,2553.5714285714284,recent_8w,全量维度
Organic,墨西哥,2026-06-22T00:00:00,Android,214.42857142857142,recent_8w,全量维度
non-Organic,哈萨克斯坦,2026-06-29T00:00:00,iOS,4.142857142857143,recent_8w,全量维度
Organic,伊朗,2026-06-29T00:00:00,Android,1502.142857142857,recent_8w,全量维度
整体,玻利维亚,2026-07-06T00:00:00,整体,32.857142857142854,recent_8w,全量维度
Organic,关岛,2026-06-22T00:00:00,Android,1.0,recent_8w,全量维度
Organic,以色列,2026-07-06T00:00:00,iOS,78.0,recent_8w,全量维度
整体,蒙古,2026-06-29T00:00:00,iOS,5.0,recent_8w,全量维度
整体,多哥,2026-07-27T00:00:00,整体,6.571428571428571,recent_8w,全量维度
整体,美国,2026-07-20T00:00:00,iOS,5156.714285714285,recent_8w,全量维度
non-Organic,爱沙尼亚,2026-07-20T00:00:00,iOS,1.6,recent_8w,全量维度
Organic,伊朗,2026-07-13T00:00:00,整体,596.0,recent_8w,全量维度
Organic,利比亚,2026-07-13T00:00:00,整体,9.714285714285714,recent_8w,全量维度
Organic,利比亚,2026-07-06T00:00:00,iOS,5.142857142857143,recent_8w,全量维度
Organic,斐济,2026-07-13T00:00:00,iOS,2.0,recent_8w,全量维度
non-Organic,捷克,2026-07-13T00:00:00,iOS,1.8,recent_8w,全量维度
Organic,乌克兰,2026-07-06T00:00:00,整体,449.57142857142856,recent_8w,全量维度
Organic,意大利,2026-06-22T00:00:00,Android,67.0,recent_8w,全量维度
Organic,以色列,2026-06-29T00:00:00,Android,27.857142857142858,recent_8w,全量维度
整体,卡塔尔,2026-06-15T00:00:00,整体,12.571428571428571,recent_8w,全量维度
整体,美国,2026-07-20T00:00:00,整体,5720.142857142857,recent_8w,全量维度
整体,萨尔瓦多,2026-07-27T00:00:00,iOS,11.714285714285714,recent_8w,全量维度
整体,斐济,2026-07-20T00:00:00,整体,2.6,recent_8w,全量维度
non-Organic,葡萄牙,2026-07-13T00:00:00,iOS,4.857142857142857,recent_8w,全量维度
Organic,意大利,2026-06-29T00:00:00,整体,413.14285714285717,recent_8w,全量维度
non-Organic,南非,2026-06-29T00:00:00,Android,18.857142857142858,recent_8w,全量维度
non-Organic,斯洛伐克,2026-06-15T00:00:00,整体,1.5,recent_8w,全量维度
Organic,加拿大,2026-07-20T00:00:00,iOS,402.0,recent_8w,全量维度
整体,斐济,2026-07-13T00:00:00,Android,1.0,recent_8w,全量维度
整体,巴基斯坦,2026-06-29T00:00:00,iOS,56.0,recent_8w,全量维度
整体,利比里亚,2026-06-22T00:00:00,Android,17.0,recent_8w,全量维度
整体,法国,2026-07-27T00:00:00,整体,967.7142857142857,recent_8w,全量维度
Organic,斯洛伐克,2026-07-06T00:00:00,iOS,17.428571428571427,recent_8w,全量维度
整体,关岛,2026-07-27T00:00:00,iOS,1.5,recent_8w,全量维度
Organic,意大利,2026-06-15T00:00:00,iOS,346.42857142857144,recent_8w,全量维度
Organic,比利时,2026-07-06T00:00:00,整体,59.42857142857143,recent_8w,全量维度
Organic,玻利维亚,2026-06-08T00:00:00,Android,16.857142857142858,recent_8w,全量维度
整体,玻利维亚,2026-07-06T00:00:00,Android,23.0,recent_8w,全量维度
Organic,利比里亚,2026-06-22T00:00:00,整体,29.714285714285715,recent_8w,全量维度
整体,巴基斯坦,2026-06-29T00:00:00,整体,259.42857142857144,recent_8w,全量维度
Organic,乌克兰,2026-07-06T00:00:00,iOS,395.14285714285717,recent_8w,全量维度
整体,法国,2026-06-22T00:00:00,Android,76.71428571428571,recent_8w,全量维度
Organic,蒙古,2026-06-29T00:00:00,iOS,4.857142857142857,recent_8w,全量维度
Organic,玻利维亚,2026-07-13T00:00:00,Android,17.714285714285715,recent_8w,全量维度
non-Organic,卡塔尔,2026-07-06T00:00:00,Android,1.0,recent_8w,全量维度
Organic,斐济,2026-06-08T00:00:00,整体,1.4285714285714286,recent_8w,全量维度
non-Organic,斯洛伐克,2026-06-22T00:00:00,整体,3.0,recent_8w,全量维度
non-Organic,捷克,2026-07-06T00:00:00,整体,2.4,recent_8w,全量维度
