name,desc,launch,feature_requested,feature_resolved,feature_candidates_tried,level1,before_start,before_end,after_start,after_end,before_avg_enter_save_rate,after_avg_enter_save_rate,relative_change,relative_change_pct,before_avg_enter_penetration,after_avg_enter_penetration,penetration_relative_change,penetration_relative_change_pct,summary_eligible,summary_rule,status,note,gate_label,before_days,after_days,feature_match_note
Retouch新增多族裔效果,Retouch 新增多族裔效果,20260520,Retouch,AI Retouch,"['Retouch', 'AI Retouch']",图片编辑,20260506,20260519,20260520,20260602,0.338897,0.355196,0.048094,4.81,0.148974,0.149539,0.003795,0.38,False,,未达总结入选门槛,AI Retouch 保存率相对变动 4.8% (33.9%→35.5%)；渗透率相对变动 0.4% (14.9%→15.0%)；未达规则1/规则2,否,14,14,原名「Retouch」取数无效，回退匹配「AI Retouch」
Tattoo新增纹身分割,Tattoo 新增纹身分割,20260520,Tattoo,AI Tattoo,"['Tattoo', 'AI Tattoo']",图片编辑,20260506,20260519,20260520,20260602,0.070715,0.068861,-0.026205,-2.62,0.007313,0.007676,0.049675,4.97,False,,未达总结入选门槛,AI Tattoo 保存率相对变动 -2.6% (7.1%→6.9%)；渗透率相对变动 5.0% (0.7%→0.8%)；未达规则1/规则2,否,14,14,原名「Tattoo」取数无效，回退匹配「AI Tattoo」
局部妆支持AI能力,局部妆支持 AI 能力,20260608,Makeup,Makeup,['Makeup'],图片编辑,20260525,20260607,20260608,20260621,0.606257,0.624251,0.02968,2.97,0.164584,0.151305,-0.080686,-8.07,False,,未达总结入选门槛,Makeup 保存率相对变动 3.0% (60.6%→62.4%)；渗透率相对变动 -8.1% (16.5%→15.1%)；未达规则1/规则2,否,14,14,
Hair新增多人识别,Hair 新增多人识别,20260617,Hair,Hair,['Hair'],图片编辑,20260603,20260616,20260617,20260630,0.30637,0.325277,0.061712,6.17,0.081182,0.085283,0.050524,5.05,True,规则1,入选总结（规则1）,Hair 进入保存率上涨 6.2% (30.6%→32.5%)；进入渗透率相对变动 5.1%（>-3%）,是（规则1）,14,14,
Hair loading组件统一,Hair loading 组件统一,20260617,Hair,Hair,['Hair'],图片编辑,20260603,20260616,20260617,20260630,0.30637,0.325277,0.061712,6.17,0.081182,0.085283,0.050524,5.05,True,规则1,入选总结（规则1）,Hair 进入保存率上涨 6.2% (30.6%→32.5%)；进入渗透率相对变动 5.1%（>-3%）,是（规则1）,14,14,
Teeth新增去牙渍,Teeth 新增去牙渍,20260617,Teeth,Teeth,['Teeth'],图片编辑,20260603,20260616,20260617,20260630,0.823466,0.794165,-0.035582,-3.56,0.063716,0.069099,0.084495,8.45,False,,未达总结入选门槛,Teeth 保存率相对变动 -3.6% (82.3%→79.4%)；渗透率相对变动 8.4% (6.4%→6.9%)；未达规则1/规则2,否,14,14,
Retouch&Face新增3D骨相还原,Retouch&Face 新增 3D 骨相还原,20260617,Face,Face,['Face'],图片编辑,20260603,20260616,20260617,20260630,0.474342,0.464435,-0.020886,-2.09,0.218066,0.239113,0.096518,9.65,False,,未达总结入选门槛,Face 保存率相对变动 -2.1% (47.4%→46.4%)；渗透率相对变动 9.7% (21.8%→23.9%)；未达规则1/规则2,否,14,14,
Face新增提拉Pro,Face 新增提拉 Pro,20260617,Face,Face,['Face'],图片编辑,20260603,20260616,20260617,20260630,0.474342,0.464435,-0.020886,-2.09,0.218066,0.239113,0.096518,9.65,False,,未达总结入选门槛,Face 保存率相对变动 -2.1% (47.4%→46.4%)；渗透率相对变动 9.7% (21.8%→23.9%)；未达规则1/规则2,否,14,14,
Repair支持批量,Repair 支持批量,20260617,AI Repair,AI Repair,['AI Repair'],图片编辑,20260603,20260616,20260617,20260630,0.398476,0.383067,-0.038668,-3.87,0.040583,0.044215,0.089496,8.95,False,,未达总结入选门槛,AI Repair 保存率相对变动 -3.9% (39.8%→38.3%)；渗透率相对变动 8.9% (4.1%→4.4%)；未达规则1/规则2,否,14,14,
