层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.北马里亚纳群岛,北马里亚纳群岛 DNU,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.南苏丹,南苏丹 DNU,6.857143,6.142857,6.142857,6.857143,8.0,6.857143,6.285714,5.0,0.714286,11.627907,0.714286,0.429553,0.00169
1.1.南非,南非 DNU,4.0,3.142857,2.857143,2.857143,3.714286,4.0,4.857143,5.0,0.857143,27.272727,0.857143,0.515464,0.002027
1.1.博茨瓦纳,博茨瓦纳 DNU,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.601375,0.002365
1.1.卡塔尔,卡塔尔 DNU,2.166667,2.0,1.0,2.0,2.0,2.5,2.25,1.333333,0.166667,8.333333,0.166667,0.100229,0.000394
1.1.卢旺达,卢旺达 DNU,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.601375,0.002365
1.1.卢森堡,卢森堡 DNU,1.333333,1.0,1.0,1.0,1.333333,1.0,1.333333,1.0,0.333333,33.333333,0.333333,0.200458,0.000788
1.1.印度,印度 DNU,26.714286,24.0,20.285714,23.714286,24.714286,21.714286,32.428571,33.714286,2.714286,11.309524,2.714286,1.632303,0.00642
1.1.印度尼西亚,印度尼西亚 DNU,6.285714,6.857143,5.285714,5.857143,4.571429,5.285714,8.0,8.428571,-0.571429,-8.333333,-0.571429,-0.343643,-0.001352
1.1.危地马拉,危地马拉 DNU,3.0,3.857143,3.0,3.5,2.333333,2.857143,4.0,5.428571,-0.857143,-22.222222,-0.857143,-0.515464,-0.002027
1.1.厄瓜多尔,厄瓜多尔 DNU,5.285714,4.166667,2.571429,4.0,4.428571,6.0,5.142857,7.857143,1.119048,26.857143,1.119048,0.672967,0.002647
1.1.叙利亚,叙利亚 DNU,4.142857,3.142857,6.0,6.571429,2.428571,2.571429,3.142857,4.0,1.0,31.818182,1.0,0.601375,0.002365
1.1.古巴,古巴 DNU,1.166667,1.0,1.5,1.6,1.5,1.0,1.5,1.333333,0.166667,16.666667,0.166667,0.100229,0.000394
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦 DNU,2.666667,1.2,2.666667,2.142857,2.428571,1.5,2.428571,4.2,1.466667,122.222222,1.466667,0.882016,0.003469
1.1.吉布提,吉布提 DNU,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.哈萨克斯坦,哈萨克斯坦 DNU,7.714286,6.714286,8.428571,6.857143,9.0,7.571429,9.0,14.571429,1.0,14.893617,1.0,0.601375,0.002365
1.1.哥伦比亚,哥伦比亚 DNU,14.0,13.428571,13.0,13.142857,14.857143,18.285714,19.0,23.428571,0.571429,4.255319,0.571429,0.343643,0.001352
1.1.哥斯达黎加,哥斯达黎加 DNU,4.0,3.25,1.25,1.857143,1.833333,1.285714,1.833333,2.833333,0.75,23.076923,0.75,0.451031,0.001774
1.1.喀麦隆,喀麦隆 DNU,1.25,1.666667,1.666667,1.25,1.0,2.0,1.5,0.0,-0.416667,-25.0,-0.416667,-0.250573,-0.000986
