层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.拉脱维亚,拉脱维亚 新增UV,61.428571,52.0,66.285714,51.285714,56.0,39.0,29.571429,31.857143,9.428571,18.131868,1.30295e-05,-18.613504,0.009118
2.2.挪威,挪威 新增UV,46.857143,83.857143,100.428571,89.0,71.0,49.571429,31.142857,27.857143,-37.0,-44.122658,7.2349e-06,-10.335542,0.005063
2.2.捷克,捷克 新增UV,50.142857,49.0,54.571429,54.428571,62.428571,54.142857,42.0,40.142857,1.142857,2.332362,4.482e-07,-0.640262,0.000314
2.2.摩尔多瓦,摩尔多瓦 新增UV,36.857143,26.571429,35.428571,41.142857,41.285714,43.142857,46.0,57.428571,10.285714,38.709677,9.5468e-06,-13.638288,0.006681
2.2.摩洛哥,摩洛哥 新增UV,68.571429,62.285714,62.428571,69.714286,87.285714,71.571429,85.428571,85.0,6.285714,10.091743,1.961e-07,-0.280174,0.000137
2.2.摩纳哥,摩纳哥 新增UV,1.2,1.666667,1.0,1.5,1.333333,0.0,1.666667,1.0,-0.466667,-28.0,-2.1291e-06,3.041575,-0.00149
2.2.文莱,文莱 新增UV,1.75,1.833333,1.166667,2.0,1.25,1.285714,1.4,1.8,-0.083333,-4.545455,-6.105e-07,0.872199,-0.000427
2.2.斐济,斐济 新增UV,1.666667,2.2,1.428571,2.857143,2.666667,2.2,2.0,3.571429,-0.533333,-24.242424,1.818e-06,-2.597175,0.001272
2.2.斯威士兰,斯威士兰 新增UV,1.0,1.333333,1.5,1.75,1.0,1.0,1.0,1.666667,-0.333333,-25.0,1.1357e-06,-1.622449,0.000795
2.2.斯洛伐克,斯洛伐克 新增UV,20.571429,18.714286,23.142857,26.0,23.0,25.285714,18.428571,21.857143,1.857143,9.923664,7.291e-07,-1.041526,0.00051
2.2.斯洛文尼亚,斯洛文尼亚 新增UV,14.0,14.142857,15.0,13.857143,11.285714,10.0,9.428571,10.428571,-0.142857,-1.010101,-5e-08,0.071409,-3.5e-05
