层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体 新增次留,0.141583,0.136161,0.142303,0.142372,0.144165,0.134085,0.138158,0.136863,0.005422,3.981948
1.1,渠道 新增次留,0.105862,0.101853,0.110935,0.107046,0.105954,0.095577,0.095517,0.092436,0.004009,3.936384
1.1.unknow,unknow 新增次留,,,0.0,0.0,,,,,,
1.1.不丹,不丹 新增次留,,,,,,1.0,,1.0,,
1.1.东帝汶,东帝汶 新增次留,,,,,,,,0.0,,
1.1.中国,中国 新增次留,0.333333,0.0,0.142857,0.0,0.0,0.5,1.0,0.0,0.333333,
1.1.中国台湾,中国台湾 新增次留,0.333333,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.083333,33.333333
1.1.中国澳门,中国澳门 新增次留,,,,,0.0,,0.0,0.0,,
1.1.中国香港,中国香港 新增次留,0.116608,0.131266,0.127731,0.130952,0.289157,0.2,0.146341,0.333333,-0.014658,-11.166912
1.1.中非,中非 新增次留,,,,,,,,,,
1.1.丹麦,丹麦 新增次留,0.0,0.066667,0.333333,0.25,0.0,0.428571,0.142857,0.222222,-0.066667,-100.0
1.1.乌克兰,乌克兰 新增次留,0.083333,0.134615,0.124294,0.124183,0.120805,0.134615,0.142045,0.106061,-0.051282,-38.095238
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.0,0.04878,0.1,0.076923,0.15,0.115385,0.086957,0.033333,-0.04878,-100.0
1.1.乌干达,乌干达 新增次留,0.333333,0.0,0.333333,0.5,0.0,0.666667,0.0,0.285714,0.333333,
1.1.乌拉圭,乌拉圭 新增次留,0.166667,0.071429,0.0,0.0,0.0,0.111111,0.0,0.105263,0.095238,133.333333
1.1.乍得,乍得 新增次留,,,,,,0.0,,0.0,,
1.1.也门,也门 新增次留,,,1.0,,,0.0,0.0,,,
1.1.亚美尼亚,亚美尼亚 新增次留,0.222222,0.166667,0.157895,0.0,0.166667,0.222222,0.142857,0.0,0.055556,33.333333
1.1.以色列,以色列 新增次留,0.176471,0.233083,0.055556,0.25,0.0,0.0,0.16,0.153846,-0.056612,-24.288425
1.1.伊拉克,伊拉克 新增次留,0.119403,0.12069,0.137255,0.068182,0.152174,0.148936,0.206897,0.108108,-0.001287,-1.066098
1.1.伊朗,伊朗 新增次留,0.105027,0.117056,0.123519,0.134387,0.17847,0.141343,0.189024,0.5,-0.012029,-10.27626
1.1.伯利兹,伯利兹 新增次留,0.0,0.0,,,0.0,0.0,,0.0,0.0,
1.1.佛得角,佛得角 新增次留,0.25,0.333333,1.0,0.0,,1.0,0.0,0.0,-0.083333,-25.0
1.1.俄罗斯,俄罗斯 新增次留,0.103229,0.121517,0.10098,0.115464,0.103844,0.106642,0.102922,0.1034,-0.018288,-15.049732
1.1.保加利亚,保加利亚 新增次留,0.086957,0.057143,0.142857,0.333333,0.095238,0.058824,0.454545,0.0,0.029814,52.173913
1.1.克罗地亚,克罗地亚 新增次留,0.533333,0.285714,0.192308,0.473684,0.25,0.0,0.48,0.117647,0.247619,86.666667
1.1.关岛,关岛 新增次留,0.0,,0.0,0.0,,,0.5,,,
1.1.冈比亚,冈比亚 新增次留,0.153846,0.307692,0.166667,0.1,0.066667,0.3,0.333333,0.333333,-0.153846,-50.0
1.1.冰岛,冰岛 新增次留,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,
1.1.几内亚,几内亚 新增次留,0.0,0.0,0.333333,0.0,0.0,1.0,,0.0,0.0,
1.1.几内亚比绍,几内亚比绍 新增次留,,1.0,,,,,,,,
1.1.列支敦士登,列支敦士登 新增次留,0.0,,,,,,,,,
1.1.刚果共和国,刚果共和国 新增次留,0.0,,0.0,,,0.0,0.0,,,
1.1.刚果民主共和国,刚果民主共和国 新增次留,0.25,0.2,1.0,0.5,0.333333,0.25,0.0,0.0,0.05,25.0
1.1.利比亚,利比亚 新增次留,0.25,0.5,0.333333,0.5,0.2,0.0,0.0,0.0,-0.25,-50.0
1.1.利比里亚,利比里亚 新增次留,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333333,0.0,
1.1.加拿大,加拿大 新增次留,0.106908,0.079893,0.105488,0.086106,0.081408,0.072362,0.063628,0.068515,0.027014,33.813048
1.1.加纳,加纳 新增次留,0.184211,0.205882,0.2,0.184211,0.257143,0.190476,0.357143,0.354839,-0.021672,-10.526316
1.1.加蓬,加蓬 新增次留,,,,,0.0,,,0.0,,
1.1.匈牙利,匈牙利 新增次留,0.2,0.0,0.0,0.111111,0.0,0.153846,0.111111,0.0,0.2,
1.1.北马其顿,北马其顿 新增次留,0.2,0.0,0.333333,0.5,0.0,0.166667,0.428571,0.166667,0.2,
1.1.北马里亚纳群岛,北马里亚纳群岛 新增次留,,,,,,0.0,,,,
1.1.南苏丹,南苏丹 新增次留,0.280702,0.254902,0.166667,0.139535,0.348837,0.25,0.142857,0.479167,0.0258,10.121457
1.1.南非,南非 新增次留,0.260274,0.163121,0.125,0.136364,0.2,0.2,0.076923,0.214286,0.097153,59.559261
1.1.博茨瓦纳,博茨瓦纳 新增次留,,0.0,0.0,,,,0.0,0.0,,
1.1.卡塔尔,卡塔尔 新增次留,0.0,0.142857,0.153846,0.25,0.0,0.125,0.1,0.2,-0.142857,-100.0
1.1.卢旺达,卢旺达 新增次留,0.0,0.333333,0.25,,0.0,1.0,,,-0.333333,-100.0
1.1.卢森堡,卢森堡 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,
1.1.印度,印度 新增次留,0.209424,0.227488,0.192513,0.154762,0.190141,0.198795,0.190751,0.177632,-0.018064,-7.940663
1.1.印度尼西亚,印度尼西亚 新增次留,0.149254,0.12987,0.090909,0.104167,0.135135,0.219512,0.15625,0.162162,0.019384,14.925373
1.1.危地马拉,危地马拉 新增次留,0.038462,0.117647,0.133333,0.0,0.0,0.0,0.142857,0.1,-0.079186,-67.307692
1.1.厄瓜多尔,厄瓜多尔 新增次留,0.117647,0.185185,0.216216,0.08,0.055556,0.035714,0.16129,0.071429,-0.067538,-36.470588
1.1.叙利亚,叙利亚 新增次留,0.138889,0.121951,0.137931,0.227273,0.166667,0.152174,0.117647,0.166667,0.016938,13.888889
1.1.古巴,古巴 新增次留,0.0,0.5,0.142857,0.0,0.166667,0.5,0.0,0.0,-0.5,-100.0
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦 新增次留,0.0,0.166667,0.1875,0.166667,0.125,0.133333,0.117647,0.111111,-0.166667,-100.0
1.1.吉布提,吉布提 新增次留,,,,,,0.0,0.0,,,
1.1.哈萨克斯坦,哈萨克斯坦 新增次留,0.136364,0.117647,0.166667,0.106383,0.050847,0.145833,0.095238,0.150943,0.018717,15.909091
1.1.哥伦比亚,哥伦比亚 新增次留,0.120879,0.12037,0.132653,0.085106,0.065934,0.097826,0.028846,0.117188,0.000509,0.422654
1.1.哥斯达黎加,哥斯达黎加 新增次留,0.333333,0.0,0.1,0.0,0.2,0.384615,0.0,0.0,0.333333,
1.1.喀麦隆,喀麦隆 新增次留,0.5,0.2,0.4,0.2,0.4,0.0,1.0,0.0,0.3,150.0
1.1.图瓦卢,图瓦卢 新增次留,,,,,,,,,,
1.1.土库曼斯坦,土库曼斯坦 新增次留,,,,,0.0,0.0,0.5,,,
1.1.土耳其,土耳其 新增次留,0.101487,0.099112,0.097278,0.079014,0.08105,0.090114,0.09629,0.087531,0.002375,2.396296
1.1.圣卢西亚,圣卢西亚 新增次留,,1.0,,,,0.0,,,,
1.1.圣基茨和尼维斯,圣基茨和尼维斯 新增次留,,,,,,1.0,,,,
1.1.圣多美和普林西比,圣多美和普林西比 新增次留,0.0,,,,,,,,,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 新增次留,1.0,,0.0,,,,,,,
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 新增次留,,,,,,,,,,
1.1.圣马力诺,圣马力诺 新增次留,,,,,,,0.0,,,
1.1.圭亚那,圭亚那 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.坦桑尼亚,坦桑尼亚 新增次留,0.0,0.25,0.285714,0.25,0.2,0.3,0.0,0.0,-0.25,-100.0
1.1.埃及,埃及 新增次留,0.292683,0.076923,0.163265,0.226415,0.23913,0.103448,0.234568,0.05,0.21576,280.487805
1.1.埃塞俄比亚,埃塞俄比亚 新增次留,0.25,0.0,0.0,0.4,0.0,0.3,0.0,0.142857,0.25,
1.1.基里巴斯,基里巴斯 新增次留,,,,,,,0.0,,,
1.1.塔吉克斯坦,塔吉克斯坦 新增次留,0.25,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.25,
1.1.塞内加尔,塞内加尔 新增次留,0.0,1.0,0.0,0.0,0.2,0.416667,0.25,0.333333,-1.0,-100.0
1.1.塞尔维亚,塞尔维亚 新增次留,0.055556,0.055556,0.2,0.038462,0.035714,0.192308,0.066667,0.096774,-0.0,-0.0
1.1.塞拉利昂,塞拉利昂 新增次留,0.25,,,0.0,,0.0,0.5,0.333333,,
1.1.塞浦路斯,塞浦路斯 新增次留,0.166667,0.2,0.071429,0.285714,0.222222,0.416667,0.153846,0.0,-0.033333,-16.666667
1.1.塞舌尔,塞舌尔 新增次留,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,
1.1.墨西哥,墨西哥 新增次留,0.086728,0.068845,0.073175,0.066224,0.076812,0.084303,0.054595,0.054824,0.017884,25.977174
1.1.多哥,多哥 新增次留,,0.25,0.0,0.333333,0.0,0.0,0.333333,0.0,,
1.1.多米尼克,多米尼克 新增次留,,0.0,,,,,,,,
1.1.多米尼加,多米尼加 新增次留,0.25,0.15,0.28,0.071429,0.071429,0.176471,0.1875,0.333333,0.1,66.666667
1.1.奥兰群岛,奥兰群岛 新增次留,,,,,,,,,,
1.1.奥地利,奥地利 新增次留,0.166667,0.2,0.047619,0.083333,0.166667,0.071429,0.147059,0.131579,-0.033333,-16.666667
1.1.委内瑞拉,委内瑞拉 新增次留,0.0,0.08,0.093023,0.121951,0.125,0.042553,0.093023,0.098361,-0.08,-100.0
1.1.孟加拉,孟加拉 新增次留,0.176471,0.150794,0.170543,0.18,0.150794,0.139037,0.20283,0.162921,0.025677,17.027864
1.1.安哥拉,安哥拉 新增次留,0.0,0.0,0.0,0.0,,0.333333,0.333333,0.0,0.0,
1.1.安圭拉,安圭拉 新增次留,,,0.0,0.0,,0.0,,,,
1.1.安提瓜和巴布达,安提瓜和巴布达 新增次留,0.0,,0.0,1.0,0.0,,0.0,,,
1.1.安道尔,安道尔 新增次留,0.0,0.0,0.0,,0.5,1.0,0.0,,0.0,
1.1.密克罗尼西亚联邦,密克罗尼西亚联邦 新增次留,,,,,,,,,,
1.1.尼加拉瓜,尼加拉瓜 新增次留,0.0,0.0,0.2,0.333333,0.25,0.142857,0.0,0.5,0.0,
1.1.尼日利亚,尼日利亚 新增次留,0.234177,0.162651,0.235897,0.268293,0.229167,0.242775,0.296,0.193333,0.071527,43.975621
1.1.尼日尔,尼日尔 新增次留,,,1.0,0.0,0.0,,0.0,,,
1.1.尼泊尔,尼泊尔 新增次留,0.181818,0.285714,0.166667,0.153846,0.142857,0.230769,0.130435,0.103448,-0.103896,-36.363636
1.1.巴勒斯坦,巴勒斯坦 新增次留,0.111111,0.25,0.166667,0.4,0.1,0.25,0.0,0.2,-0.138889,-55.555556
1.1.巴哈马,巴哈马 新增次留,0.0,0.111111,0.125,0.833333,0.75,0.0,0.0,0.2,-0.111111,-100.0
1.1.巴基斯坦,巴基斯坦 新增次留,0.192308,0.162791,0.122449,0.148148,0.189189,0.176471,0.194805,0.12,0.029517,18.131868
1.1.巴巴多斯,巴巴多斯 新增次留,0.0,0.5,1.0,0.5,,0.333333,0.0,0.333333,-0.5,-100.0
1.1.巴布亚新几内亚,巴布亚新几内亚 新增次留,,0.0,,0.0,0.0,,,0.0,,
1.1.巴拉圭,巴拉圭 新增次留,0.142857,0.086957,0.0,0.055556,0.25,0.066667,0.111111,0.117647,0.055901,64.285714
1.1.巴拿马,巴拿马 新增次留,0.090909,0.0,0.133333,0.222222,0.1,0.2,0.0,0.0,0.090909,
1.1.巴林,巴林 新增次留,0.0,0.0,0.0,0.0,1.0,,0.25,0.0,0.0,
1.1.巴西,巴西 新增次留,0.0956,0.093253,0.108418,0.102442,0.103379,0.082692,0.085734,0.084617,0.002347,2.516854
1.1.布基纳法索,布基纳法索 新增次留,0.4,0.333333,0.0,0.571429,0.166667,0.0,0.0,1.0,0.066667,20.0
1.1.布隆迪,布隆迪 新增次留,1.0,0.0,,0.0,0.5,,0.0,0.0,1.0,
1.1.希腊,希腊 新增次留,0.273973,0.166667,0.266667,0.25,0.149254,0.292308,0.204545,0.108696,0.107306,64.383562
1.1.帕劳,帕劳 新增次留,,,,,,,,,,
1.1.库克群岛,库克群岛 新增次留,,,,,,,,,,
1.1.库拉索,库拉索 新增次留,,,0.0,0.0,,0.0,0.0,,,
1.1.开曼群岛,开曼群岛 新增次留,0.0,0.0,1.0,0.0,,,0.0,,0.0,
1.1.德国,德国 新增次留,0.132895,0.130945,0.131911,0.132012,0.125196,0.121887,0.144947,0.113944,0.00195,1.48946
1.1.意大利,意大利 新增次留,0.22449,0.107692,0.147541,0.213483,0.138298,0.241379,0.100917,0.172414,0.116797,108.45481
1.1.所罗门群岛,所罗门群岛 新增次留,,,,,,,,,,
1.1.拉脱维亚,拉脱维亚 新增次留,0.212121,0.3,0.111111,0.133333,0.095238,0.0,0.130435,0.071429,-0.087879,-29.292929
1.1.挪威,挪威 新增次留,0.0,0.076923,0.238095,0.090909,0.5,0.176471,0.277778,0.166667,-0.076923,-100.0
1.1.捷克,捷克 新增次留,0.166667,0.136364,0.12,0.071429,0.055556,0.083333,0.0,0.210526,0.030303,22.222222
1.1.摩尔多瓦,摩尔多瓦 新增次留,0.0625,0.133333,0.153846,0.0,0.0,0.166667,0.1,0.210526,-0.070833,-53.125
1.1.摩洛哥,摩洛哥 新增次留,0.263158,0.133333,0.214286,0.074074,0.230769,0.153846,0.214286,0.181818,0.129825,97.368421
1.1.摩纳哥,摩纳哥 新增次留,,,,,1.0,,,,,
1.1.文莱,文莱 新增次留,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
1.1.斐济,斐济 新增次留,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,
1.1.斯威士兰,斯威士兰 新增次留,,,,,,,0.0,,,
1.1.斯洛伐克,斯洛伐克 新增次留,0.2,0.0,0.166667,0.111111,0.25,0.090909,0.0,0.125,0.2,
1.1.斯洛文尼亚,斯洛文尼亚 新增次留,0.2,,0.333333,0.0,0.0,0.0,0.0,0.0,,
1.1.斯里兰卡,斯里兰卡 新增次留,0.0,0.0,0.0,0.5,0.2,0.0,0.25,0.083333,0.0,
1.1.新加坡,新加坡 新增次留,0.0,0.045455,0.15,0.25,0.142857,0.181818,0.15,0.190476,-0.045455,-100.0
1.1.新喀里多尼亚,新喀里多尼亚 新增次留,,,,,0.0,,,,,
1.1.新西兰,新西兰 新增次留,0.083333,0.2,0.571429,0.0,0.0,0.0,0.0,0.066667,-0.116667,-58.333333
1.1.日本,日本 新增次留,0.117647,0.1,0.088,0.21875,0.347826,0.217391,0.137931,0.142857,0.017647,17.647059
1.1.智利,智利 新增次留,0.125,0.138298,0.088235,0.122449,0.085714,0.030303,0.125,0.114754,-0.013298,-9.615385
1.1.柬埔寨,柬埔寨 新增次留,1.0,1.0,0.5,0.5,0.0,0.0,0.0,,0.0,0.0
1.1.根西岛,根西岛 新增次留,,,,0.0,,,1.0,,,
1.1.格林纳达,格林纳达 新增次留,0.0,0.0,0.0,,0.0,,,,0.0,
1.1.格陵兰,格陵兰 新增次留,,,,,,,,,,
1.1.格鲁吉亚,格鲁吉亚 新增次留,0.190476,0.095238,0.125,0.0,0.130435,0.086957,0.230769,0.176471,0.095238,100.0
1.1.比利时,比利时 新增次留,0.230769,0.26087,0.047619,0.090909,0.0,0.0625,0.08,0.045455,-0.0301,-11.538462
1.1.毛里塔尼亚,毛里塔尼亚 新增次留,,0.0,0.0,,0.0,0.0,1.0,0.0,,
1.1.毛里求斯,毛里求斯 新增次留,0.0,0.333333,,0.5,0.0,0.0,0.0,0.5,-0.333333,-100.0
1.1.汤加,汤加 新增次留,,,0.0,,0.0,,,,,
1.1.沙特阿拉伯,沙特阿拉伯 新增次留,0.166667,0.0,0.2,0.052632,0.090909,0.166667,0.105263,0.060606,0.166667,
1.1.法国,法国 新增次留,0.115207,0.120968,0.119403,0.165854,0.176201,0.150215,0.152047,0.081395,-0.00576,-4.761905
