m.date_p,m.os_type,code,m.is_new,country,duration,sub_suc_cnt,paid_cnt,trial_cnt,dismiss_cnt,new_gmv,renew_gmv,after_paid_gmv
20260723,iOS,实验组B,Old,巴西,月,11,11,0,1,34.1,0,0
20260724,iOS,实验组A,Old,英国,月,4,4,0,2,40.44,0,0
20260724,iOS,对照组,Old,其他,年,6,0,6,1,0.0,0,0
20260725,iOS,对照组,Old,澳大利亚,年,6,1,5,1,27.99,0,0
20260726,iOS,实验组B,New,澳大利亚,年,5,2,3,3,55.98,0,0
20260722,iOS,实验组B,Old,其他,分期年卡,2,2,0,0,9.34,0,0
20260723,iOS,实验组B,Old,巴西,年,22,10,12,3,93.41,0,0
20260723,iOS,对照组,New,澳大利亚,年,1,0,1,1,0.0,0,0
20260724,iOS,实验组A,Old,澳大利亚,年,1,0,1,1,0.0,0,0
20260724,iOS,对照组,Old,英国,月,5,5,0,0,50.56,0,0
20260725,iOS,实验组B,New,澳大利亚,年,2,0,2,0,0.0,0,0
20260725,iOS,实验组B,Old,巴西,分期年卡,14,14,0,0,21.87,0,0
20260721,iOS,实验组B,Old,巴西,周,1,1,0,0,1.56,0,0
20260723,iOS,实验组B,New,巴西,分期年卡,3,3,0,0,4.69,0,0
20260724,iOS,实验组B,New,英国,月,1,1,0,0,10.11,0,0
20260724,iOS,对照组,Old,澳大利亚,年,5,1,4,5,28.04,0,0
20260718,iOS,实验组B,New,巴西,年,7,3,5,5,30.36,0,0
20260719,iOS,实验组B,Old,英国,分期年卡,8,8,0,0,37.6,0,0
20260719,iOS,对照组,Old,巴西,周,2,2,0,2,3.09,0,1.55
20260720,iOS,实验组A,Old,英国,分期年卡,5,5,0,0,23.45,0,0
20260720,iOS,实验组B,Old,英国,月,5,5,0,2,50.86,0,0
20260721,iOS,实验组A,Old,其他,年,7,3,4,3,94.37,0,0
20260722,iOS,实验组B,Old,澳大利亚,分期年卡,1,1,0,0,4.45,0,0
20260724,iOS,实验组B,New,澳大利亚,年,3,0,3,2,0.0,0,0
20260724,iOS,实验组B,Old,巴西,分期年卡,18,18,0,0,28.24,0,0
20260726,iOS,实验组A,New,巴西,月,2,2,0,1,6.44,0,0
20260720,iOS,实验组B,Old,澳大利亚,年,3,1,2,1,28.09,0,0
20260721,iOS,实验组A,Old,英国,月,4,4,0,1,38.58,0,0
20260721,iOS,对照组,Old,其他,年,4,0,4,3,0.0,0,0
20260722,iOS,实验组A,New,英国,年,6,0,6,4,0.0,0,0
20260726,iOS,对照组,New,巴西,月,2,2,0,0,5.75,0,0
20260717,iOS,实验组B,Old,英国,分期年卡,1,1,0,0,4.7,0,0
20260719,iOS,实验组A,New,其他,年,1,0,1,1,0.0,0,0
20260721,iOS,实验组A,Old,澳大利亚,年,5,2,3,3,68.22,0,0
20260721,iOS,实验组B,New,其他,年,2,1,1,1,27.29,0,0
20260721,iOS,对照组,Old,英国,月,4,4,0,0,40.53,0,0
20260722,iOS,对照组,New,英国,年,12,3,9,7,81.86,0,0
20260723,iOS,实验组A,Old,英国,分期年卡,2,2,0,0,9.31,0,0
20260723,iOS,实验组B,Old,英国,月,7,7,0,4,69.42,0,0
20260718,iOS,实验组A,Old,其他,月,2,2,0,0,20.39,0,0
20260719,iOS,实验组A,New,澳大利亚,月,1,1,0,0,8.88,0,0
20260723,iOS,实验组B,Old,英国,年,4,1,3,1,27.18,0,0
20260724,iOS,实验组A,New,巴西,月,3,3,0,0,9.02,0,0
20260724,iOS,实验组B,Old,澳大利亚,周,1,1,0,0,5.34,0,0
20260725,iOS,实验组B,Old,英国,分期年卡,11,11,0,0,51.22,0,0
20260726,iOS,实验组B,Old,其他,分期年卡,7,7,0,0,22.59,0,0
20260717,iOS,实验组A,New,其他,年,1,0,1,1,0.0,0,0
20260718,iOS,对照组,Old,其他,月,2,2,0,0,13.4,0,0
20260719,iOS,实验组A,New,澳大利亚,年,1,0,1,1,0.0,0,0
20260719,iOS,实验组A,Old,巴西,分期年卡,10,10,0,0,15.54,0,0
20260719,iOS,实验组B,Old,巴西,月,22,22,0,7,67.79,0,0
20260720,iOS,实验组A,Old,巴西,月,23,23,0,4,70.35,0,0
20260721,iOS,实验组B,New,澳大利亚,年,1,0,1,0,0.0,0,0
20260721,iOS,实验组B,Old,巴西,分期年卡,21,21,0,0,32.84,0,10.19
20260724,iOS,对照组,New,巴西,月,3,3,0,0,8.34,0,0
20260718,iOS,实验组A,Old,澳大利亚,月,2,2,0,0,17.76,0,0
20260718,iOS,实验组B,New,英国,年,3,2,2,2,66.31,0,0
20260718,iOS,对照组,Old,其他,年,6,3,6,2,65.38,0,0
20260719,iOS,实验组B,Old,巴西,年,22,17,8,6,156.4,0,0
20260719,iOS,对照组,New,澳大利亚,年,2,0,2,1,0.0,0,0
20260720,iOS,实验组A,Old,巴西,年,67,13,54,31,119.96,0,0
20260720,iOS,对照组,Old,巴西,月,28,28,0,5,86.61,0,0
20260724,iOS,实验组B,Old,英国,分期年卡,6,6,0,0,27.98,0,0
20260725,iOS,实验组A,New,其他,年,2,0,2,0,0.0,0,0
20260725,iOS,对照组,New,其他,月,1,1,0,0,10.1,0,0
20260726,iOS,实验组B,Old,澳大利亚,分期年卡,1,1,0,0,4.44,0,0
20260717,iOS,实验组A,New,澳大利亚,年,1,0,1,1,0.0,0,0
20260718,iOS,实验组A,Old,澳大利亚,年,5,2,4,4,67.98,0,0
20260718,iOS,对照组,Old,澳大利亚,月,2,2,0,1,17.76,0,0
20260719,iOS,实验组B,New,巴西,分期年卡,3,3,0,0,4.66,0,0
20260720,iOS,实验组B,New,巴西,月,4,4,0,0,11.52,0,0
20260720,iOS,对照组,Old,巴西,年,60,17,43,29,149.41,0,0
20260723,iOS,实验组A,Old,巴西,月,7,7,0,1,21.88,0,0
20260724,iOS,实验组B,Old,其他,分期年卡,3,3,0,0,13.99,0,0
20260725,iOS,实验组A,New,澳大利亚,月,1,1,0,0,7.11,0,0
20260725,iOS,对照组,New,其他,年,2,0,2,0,0.0,0,0
20260726,iOS,实验组A,New,澳大利亚,年,2,0,2,1,0.0,0,0
20260726,iOS,实验组A,New,英国,年,11,0,11,5,0.0,0,0
20260726,iOS,对照组,New,英国,月,2,2,0,1,20.19,0,0
20260717,iOS,实验组B,Old,巴西,年,8,6,4,4,64.61,0,0
20260718,iOS,对照组,Old,澳大利亚,年,5,2,3,3,55.97,0,0
20260722,iOS,实验组A,Old,其他,分期年卡,1,1,0,0,4.67,0,0
20260723,iOS,实验组A,Old,巴西,年,54,17,37,21,168.58,0,0
20260723,iOS,对照组,Old,巴西,月,17,17,0,1,54.27,0,0
20260724,iOS,实验组A,New,其他,年,1,0,1,1,0.0,0,0
20260725,iOS,实验组A,New,澳大利亚,年,2,0,2,1,0.0,0,0
20260725,iOS,实验组A,Old,巴西,分期年卡,9,9,0,0,14.06,0,0
20260725,iOS,实验组B,Old,巴西,月,23,23,0,4,70.71,0,0
20260726,iOS,对照组,New,澳大利亚,年,2,0,2,0,0.0,0,0
20260717,iOS,实验组B,New,巴西,分期年卡,1,1,0,0,1.55,0,0
20260718,iOS,实验组B,Old,巴西,分期年卡,16,16,0,0,24.86,0,0
20260718,iOS,实验组B,Old,英国,周,1,1,0,1,5.49,0,0
20260722,iOS,实验组B,Old,其他,年,1,0,1,1,0.0,0,0
20260723,iOS,实验组A,New,巴西,分期年卡,1,1,0,0,1.56,0,0
20260723,iOS,实验组B,New,巴西,月,1,1,0,0,2.54,0,0
20260723,iOS,对照组,Old,巴西,年,57,20,37,16,199.04,0,0
20260724,iOS,实验组A,New,英国,月,1,1,0,0,10.11,0,0
20260724,iOS,对照组,New,其他,年,1,0,1,0,0.0,0,0
20260725,iOS,实验组B,Old,巴西,年,22,12,10,2,119.57,0,0
20260725,iOS,对照组,New,澳大利亚,年,1,0,1,1,0.0,0,0
20260718,iOS,实验组A,New,巴西,年,3,0,3,2,0.0,0,0
20260719,iOS,实验组A,Old,英国,分期年卡,3,3,0,0,14.1,0,0
20260719,iOS,实验组B,Old,英国,月,12,12,0,2,120.34,0,0
20260720,iOS,实验组A,Old,英国,月,4,4,0,0,40.68,0,0
20260721,iOS,实验组B,Old,英国,分期年卡,10,10,0,1,46.72,0,4.67
20260722,iOS,实验组A,Old,澳大利亚,分期年卡,1,1,0,0,4.45,0,0
20260724,iOS,实验组A,New,澳大利亚,年,3,0,3,2,0.0,0,0
20260725,iOS,实验组B,New,巴西,分期年卡,4,4,0,0,6.25,0,0
20260718,iOS,对照组,New,巴西,年,17,7,14,9,81.06,0,12.67
20260719,iOS,实验组B,Old,英国,年,11,6,5,7,164.72,0,10.13
20260720,iOS,实验组A,Old,英国,年,19,4,15,15,109.58,0,0
20260720,iOS,对照组,Old,英国,月,13,13,0,2,130.26,0,0
20260722,iOS,实验组B,Old,澳大利亚,年,2,1,1,1,28.05,0,0
20260724,iOS,实验组B,Old,巴西,年,25,13,12,5,120.53,0,0
20260724,iOS,对照组,New,澳大利亚,年,1,1,0,0,28.04,0,0
20260719,iOS,实验组B,New,英国,分期年卡,2,2,0,0,9.4,0,0
20260720,iOS,实验组B,New,英国,月,1,1,0,0,10.17,0,0
20260720,iOS,对照组,Old,英国,年,17,3,14,12,82.19,0,0
20260721,iOS,实验组A,New,其他,年,2,1,1,2,27.29,0,0
20260721,iOS,对照组,New,其他,月,1,1,0,0,7.13,0,0
20260722,iOS,实验组B,New,澳大利亚,分期年卡,1,1,0,0,4.45,0,0
20260723,iOS,实验组A,Old,英国,月,10,10,0,4,100.19,0,0
20260724,iOS,实验组B,New,巴西,分期年卡,1,1,0,0,1.57,0,0
