层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%
1.西班牙.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,13565.0,10880.0,9421.0,9159.0,7968.0,6483.0,7490.0,7028.0,6743.0,6682.0,3933.0,6412.0,5629.0,5018.0,2685.0,24.678309
1.西班牙.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,76922.0,72126.0,67852.0,60525.0,53911.0,48491.0,50152.0,52445.0,50523.0,73879.0,69159.0,80883.0,80851.0,76820.0,4796.0,6.649475
1.诺福克岛,诺福克岛MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,,,,1.0,2.0,2.0,7.0,3.0,2.0,1.0,1.0,4.0,3.0,,,
1.诺福克岛.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,
1.诺福克岛.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,
1.诺福克岛.1.2,新自然用户 MAU,raw_data/mau.csv,MAU,渠道自然=Organic，国家=x（非整体），平台=整体，新老=New,,,,,,,,,,,,,,,,
1.诺福克岛.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,,,,,,,,,,,,,,,,
1.贝宁,贝宁MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,1740.0,2047.0,2494.0,1316.0,597.0,569.0,673.0,668.0,671.0,814.0,785.0,837.0,825.0,867.0,-307.0,-14.997557
1.贝宁.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,457.0,656.0,1562.0,855.0,134.0,132.0,134.0,115.0,139.0,177.0,116.0,166.0,152.0,143.0,-199.0,-30.335366
1.贝宁.1.1,新渠道用户 MAU,raw_data/mau.csv,MAU,渠道自然=non-Organic，国家=x（非整体），平台=整体，新老=New,4.0,13.0,15.0,11.0,7.0,6.0,1.0,3.0,4.0,2.0,8.0,5.0,6.0,8.0,-9.0,-69.230769
