层级,指标,数据来源,指标对应值,取数口径
1,订阅毛利（剔除退款，$）,raw_data/bookings.csv,订阅毛利（剔除退款，$）,订阅类型=整体，国家=整体，平台=整体
1.1,新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=整体，平台=整体
1.1.x,x（某 国家 值）新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体
1.2,续订毛利,raw_data/bookings.csv,续订毛利,订阅类型=整体，国家=整体，平台=整体
1.2.x,x（某 国家 值）续订毛利,raw_data/bookings.csv,续订毛利,订阅类型=整体，国家=x（非整体），平台=整体
