country_name,os_type,period_type,renewal_k,renewal_rate,period_k_renewed_orders,first_period_paid_orders,n_pay_dates_included,pay_date_range_end,pay_date_range_start
其他,android,周,1,0.57703081,412,714,67,20260510,20260109
其他,android,周,2,0.40620592,288,709,63,20260501,20260109
其他,android,周,3,0.30268741,214,707,61,20260426,20260109
其他,android,周,4,0.25354108,179,706,60,20260419,20260109
其他,android,周,5,0.22079772,155,702,56,20260412,20260109
其他,android,周,6,0.19142857,134,700,54,20260404,20260109
其他,android,周,7,0.16546763,115,695,49,20260322,20260109
其他,android,周,8,0.14100719,98,695,49,20260322,20260109
其他,android,周,9,0.12554113,87,693,48,20260311,20260109
其他,android,周,10,0.11304348,78,690,46,20260308,20260109
其他,android,周,11,0.09489051,65,685,43,20260301,20260109
其他,android,周,12,0.08382353,57,680,39,20260220,20260109
其他,android,周,13,0.07237814,49,677,37,20260215,20260109
其他,android,周,14,0.05952381,35,588,31,20260208,20260109
其他,android,周,15,0.05811138,24,413,24,20260201,20260109
其他,android,周,16,0.04417671,11,249,17,20260125,20260109
其他,android,周,17,0.04301075,4,93,10,20260118,20260109
其他,android,周,18,0.14285714,1,7,3,20260111,20260109
其他,android,年,1,0.35950266,1012,2815,36,20250517,20250412
其他,android,年,2,0.19902248,1018,5115,49,20240517,20240330
其他,android,月,1,0.46346930,1034,2231,28,20260417,20260321
其他,android,月,2,0.32820681,1003,3056,38,20260317,20260208
其他,android,月,3,0.25024201,1034,4132,53,20260217,20251227
其他,android,月,4,0.21033905,1005,4778,46,20260117,20251203
其他,android,月,5,0.18965839,1016,5357,56,20251217,20251023
其他,android,月,6,0.16511666,1012,6129,58,20251117,20250921
其他,android,月,7,0.14592582,1019,6983,62,20251017,20250817
其他,android,月,8,0.12650977,1016,8031,68,20250917,20250711
其他,android,月,9,0.11317359,1006,8889,72,20250817,20250606
其他,android,月,10,0.10846476,1011,9321,77,20250717,20250502
其他,android,月,11,0.09838459,1011,10276,86,20250617,20250324
其他,android,月,12,0.09312494,1001,10749,93,20250517,20250214
其他,android,月,13,0.08893594,1008,11334,102,20250417,20250106
其他,android,月,14,0.08430403,1006,11933,102,20250317,20241206
其他,android,月,15,0.07976285,1009,12650,112,20250217,20241029
其他,android,月,16,0.07381616,1007,13642,121,20250117,20240919
其他,android,月,17,0.06996622,1015,14507,129,20241217,20240811
其他,android,月,18,0.06767623,1010,14924,128,20241117,20240713
其他,android,月,19,0.06514107,1002,15382,126,20241017,20240614
其他,android,月,20,0.06185882,1013,16376,131,20240917,20240510
其他,android,月,21,0.05857251,1002,17107,132,20240817,20240408
其他,android,月,22,0.05521000,1003,18167,133,20240717,20240307
其他,android,月,23,0.05334596,1014,19008,131,20240617,20240208
其他,android,月,24,0.05232528,1007,19245,121,20240517,20240118
其他,android,月,25,0.05015489,1020,20337,108,20240417,20240101
其他,android,月,26,0.04609483,733,15902,77,20240317,20240101
其他,android,月,27,0.04364274,473,10838,48,20240217,20240101
其他,android,月,28,0.03353414,167,4980,17,20240117,20240101
其他,ios,周,1,0.49460255,1008,2038,83,20260510,20260217
其他,ios,周,2,0.34971196,1032,2951,89,20260503,20260204
其他,ios,周,3,0.27803674,1014,3647,92,20260426,20260125
其他,ios,周,4,0.23029858,941,4086,101,20260419,20260106
其他,ios,周,5,0.19713712,785,3982,94,20260412,20260106
其他,ios,周,6,0.17445483,672,3852,87,20260405,20260106
其他,ios,周,7,0.15690489,584,3722,80,20260329,20260106
其他,ios,周,8,0.14265890,514,3603,73,20260322,20260106
其他,ios,周,9,0.12649026,435,3439,66,20260315,20260106
其他,ios,周,10,0.11686671,370,3166,59,20260308,20260106
其他,ios,周,11,0.10331721,299,2894,52,20260301,20260106
其他,ios,周,12,0.09237098,247,2674,45,20260222,20260106
其他,ios,周,13,0.08212959,199,2423,38,20260215,20260106
其他,ios,周,14,0.07467205,148,1982,31,20260208,20260106
其他,ios,周,15,0.06726825,82,1219,24,20260201,20260106
其他,ios,周,16,0.06542056,42,642,17,20260125,20260106
其他,ios,周,17,0.09036145,15,166,10,20260118,20260106
其他,ios,周,18,0.00000000,0,4,3,20260111,20260106
其他,ios,年,1,0.22728288,1018,4479,15,20250517,20250503
其他,ios,年,2,0.14555256,1026,7049,25,20240517,20240423
其他,ios,月,1,0.37526060,1080,2878,13,20260417,20260405
其他,ios,月,2,0.22338862,1064,4763,17,20260317,20260301
其他,ios,月,3,0.17822300,1023,5740,27,20260217,20260122
其他,ios,月,4,0.15198465,1030,6777,32,20260117,20251217
其他,ios,月,5,0.13215401,1016,7688,41,20251217,20251107
其他,ios,月,6,0.10905730,1003,9197,54,20251117,20250925
其他,ios,月,7,0.09405385,1006,10696,60,20251017,20250819
其他,ios,月,8,0.08504871,1004,11805,60,20250917,20250720
其他,ios,月,9,0.07854170,1019,12974,65,20250817,20250614
其他,ios,月,10,0.07997130,1003,12542,71,20250717,20250508
其他,ios,月,11,0.07600090,1008,13263,83,20250617,20250327
其他,ios,月,12,0.07139295,1002,14035,97,20250517,20250210
其他,ios,月,13,0.06793955,1007,14822,105,20250417,20250103
其他,ios,月,14,0.06909591,1005,14545,110,20250317,20241128
其他,ios,月,15,0.06636759,1006,15158,120,20250217,20241021
其他,ios,月,16,0.06231050,1007,16161,126,20250117,20240914
其他,ios,月,17,0.05875857,1011,17206,127,20241217,20240813
其他,ios,月,18,0.05539054,1007,18180,126,20241117,20240715
其他,ios,月,19,0.05270918,1001,18991,127,20241017,20240613
其他,ios,月,20,0.05170732,1007,19475,131,20240917,20240510
其他,ios,月,21,0.04793768,1003,20923,147,20240817,20240324
其他,ios,月,22,0.04521467,1011,22360,159,20240717,20240210
其他,ios,月,23,0.04329675,1006,23235,167,20240617,20240103
其他,ios,月,24,0.03849107,752,19537,138,20240517,20240101
其他,ios,月,25,0.03523945,546,15494,108,20240417,20240101
其他,ios,月,26,0.03187495,365,11451,77,20240317,20240101
其他,ios,月,27,0.02985075,216,7236,48,20240217,20240101
其他,ios,月,28,0.02700730,74,2740,17,20240117,20240101
加拿大,android,周,1,0.47500000,19,40,25,20260506,20260109
加拿大,android,周,2,0.38461538,15,39,24,20260419,20260109
加拿大,android,周,3,0.35897436,14,39,24,20260419,20260109
加拿大,android,周,4,0.25641026,10,39,24,20260419,20260109
加拿大,android,周,5,0.16216216,6,37,22,20260318,20260109
加拿大,android,周,6,0.10810811,4,37,22,20260318,20260109
加拿大,android,周,7,0.10810811,4,37,22,20260318,20260109
加拿大,android,周,8,0.10810811,4,37,22,20260318,20260109
加拿大,android,周,9,0.11111111,4,36,21,20260221,20260109
加拿大,android,周,10,0.08333333,3,36,21,20260221,20260109
加拿大,android,周,11,0.08333333,3,36,21,20260221,20260109
加拿大,android,周,12,0.05555556,2,36,21,20260221,20260109
加拿大,android,周,13,0.02857143,1,35,20,20260211,20260109
加拿大,android,周,14,0.03333333,1,30,17,20260207,20260109
加拿大,android,周,15,0.00000000,0,21,14,20260131,20260109
加拿大,android,周,16,0.00000000,0,13,9,20260124,20260109
加拿大,android,周,17,0.00000000,0,6,5,20260118,20260109
加拿大,android,周,18,0.00000000,0,1,1,20260109,20260109
加拿大,android,年,1,0.43419913,1003,2310,309,20250517,20240713
加拿大,android,年,2,0.26552053,278,1047,138,20240517,20240101
加拿大,android,月,1,0.56436200,1004,1779,273,20260417,20250717
加拿大,android,月,2,0.39832869,1001,2513,350,20260317,20250331
加拿大,android,月,3,0.32608696,1005,3082,422,20260217,20241221
加拿大,android,月,4,0.28043661,1002,3573,473,20260117,20241001
加拿大,android,月,5,0.24735677,1006,4067,522,20251217,20240713
加拿大,android,月,6,0.22002635,1002,4554,571,20251117,20240425
加拿大,android,月,7,0.19559712,1004,5133,621,20251017,20240204
加拿大,android,月,8,0.17986019,952,5293,625,20250917,20240101
加拿大,android,月,9,0.16435918,831,5056,594,20250817,20240101
加拿大,android,月,10,0.15067638,724,4805,564,20250717,20240101
加拿大,android,月,11,0.13813747,623,4510,534,20250617,20240101
加拿大,android,月,12,0.12764457,543,4254,503,20250517,20240101
加拿大,android,月,13,0.11915423,479,4020,473,20250417,20240101
加拿大,android,月,14,0.11189913,426,3807,442,20250317,20240101
加拿大,android,月,15,0.10317903,370,3586,414,20250217,20240101
加拿大,android,月,16,0.09523810,322,3381,383,20250117,20240101
加拿大,android,月,17,0.09015610,283,3139,352,20241217,20240101
加拿大,android,月,18,0.08872902,259,2919,322,20241117,20240101
