层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.亚美尼亚.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,4279.0,3884.0,3877.0,3665.0,4112.0,4229.0,4399.0,6045.0,5045.0,6104.0,5941.0,5371.0,,,395.0,10.169928,395.0,0.16409,0.00684
1.以色列,以色列MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,19810.0,17777.0,14750.0,14971.0,15988.0,16695.0,17083.0,24349.0,19119.0,20547.0,20025.0,19253.0,,,2033.0,11.436125,2033.0,0.844543,0.035203
1.以色列.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,3842.0,3846.0,1767.0,1767.0,1911.0,2182.0,2362.0,2243.0,1311.0,1803.0,1696.0,1507.0,,,-4.0,-0.104004,-4.0,-0.001662,-6.9e-05
1.以色列.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,15968.0,13931.0,12983.0,13204.0,14077.0,14513.0,14721.0,22106.0,17808.0,18744.0,18329.0,17746.0,,,2037.0,14.622066,2037.0,0.846204,0.035272
1.伊拉克,伊拉克MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,12116.0,11385.0,10196.0,9862.0,11748.0,11983.0,11757.0,15291.0,12758.0,13728.0,13608.0,13438.0,,,731.0,6.420729,731.0,0.30367,0.012658
1.伊拉克.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,4159.0,3582.0,2755.0,2548.0,3181.0,2888.0,2957.0,4530.0,2943.0,3280.0,3626.0,3333.0,,,577.0,16.108319,577.0,0.239696,0.009991
1.伊拉克.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,7957.0,7803.0,7441.0,7314.0,8567.0,9095.0,8800.0,10761.0,9815.0,10448.0,9982.0,10105.0,,,154.0,1.9736,154.0,0.063974,0.002667
1.伊朗,伊朗MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=整体,28657.0,2365.0,1772.0,54984.0,52921.0,94185.0,91147.0,104925.0,98422.0,102903.0,96906.0,94063.0,,,26292.0,1111.712474,26292.0,10.922143,0.455262
1.伊朗.1,新用户 MAU,raw_data/mau.csv,MAU,渠道自然=整体，国家=x（非整体），平台=整体，新老=New,4104.0,138.0,65.0,6557.0,6204.0,14339.0,13088.0,17563.0,12043.0,15078.0,11281.0,10121.0,,,3966.0,2873.913043,3966.0,1.647544,0.068674
1.伊朗.2,老用户 MAU,本表,整体MAU-新用户 MAU（1.x-1.x.1）,,24553.0,2227.0,1707.0,48427.0,46717.0,79846.0,78059.0,87362.0,86379.0,87825.0,85625.0,83942.0,,,22326.0,1002.514594,22326.0,9.274599,0.386588
