层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1.1.纳米比亚,纳米比亚新增毛利,0.0,5.4572,13.6942,4.544,11.603667,7.231,5.017,8.444667,-5.4572,-100.0,-5.4572,-0.1808,-0.003993
1.1.纽埃岛,纽埃岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.缅甸,缅甸新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.罗马尼亚,罗马尼亚新增毛利,216.742286,222.213714,189.889143,170.355571,188.454571,188.540857,234.330143,197.285143,-5.471429,-2.462237,-5.471429,-0.181271,-0.004003
1.1.美国,美国新增毛利,28243.824,31516.761,30496.742143,29889.824857,31685.820286,32412.425286,32997.685571,32824.688286,-3272.937,-10.384751,-3272.937,-108.433908,-2.39452
1.1.美属维尔京群岛,美属维尔京群岛新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.美属萨摩亚,美属萨摩亚新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.老挝,老挝新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,14.066,0.0,0.0,,0.0,0.0,0.0
1.1.肯尼亚,肯尼亚新增毛利,14.680429,13.232857,7.382857,13.558143,20.665286,14.642143,10.771429,20.018333,1.447571,10.939221,1.447571,0.047959,0.001059
1.1.芬兰,芬兰新增毛利,68.029286,70.421286,56.760286,55.093,67.300857,94.542286,59.254429,68.293714,-2.392,-3.3967,-2.392,-0.079248,-0.00175
1.1.苏丹,苏丹新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
1.1.苏里南,苏里南新增毛利,22.266,0.0,0.0,14.63,0.0,22.266,0.0,22.266,22.266,,22.266,0.737683,0.01629
