country_name,os_type,period_type,renewal_k,renewal_rate,period_k_renewed_orders,first_period_paid_orders,n_source_pay_date_rows
其他,android,周,1,0.57762238,413,715,68
其他,android,周,2,0.40646976,289,711,64
其他,android,周,3,0.30367232,215,708,62
其他,android,周,4,0.25354108,179,706,60
其他,android,周,5,0.22079772,155,702,56
其他,android,周,6,0.19142857,134,700,54
其他,android,周,7,0.16666667,116,696,50
其他,android,周,8,0.14100719,98,695,49
其他,android,周,9,0.12554113,87,693,48
其他,android,周,10,0.11577424,80,691,47
其他,android,周,11,0.09606987,66,687,44
其他,android,周,12,0.08370044,57,681,40
其他,android,周,13,0.07385524,50,677,37
其他,android,周,14,0.06129032,38,620,32
其他,android,周,15,0.05681818,25,440,25
其他,android,周,16,0.04444444,12,270,18
其他,android,周,17,0.03508772,4,114,11
其他,android,周,18,0.12500000,1,8,4
其他,android,年,1,0.30457615,41585,136534,1599
其他,android,年,2,0.15454251,16218,104942,1234
其他,android,年,3,0.07864317,5497,69898,868
其他,android,年,4,0.00235234,74,31458,503
其他,android,年,5,0.00000000,0,8348,138
其他,android,月,1,0.56130700,111626,198868,1926
其他,android,月,2,0.39501741,77583,196404,1895
其他,android,月,3,0.31386643,60956,194210,1867
其他,android,月,4,0.26267689,50471,192141,1836
其他,android,月,5,0.22483607,42483,188951,1805
其他,android,月,6,0.19664795,36607,186155,1775
其他,android,月,7,0.17367052,31789,183042,1744
其他,android,月,8,0.15501866,27866,179759,1714
其他,android,月,9,0.13897920,24493,176235,1683
其他,android,月,10,0.12584551,21712,172529,1653
其他,android,月,11,0.11511779,19448,168940,1623
其他,android,月,12,0.10507001,17350,165128,1592
其他,android,月,13,0.09638756,15569,161525,1562
其他,android,月,14,0.08886287,14039,157985,1531
其他,android,月,15,0.08235370,12750,154820,1503
其他,android,月,16,0.07628658,11552,151429,1472
其他,android,月,17,0.07081984,10454,147614,1441
其他,android,月,18,0.06589174,9512,144358,1411
其他,android,月,19,0.06164379,8689,140955,1380
其他,android,月,20,0.05742760,7906,137669,1350
其他,android,月,21,0.05413550,7258,134071,1319
其他,android,月,22,0.05080251,6609,130092,1288
其他,android,月,23,0.04764093,6014,126236,1258
其他,android,月,24,0.04497642,5503,122353,1227
