层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
3.2.纳米比亚,纳米比亚 新增次日留存UV,1.0,0.571429,0.0,1.333333,0.6,0.285714,0.666667,0.428571,75.0
3.2.缅甸,缅甸 新增次日留存UV,2.285714,1.857143,1.857143,1.428571,2.714286,2.142857,3.285714,0.428571,23.076923
3.2.罗马尼亚,罗马尼亚 新增次日留存UV,18.428571,17.714286,18.714286,15.0,21.714286,16.857143,20.428571,0.714286,4.032258
3.2.美国,美国 新增次日留存UV,828.0,547.714286,516.142857,502.857143,557.428571,607.571429,556.0,280.285714,51.173709
3.2.美属维尔京群岛,美属维尔京群岛 新增次日留存UV,0.142857,1.0,0.0,0.4,0.833333,0.75,0.25,-0.857143,-85.714286
3.2.老挝,老挝 新增次日留存UV,0.166667,0.75,0.0,0.333333,0.0,0.2,0.25,-0.583333,-77.777778
3.2.肯尼亚,肯尼亚 新增次日留存UV,7.142857,5.714286,7.571429,7.285714,5.571429,7.0,9.857143,1.428571,25.0
3.2.芬兰,芬兰 新增次日留存UV,25.285714,23.571429,26.571429,30.285714,22.0,21.285714,15.428571,1.714286,7.272727
3.2.苏丹,苏丹 新增次日留存UV,1.142857,0.428571,0.571429,0.285714,1.285714,1.0,0.857143,0.714286,166.666667
3.2.苏里南,苏里南 新增次日留存UV,0.428571,0.571429,0.25,0.333333,1.0,0.6,0.142857,-0.142857,-25.0
3.2.英国,英国 新增次日留存UV,216.428571,184.142857,180.571429,183.857143,173.285714,211.0,149.285714,32.285714,17.532971
3.2.英属维尔京群岛,英属维尔京群岛 新增次日留存UV,0.0,0.0,0.5,1.0,0.0,0.0,0.333333,0.0,
3.2.荷兰,荷兰 新增次日留存UV,115.0,123.428571,151.142857,161.714286,122.428571,129.714286,93.571429,-8.428571,-6.828704
3.2.荷兰加勒比,荷兰加勒比 新增次日留存UV,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.0,0.333333,
3.2.荷属圣马丁,荷属圣马丁 新增次日留存UV,0.6,1.0,1.0,0.5,0.5,0.0,0.857143,-0.4,-40.0
3.2.莫桑比克,莫桑比克 新增次日留存UV,5.428571,6.714286,7.142857,6.428571,8.142857,8.142857,8.285714,-1.285714,-19.148936
3.2.莱索托,莱索托 新增次日留存UV,0.5,0.0,0.5,0.0,0.0,0.0,0.333333,0.5,
3.2.菲律宾,菲律宾 新增次日留存UV,46.0,46.142857,55.142857,52.428571,58.285714,66.857143,59.142857,-0.142857,-0.309598
3.2.萨尔瓦多,萨尔瓦多 新增次日留存UV,2.285714,3.285714,1.714286,1.714286,2.428571,3.0,1.857143,-1.0,-30.434783
3.2.萨摩亚,萨摩亚 新增次日留存UV,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
3.2.葡萄牙,葡萄牙 新增次日留存UV,27.714286,24.142857,29.571429,31.142857,33.857143,26.428571,24.428571,3.571429,14.792899
3.2.蒙古,蒙古 新增次日留存UV,1.285714,0.571429,1.0,0.857143,0.857143,0.571429,0.285714,0.714286,125.0
3.2.西班牙,西班牙 新增次日留存UV,63.285714,64.428571,63.857143,59.714286,60.0,59.428571,50.714286,-1.142857,-1.773836
3.2.贝宁,贝宁 新增次日留存UV,5.285714,5.857143,5.142857,4.142857,6.857143,11.0,14.857143,-0.571429,-9.756098
3.2.赞比亚,赞比亚 新增次日留存UV,1.0,1.428571,2.428571,1.0,2.428571,2.142857,1.571429,-0.428571,-30.0
3.2.赤道几内亚,赤道几内亚 新增次日留存UV,0.0,0.25,0.0,0.166667,0.2,0.0,0.166667,-0.25,-100.0
3.2.越南,越南 新增次日留存UV,7.285714,7.0,8.142857,6.857143,6.285714,7.714286,6.857143,0.285714,4.081633
3.2.阿塞拜疆,阿塞拜疆 新增次日留存UV,7.428571,6.0,7.571429,9.571429,10.714286,6.571429,6.0,1.428571,23.809524
3.2.阿富汗,阿富汗 新增次日留存UV,2.428571,2.0,2.857143,2.571429,3.428571,4.142857,2.285714,0.428571,21.428571
3.2.阿尔及利亚,阿尔及利亚 新增次日留存UV,5.0,4.571429,6.285714,6.0,4.0,6.714286,6.0,0.428571,9.375
3.2.阿尔巴尼亚,阿尔巴尼亚 新增次日留存UV,18.428571,14.571429,13.428571,12.857143,16.428571,10.857143,8.857143,3.857143,26.470588
3.2.阿曼,阿曼 新增次日留存UV,1.571429,2.0,0.714286,1.142857,1.428571,4.714286,1.285714,-0.428571,-21.428571
3.2.阿根廷,阿根廷 新增次日留存UV,17.571429,15.571429,19.285714,18.857143,20.714286,20.142857,22.142857,2.0,12.844037
3.2.阿联酋,阿联酋 新增次日留存UV,11.0,8.428571,9.0,11.714286,11.0,16.285714,8.428571,2.571429,30.508475
3.2.阿鲁巴,阿鲁巴 新增次日留存UV,1.0,0.285714,1.142857,0.333333,1.0,0.833333,0.571429,0.714286,250.0
3.2.韩国,韩国 新增次日留存UV,3.714286,2.857143,3.571429,3.571429,4.285714,4.285714,4.285714,0.857143,30.0
3.2.马尔代夫,马尔代夫 新增次日留存UV,1.142857,0.142857,1.428571,1.857143,1.142857,1.428571,1.285714,1.0,700.0
3.2.马恩岛,马恩岛 新增次日留存UV,0.6,0.0,0.2,0.2,0.0,0.0,0.166667,0.6,
3.2.马拉维,马拉维 新增次日留存UV,1.2,1.714286,2.0,1.571429,1.571429,1.285714,2.142857,-0.514286,-30.0
3.2.马提尼克岛,马提尼克岛 新增次日留存UV,0.0,0.75,0.0,0.25,0.0,0.0,0.0,-0.75,-100.0
3.2.马来西亚,马来西亚 新增次日留存UV,7.0,7.285714,7.571429,8.857143,17.285714,9.857143,7.571429,-0.285714,-3.921569
3.2.马约特,马约特 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.2.马绍尔群岛,马绍尔群岛 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.2.马耳他,马耳他 新增次日留存UV,2.142857,3.285714,1.0,2.428571,2.571429,0.857143,1.571429,-1.142857,-34.782609
3.2.马达加斯加,马达加斯加 新增次日留存UV,3.857143,2.714286,2.857143,3.285714,2.857143,3.0,3.285714,1.142857,42.105263
3.2.马里,马里 新增次日留存UV,8.285714,10.142857,8.285714,38.714286,5.571429,7.714286,4.571429,-1.857143,-18.309859
3.2.黎巴嫩,黎巴嫩 新增次日留存UV,6.285714,5.142857,6.285714,6.857143,8.142857,8.142857,5.285714,1.142857,22.222222
3.2.黑山,黑山 新增次日留存UV,5.285714,4.285714,3.571429,5.714286,4.285714,4.142857,2.428571,1.0,23.333333
