层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1.2.1.卢旺达,卢旺达 次留,0.283854,0.271709,0.261194,0.202667,0.263456,0.276215,0.2343,0.012145,4.470039
1.2.1.卢森堡,卢森堡 次留,0.387097,0.340741,0.421053,0.347518,0.392308,0.412903,0.387597,0.046356,13.604488
1.2.1.印度,印度 次留,0.291704,0.295917,0.294189,0.297848,0.28927,0.295599,0.293873,-0.004213,-1.423563
1.2.1.印度尼西亚,印度尼西亚 次留,0.410839,0.41757,0.398387,0.399332,0.415805,0.402847,0.397038,-0.006731,-1.6119
1.2.1.危地马拉,危地马拉 次留,0.319283,0.328194,0.328823,0.34,0.33007,0.336251,0.313043,-0.008911,-2.715262
1.2.1.厄瓜多尔,厄瓜多尔 次留,0.338658,0.335472,0.341351,0.351606,0.346841,0.350054,0.340865,0.003186,0.949639
1.2.1.厄立特里亚,厄立特里亚 次留,,,,,,,,,
1.2.1.叙利亚,叙利亚 次留,0.29461,0.289767,0.298507,0.29282,0.289151,0.340485,0.296618,0.004842,1.671072
1.2.1.古巴,古巴 次留,0.145098,0.176692,0.178295,0.180672,0.185714,0.188192,0.213816,-0.031594,-17.880684
1.2.1.吉尔吉斯斯坦,吉尔吉斯斯坦 次留,0.29085,0.267559,0.295732,0.319749,0.30563,0.310263,0.347305,0.023291,8.705065
1.2.1.吉布提,吉布提 次留,0.166667,0.2,0.0,0.214286,0.2,0.157895,0.166667,-0.033333,-16.666667
1.2.1.哈萨克斯坦,哈萨克斯坦 次留,0.346774,0.318041,0.327224,0.306931,0.321994,0.334028,0.322271,0.028733,9.034271
1.2.1.哥伦比亚,哥伦比亚 次留,0.344775,0.339339,0.339281,0.342104,0.335855,0.335057,0.335798,0.005436,1.601995
1.2.1.哥斯达黎加,哥斯达黎加 次留,0.374642,0.377931,0.371731,0.351489,0.35963,0.378788,0.355846,-0.003289,-0.870318
1.2.1.喀麦隆,喀麦隆 次留,0.224913,0.266212,0.255814,0.230769,0.236246,0.264205,0.185075,-0.041298,-15.513264
1.2.1.图瓦卢,图瓦卢 次留,,,,,,,,,
1.2.1.土库曼斯坦,土库曼斯坦 次留,0.4,0.26087,0.369565,0.349057,0.300752,0.283784,0.341463,0.13913,53.333333
1.2.1.土耳其,土耳其 次留,0.292667,0.300346,0.30176,0.296999,0.306112,0.338376,0.313036,-0.007679,-2.556666
1.2.1.圣卢西亚,圣卢西亚 次留,0.367347,0.378788,0.333333,0.373626,0.239437,0.336957,0.359551,-0.011441,-3.020408
1.2.1.圣基茨和尼维斯,圣基茨和尼维斯 次留,0.315789,0.388889,0.857143,0.181818,0.222222,0.409091,0.52381,-0.073099,-18.796992
1.2.1.圣多美和普林西比,圣多美和普林西比 次留,0.555556,0.611111,0.823529,0.833333,0.526316,0.464286,0.3,-0.055556,-9.090909
1.2.1.圣巴泰勒米岛,圣巴泰勒米岛 次留,,,,,,,,,
1.2.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 次留,0.333333,0.384615,0.16,0.454545,0.258065,0.424242,0.333333,-0.051282,-13.333333
1.2.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 次留,,0.5,,,,,,,
1.2.1.圣马力诺,圣马力诺 次留,,0.333333,,,0.0,,0.0,,
1.2.1.圭亚那,圭亚那 次留,0.35122,0.28934,0.275862,0.327957,0.296117,0.280952,0.320574,0.061879,21.386393
1.2.1.坦桑尼亚,坦桑尼亚 次留,0.247335,0.245026,0.271255,0.270772,0.283465,0.251724,0.267857,0.002309,0.942176
1.2.1.埃及,埃及 次留,0.283353,0.275432,0.285214,0.284871,0.281137,0.317569,0.274688,0.007921,2.875755
1.2.1.埃塞俄比亚,埃塞俄比亚 次留,0.210276,0.185294,0.192529,0.207294,0.192703,0.195482,0.208627,0.024982,13.482247
1.2.1.基里巴斯,基里巴斯 次留,,,,0.0,0.0,,,,
1.2.1.塔吉克斯坦,塔吉克斯坦 次留,0.272727,0.294479,0.225564,0.292857,0.215385,0.20155,0.203883,-0.021751,-7.386364
1.2.1.塞内加尔,塞内加尔 次留,0.236613,0.257627,0.227273,0.265552,0.300786,0.375277,0.242371,-0.021014,-8.156912
1.2.1.塞尔维亚,塞尔维亚 次留,0.318752,0.330638,0.332995,0.322544,0.317749,0.321384,0.323798,-0.011886,-3.59487
1.2.1.塞拉利昂,塞拉利昂 次留,0.241706,0.272727,0.26455,0.27619,0.248649,0.247826,0.238579,-0.031021,-11.374408
1.2.1.塞浦路斯,塞浦路斯 次留,0.408505,0.417004,0.46165,0.426534,0.392562,0.414097,0.406886,-0.008499,-2.038084
1.2.1.塞舌尔,塞舌尔 次留,0.395349,0.414634,0.414634,0.532258,0.625,0.537037,0.529412,-0.019285,-4.651163
1.2.1.墨西哥,墨西哥 次留,0.343103,0.336271,0.341852,0.341143,0.341546,0.347218,0.345946,0.006833,2.031905
1.2.1.多哥,多哥 次留,0.19403,0.224044,0.314815,0.234899,0.310734,0.313901,0.260417,-0.030014,-13.396432
1.2.1.多米尼克,多米尼克 次留,0.25,0.272727,0.125,0.2,0.111111,0.333333,0.533333,-0.022727,-8.333333
1.2.1.多米尼加,多米尼加 次留,0.344515,0.354059,0.367609,0.366579,0.349962,0.375311,0.366312,-0.009544,-2.695531
1.2.1.奥兰群岛,奥兰群岛 次留,0.0,0.0,,0.5,,,,0.0,
1.2.1.奥地利,奥地利 次留,0.352673,0.384915,0.371928,0.359041,0.394459,0.365228,0.384243,-0.032243,-8.376572
1.2.1.委内瑞拉,委内瑞拉 次留,0.296053,0.255984,0.322739,0.324215,0.3078,0.3135,0.319711,0.040068,15.652574
1.2.1.孟加拉,孟加拉 次留,0.196928,0.204893,0.203637,0.208882,0.211777,0.243439,0.201869,-0.007966,-3.887758
1.2.1.安哥拉,安哥拉 次留,0.297297,0.309091,0.291545,0.349727,0.310056,0.304094,0.297368,-0.011794,-3.81558
1.2.1.安圭拉,安圭拉 次留,0.666667,0.0,0.0,0.333333,0.333333,0.666667,0.833333,0.666667,
1.2.1.安提瓜和巴布达,安提瓜和巴布达 次留,0.5,0.5,0.445783,0.514706,0.268293,0.365854,0.487805,0.0,0.0
1.2.1.安道尔,安道尔 次留,0.380952,0.413793,0.307692,0.1875,0.307692,0.485714,0.266667,-0.032841,-7.936508
1.2.1.密克罗尼西亚联邦,密克罗尼西亚联邦 次留,,,,,0.333333,,0.0,,
1.2.1.尼加拉瓜,尼加拉瓜 次留,0.358696,0.4,0.368421,0.358073,0.328916,0.355991,0.346389,-0.041304,-10.326087
1.2.1.尼日利亚,尼日利亚 次留,0.289083,0.276848,0.280103,0.293511,0.288852,0.299114,0.281849,0.012236,4.4197
1.2.1.尼日尔,尼日尔 次留,0.233645,0.292135,0.29703,0.237624,0.264706,0.335664,0.263636,-0.05849,-20.021567
1.2.1.尼泊尔,尼泊尔 次留,0.17837,0.188518,0.184189,0.182024,0.186137,0.185645,0.202967,-0.010149,-5.38334
1.2.1.巴勒斯坦,巴勒斯坦 次留,0.259912,0.243243,0.283898,0.248889,0.296578,0.369048,0.292237,0.016669,6.852668
1.2.1.巴哈马,巴哈马 次留,0.439394,0.389706,0.471831,0.37931,0.460938,0.439655,0.472868,0.049688,12.750143
1.2.1.巴基斯坦,巴基斯坦 次留,0.1958,0.200556,0.203414,0.197627,0.205971,0.238961,0.190044,-0.004756,-2.371563
1.2.1.巴巴多斯,巴巴多斯 次留,0.417582,0.295082,0.183099,0.116883,0.243243,0.27957,0.246575,0.1225,41.514042
1.2.1.巴布亚新几内亚,巴布亚新几内亚 次留,0.382114,0.385321,0.448598,0.366071,0.269231,0.372727,0.36036,-0.003207,-0.832365
1.2.1.巴拉圭,巴拉圭 次留,0.349645,0.348689,0.354064,0.343554,0.343901,0.352523,0.331499,0.000956,0.274158
1.2.1.巴拿马,巴拿马 次留,0.353914,0.345729,0.35743,0.316686,0.326134,0.344754,0.361876,0.008185,2.367567
