层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1.2.马达加斯加,马达加斯加 DAU,279.714286,293.714286,266.571429,275.142857,276.285714,307.285714,292.571429,-14.0,-4.766537
1.2.马达加斯加.1,iOS DAU,26.285714,25.428571,26.142857,29.0,25.285714,26.428571,24.857143,0.857143,3.370787
1.2.马达加斯加.2,Android DAU,253.428571,268.285714,240.428571,246.142857,251.0,280.857143,267.714286,-14.857143,-5.537806
1.2.马里,马里 DAU,172.142857,163.714286,184.857143,199.857143,135.0,168.0,92.142857,8.428571,5.148342
1.2.马里.1,iOS DAU,117.571429,114.571429,125.714286,138.571429,107.285714,135.285714,71.0,3.0,2.618454
1.2.马里.2,Android DAU,54.571429,49.142857,59.142857,61.285714,27.714286,32.714286,21.142857,5.428571,11.046512
1.2.黎巴嫩,黎巴嫩 DAU,989.714286,946.857143,1002.714286,976.428571,985.0,1106.428571,889.285714,42.857143,4.526252
1.2.黎巴嫩.1,iOS DAU,730.0,687.714286,727.714286,706.428571,705.285714,805.714286,634.142857,42.285714,6.148733
1.2.黎巴嫩.2,Android DAU,259.714286,259.142857,275.0,270.0,279.714286,300.714286,255.142857,0.571429,0.220507
1.2.黑山,黑山 DAU,876.142857,866.571429,796.857143,779.142857,718.142857,749.571429,713.857143,9.571429,1.104517
1.2.黑山.1,iOS DAU,751.142857,735.285714,686.285714,664.714286,618.714286,641.571429,612.714286,15.857143,2.156596
1.2.黑山.2,Android DAU,125.0,131.285714,110.571429,114.428571,99.428571,108.0,101.142857,-6.285714,-4.787813
