层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,wow,wow%
1.1.古巴,古巴 DNU,1.0,1.166667,1.0,1.5,1.6,1.5,1.0,-0.166667,-14.285714
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦 DNU,2.571429,2.666667,1.2,2.666667,2.142857,2.428571,1.5,-0.095238,-3.571429
1.1.吉布提,吉布提 DNU,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
1.1.哈萨克斯坦,哈萨克斯坦 DNU,9.714286,7.714286,6.714286,8.428571,6.857143,9.0,7.571429,2.0,25.925926
1.1.哥伦比亚,哥伦比亚 DNU,15.428571,14.0,13.428571,13.0,13.142857,14.857143,18.285714,1.428571,10.204082
1.1.哥斯达黎加,哥斯达黎加 DNU,3.0,4.0,3.25,1.25,1.857143,1.833333,1.285714,-1.0,-25.0
1.1.喀麦隆,喀麦隆 DNU,1.666667,1.25,1.666667,1.666667,1.25,1.0,2.0,0.416667,33.333333
1.1.图瓦卢,图瓦卢 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.土库曼斯坦,土库曼斯坦 DNU,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,
1.1.土耳其,土耳其 DNU,1963.142857,1290.857143,1466.285714,2095.714286,2106.857143,1655.714286,1199.571429,672.285714,52.080567
1.1.圣卢西亚,圣卢西亚 DNU,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
1.1.圣基茨和尼维斯,圣基茨和尼维斯 DNU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
1.1.圣多美和普林西比,圣多美和普林西比 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯 DNU,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-100.0
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.圣马力诺,圣马力诺 DNU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1.1.圭亚那,圭亚那 DNU,1.0,1.0,1.5,2.0,1.2,1.0,1.5,0.0,0.0
1.1.坦桑尼亚,坦桑尼亚 DNU,1.6,3.5,1.6,1.666667,2.0,1.0,1.25,-1.9,-54.285714
1.1.埃及,埃及 DNU,4.333333,7.0,7.571429,6.571429,8.285714,11.571429,5.714286,-2.666667,-38.095238
1.1.埃塞俄比亚,埃塞俄比亚 DNU,2.333333,1.25,1.25,1.6,1.666667,2.333333,1.4,1.083333,86.666667
1.1.基里巴斯,基里巴斯 DNU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1.1.塔吉克斯坦,塔吉克斯坦 DNU,1.0,1.0,1.5,1.0,1.75,1.25,1.5,0.0,0.0
1.1.塞内加尔,塞内加尔 DNU,1.0,1.0,1.0,1.666667,1.714286,2.0,1.5,0.0,0.0
1.1.塞尔维亚,塞尔维亚 DNU,3.0,3.571429,3.714286,4.0,4.333333,3.0,5.166667,-0.571429,-16.0
1.1.塞拉利昂,塞拉利昂 DNU,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,
1.1.塞浦路斯,塞浦路斯 DNU,2.0,2.0,1.75,1.5,2.4,2.166667,2.5,0.0,0.0
1.1.塞舌尔,塞舌尔 DNU,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.1.墨西哥,墨西哥 DNU,1303.142857,882.428571,1076.428571,985.714286,798.142857,520.714286,401.285714,420.714286,47.676866
1.1.多哥,多哥 DNU,1.0,1.0,1.5,2.0,1.333333,1.0,1.5,0.0,0.0
1.1.多米尼克,多米尼克 DNU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
1.1.多米尼加,多米尼加 DNU,2.857143,3.571429,2.333333,2.0,2.833333,2.285714,2.571429,-0.714286,-20.0
1.1.奥兰群岛,奥兰群岛 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.奥地利,奥地利 DNU,3.571429,3.0,3.428571,3.428571,4.0,4.857143,5.428571,0.571429,19.047619
1.1.委内瑞拉,委内瑞拉 DNU,3.571429,6.142857,5.857143,6.857143,6.714286,6.142857,8.714286,-2.571429,-41.860465
1.1.孟加拉,孟加拉 DNU,18.0,18.428571,21.428571,18.0,26.714286,30.285714,25.428571,-0.428571,-2.325581
1.1.安哥拉,安哥拉 DNU,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1.1.安圭拉,安圭拉 DNU,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-100.0
1.1.安提瓜和巴布达,安提瓜和巴布达 DNU,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,-100.0
1.1.安道尔,安道尔 DNU,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.1.密克罗尼西亚联邦,密克罗尼西亚联邦 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1.尼加拉瓜,尼加拉瓜 DNU,1.166667,1.666667,1.5,1.142857,1.75,1.4,1.333333,-0.5,-30.0
1.1.尼日利亚,尼日利亚 DNU,23.714286,27.857143,23.428571,20.571429,24.714286,17.857143,21.428571,-4.142857,-14.871795
1.1.尼日尔,尼日尔 DNU,0.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,-100.0
