月份,市场,平台,渠道/自然,DNU,新增次日留存率
2026-01,墨西哥,Android,Organic,439.51612903225805,0.10489435427251859
2026-02,墨西哥,Android,Organic,119.46428571428571,0.14002231063481926
2026-03,墨西哥,Android,Organic,243.32258064516128,0.11819634993510347
2026-04,墨西哥,Android,Organic,342.73333333333335,0.11328094365519403
2026-05,墨西哥,Android,Organic,253.51612903225808,0.1260159888746633
2026-06,墨西哥,Android,Organic,210.33333333333334,0.1491063074026863
2026-07,墨西哥,Android,Organic,212.6451612903226,0.147450336763663
2026-01,巴西,Android,Organic,4043.064516129032,0.13578997334123444
2026-02,巴西,Android,Organic,2078.785714285714,0.13498661969320253
2026-03,巴西,Android,Organic,1869.258064516129,0.13689925136506928
2026-04,巴西,Android,Organic,1959.2666666666667,0.13880286060888866
2026-05,巴西,Android,Organic,1718.516129032258,0.13429055441375798
2026-06,巴西,Android,Organic,1593.2333333333333,0.13134849096437423
2026-07,巴西,Android,Organic,1440.4516129032259,0.14133267252873954
2026-01,整体,Android,Organic,9377.838709677419,0.14657236315481734
2026-02,整体,Android,Organic,6586.071428571428,0.1564953769193833
2026-03,整体,Android,Organic,6246.193548387097,0.15634795679295013
2026-04,整体,Android,Organic,6607.5,0.15128034245775362
2026-05,整体,Android,Organic,6672.451612903225,0.15414970306039363
2026-06,整体,Android,Organic,6184.233333333334,0.1546052924215313
2026-07,整体,Android,Organic,7143.1612903225805,0.15368192755140778
2026-01,美国,Android,Organic,301.35483870967744,0.13225196549349238
2026-02,美国,Android,Organic,260.39285714285717,0.14271015847031746
2026-03,美国,Android,Organic,276.258064516129,0.14647962328031175
2026-04,美国,Android,Organic,306.6333333333333,0.14215461821751565
2026-05,美国,Android,Organic,316.0967741935484,0.1454954304008569
2026-06,美国,Android,Organic,447.6,0.15673899613070022
2026-07,美国,Android,Organic,759.7741935483871,0.14981415607612256
2026-01,英国,Android,Organic,107.38709677419355,0.12338199890115101
2026-02,英国,Android,Organic,99.10714285714286,0.14737145484427933
2026-03,英国,Android,Organic,156.8709677419355,0.11048398286865552
2026-04,英国,Android,Organic,158.63333333333333,0.12051196624149066
2026-05,英国,Android,Organic,104.3225806451613,0.162622835554153
2026-06,英国,Android,Organic,107.4,0.16518767356927194
2026-07,英国,Android,Organic,120.61290322580645,0.15862128102948295
2026-01,墨西哥,Android,non-Organic,1107.8387096774193,0.0848552948718351
2026-02,墨西哥,Android,non-Organic,214.32142857142858,0.11334933887290707
2026-03,墨西哥,Android,non-Organic,1425.774193548387,0.08612071292261882
2026-04,墨西哥,Android,non-Organic,2235.0,0.05607824508175154
2026-05,墨西哥,Android,non-Organic,898.3870967741935,0.04538105391640607
2026-06,墨西哥,Android,non-Organic,920.4333333333333,0.07351867871336126
2026-07,墨西哥,Android,non-Organic,1180.258064516129,0.0977102650268793
2026-01,巴西,Android,non-Organic,19178.83870967742,0.09688413800846886
2026-02,巴西,Android,non-Organic,14378.5,0.10064996933599128
2026-03,巴西,Android,non-Organic,10415.354838709678,0.09767103907921618
2026-04,巴西,Android,non-Organic,8336.866666666667,0.08712388114104712
2026-05,巴西,Android,non-Organic,7986.935483870968,0.07943562860952798
2026-06,巴西,Android,non-Organic,7799.366666666667,0.09442361919044262
2026-07,巴西,Android,non-Organic,3406.064516129032,0.1150389765051828
2026-01,整体,Android,non-Organic,21614.129032258064,0.09664396704030505
2026-02,整体,Android,non-Organic,15915.75,0.10184322366088892
2026-03,整体,Android,non-Organic,13372.064516129032,0.0973323283841188
2026-04,整体,Android,non-Organic,13076.1,0.08334245234347631
2026-05,整体,Android,non-Organic,11130.161290322581,0.07933618974893926
2026-06,整体,Android,non-Organic,11421.366666666667,0.09291293199429686
2026-07,整体,Android,non-Organic,7531.709677419355,0.10872329985918551
2026-01,美国,Android,non-Organic,276.1290322580645,0.0981539808437698
2026-02,美国,Android,non-Organic,329.89285714285717,0.10152788178655318
2026-03,美国,Android,non-Organic,370.16129032258067,0.09901653848927912
2026-04,美国,Android,non-Organic,362.3333333333333,0.09620177889281756
2026-05,美国,Android,non-Organic,314.8709677419355,0.10984500140911208
2026-06,美国,Android,non-Organic,272.43333333333334,0.12340102907106686
2026-07,美国,Android,non-Organic,317.1290322580645,0.12874190091293022
2026-01,英国,Android,non-Organic,17.225806451612904,0.11466164908144608
2026-02,英国,Android,non-Organic,16.357142857142858,0.12452044862233937
2026-03,英国,Android,non-Organic,52.12903225806452,0.09960491250024461
2026-04,英国,Android,non-Organic,54.46666666666667,0.09754563776055482
2026-05,英国,Android,non-Organic,12.806451612903226,0.1165135735571343
2026-06,英国,Android,non-Organic,17.233333333333334,0.08456431655660332
2026-07,英国,Android,non-Organic,18.967741935483872,0.10653001070366805
2026-01,墨西哥,iOS,Organic,253.2258064516129,0.15710047708166625
2026-02,墨西哥,iOS,Organic,219.71428571428572,0.16135178877180123
2026-03,墨西哥,iOS,Organic,214.09677419354838,0.16084820687968873
2026-04,墨西哥,iOS,Organic,308.9,0.14227518723210925
2026-05,墨西哥,iOS,Organic,213.93548387096774,0.1620242656217521
2026-06,墨西哥,iOS,Organic,208.06666666666666,0.16773175107256372
2026-07,墨西哥,iOS,Organic,453.5483870967742,0.1787293193138806
2026-01,巴西,iOS,Organic,5051.774193548387,0.19643093649010335
2026-02,巴西,iOS,Organic,3975.964285714286,0.1959945110048888
2026-03,巴西,iOS,Organic,4206.870967741936,0.18641778794937122
2026-04,巴西,iOS,Organic,4623.966666666666,0.18409484660269992
2026-05,巴西,iOS,Organic,4817.322580645161,0.18742667205484853
2026-06,巴西,iOS,Organic,5092.9,0.18501763263724516
2026-07,巴西,iOS,Organic,4495.709677419355,0.19004418349952285
2026-01,整体,iOS,Organic,15920.09677419355,0.156544906686826
2026-02,整体,iOS,Organic,13886.607142857143,0.1543188924813165
2026-03,整体,iOS,Organic,13913.741935483871,0.15422813104253422
2026-04,整体,iOS,Organic,16087.566666666668,0.16016989044885183
2026-05,整体,iOS,Organic,18838.774193548386,0.16620377796089528
2026-06,整体,iOS,Organic,20280.5,0.16629273123528396
2026-07,整体,iOS,Organic,19599.0,0.17239463611577246
2026-01,美国,iOS,Organic,2834.3870967741937,0.11613094084510622
2026-02,美国,iOS,Organic,2625.3928571428573,0.11856814231557773
2026-03,美国,iOS,Organic,2591.0967741935483,0.1251410238439909
2026-04,美国,iOS,Organic,2735.766666666667,0.12799439304090449
2026-05,美国,iOS,Organic,3457.032258064516,0.13665826017029412
2026-06,美国,iOS,Organic,3470.4333333333334,0.13718604997735437
2026-07,美国,iOS,Organic,3508.548387096774,0.14543838033017764
2026-01,英国,iOS,Organic,780.1290322580645,0.12422712082449122
2026-02,英国,iOS,Organic,777.1785714285714,0.12287375139907837
2026-03,英国,iOS,Organic,729.258064516129,0.12289811072407326
2026-04,英国,iOS,Organic,792.8,0.1318299878661437
2026-05,英国,iOS,Organic,1014.0322580645161,0.13737282358464115
2026-06,英国,iOS,Organic,1200.0666666666666,0.1365157836690507
2026-07,英国,iOS,Organic,1168.6451612903227,0.15555228156003537
2026-01,墨西哥,iOS,non-Organic,14.129032258064516,0.11864734727637953
2026-02,墨西哥,iOS,non-Organic,15.535714285714286,0.08747292997813401
2026-03,墨西哥,iOS,non-Organic,20.516129032258064,0.12039908096454152
2026-04,墨西哥,iOS,non-Organic,165.36666666666667,0.08483162910583406
2026-05,墨西哥,iOS,non-Organic,13.32258064516129,0.14601290720122223
2026-06,墨西哥,iOS,non-Organic,12.866666666666667,0.1712642102193186
2026-07,墨西哥,iOS,non-Organic,271.38709677419354,0.17246844986935742
2026-01,巴西,iOS,non-Organic,34.41935483870968,0.14729083633876422
2026-02,巴西,iOS,non-Organic,33.5,0.14716596875722548
2026-03,巴西,iOS,non-Organic,723.9354838709677,0.10248784899118539
2026-04,巴西,iOS,non-Organic,735.6,0.08611082397943329
2026-05,巴西,iOS,non-Organic,1036.8387096774193,0.11107733703512898
2026-06,巴西,iOS,non-Organic,1210.4666666666667,0.13093096294747988
2026-07,巴西,iOS,non-Organic,810.3870967741935,0.1365992222311412
2026-01,整体,iOS,non-Organic,2895.6774193548385,0.11192715535566544
2026-02,整体,iOS,non-Organic,3114.035714285714,0.10524607547059914
2026-03,整体,iOS,non-Organic,4404.709677419355,0.10721448372399346
2026-04,整体,iOS,non-Organic,4173.7,0.10970019059769176
2026-05,整体,iOS,non-Organic,4912.677419354839,0.11893717335866084
2026-06,整体,iOS,non-Organic,6024.7,0.1268328482058614
2026-07,整体,iOS,non-Organic,4585.419354838709,0.13853605736572608
2026-01,美国,iOS,non-Organic,1812.4193548387098,0.10542515373540763
2026-02,美国,iOS,non-Organic,1784.5,0.10238100102346602
2026-03,美国,iOS,non-Organic,1919.9354838709678,0.11537550590140226
2026-04,美国,iOS,non-Organic,1822.0,0.11570418308258085
2026-05,美国,iOS,non-Organic,2565.032258064516,0.11733707986514515
2026-06,美国,iOS,non-Organic,2929.2,0.12537354611716053
2026-07,美国,iOS,non-Organic,1799.1935483870968,0.13231724346011176
2026-01,英国,iOS,non-Organic,289.96774193548384,0.1287590331354257
2026-02,英国,iOS,non-Organic,279.7142857142857,0.13980568993004974
2026-03,英国,iOS,non-Organic,415.5483870967742,0.12918611516525388
2026-04,英国,iOS,non-Organic,385.1333333333333,0.1397611646285869
