层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
3.1.荷兰加勒比,荷兰加勒比 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.荷属圣马丁,荷属圣马丁 新增次日留存UV,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-100.0
3.1.莫桑比克,莫桑比克 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.莱索托,莱索托 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.菲律宾,菲律宾 新增次日留存UV,0.857143,0.571429,0.714286,1.285714,0.833333,1.0,0.571429,1.142857,0.285714,50.0
3.1.萨尔瓦多,萨尔瓦多 新增次日留存UV,0.6,0.2,0.2,0.428571,0.166667,0.333333,0.333333,0.166667,0.4,200.0
3.1.萨摩亚,萨摩亚 新增次日留存UV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.葡萄牙,葡萄牙 新增次日留存UV,0.571429,1.142857,1.428571,1.0,1.142857,0.857143,1.571429,1.571429,-0.571429,-50.0
3.1.蒙古,蒙古 新增次日留存UV,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,
3.1.西班牙,西班牙 新增次日留存UV,62.142857,56.714286,60.428571,52.571429,29.857143,11.285714,20.142857,22.0,5.428571,9.571788
3.1.贝宁,贝宁 新增次日留存UV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,-100.0
3.1.赞比亚,赞比亚 新增次日留存UV,0.5,0.0,0.0,0.0,0.5,0.666667,0.0,0.0,0.5,
3.1.赤道几内亚,赤道几内亚 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.越南,越南 新增次日留存UV,0.5,0.2,0.333333,0.666667,0.285714,0.333333,0.666667,0.0,0.3,150.0
3.1.阿塞拜疆,阿塞拜疆 新增次日留存UV,0.0,0.0,0.5,0.333333,0.428571,0.428571,0.333333,0.25,0.0,
3.1.阿富汗,阿富汗 新增次日留存UV,0.0,1.0,0.0,0.166667,0.0,0.0,0.0,0.166667,-1.0,-100.0
3.1.阿尔及利亚,阿尔及利亚 新增次日留存UV,0.0,0.6,0.25,0.285714,0.5,0.428571,0.2,0.2,-0.6,-100.0
3.1.阿尔巴尼亚,阿尔巴尼亚 新增次日留存UV,0.571429,0.714286,0.428571,0.285714,0.714286,1.0,0.333333,0.714286,-0.142857,-20.0
3.1.阿曼,阿曼 新增次日留存UV,0.0,0.0,0.5,0.333333,0.5,0.333333,0.0,0.333333,0.0,
3.1.阿根廷,阿根廷 新增次日留存UV,1.428571,0.857143,0.285714,0.857143,0.857143,0.428571,1.142857,0.571429,0.571429,66.666667
3.1.阿联酋,阿联酋 新增次日留存UV,0.666667,0.285714,0.4,0.571429,0.714286,0.0,0.428571,1.142857,0.380952,133.333333
3.1.阿鲁巴,阿鲁巴 新增次日留存UV,0.333333,0.25,0.333333,0.333333,0.5,0.25,0.666667,0.5,0.083333,33.333333
3.1.韩国,韩国 新增次日留存UV,0.2,0.166667,0.333333,0.166667,0.0,0.166667,0.0,0.166667,0.033333,20.0
3.1.香港,香港 新增次日留存UV,1.571429,1.428571,1.428571,2.285714,18.857143,72.571429,10.857143,1.571429,0.142857,10.0
3.1.马尔代夫,马尔代夫 新增次日留存UV,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5,-0.5,-100.0
3.1.马恩岛,马恩岛 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,
3.1.马拉维,马拉维 新增次日留存UV,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,
3.1.马提尼克岛,马提尼克岛 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.马来西亚,马来西亚 新增次日留存UV,0.4,0.428571,0.2,0.0,0.0,0.285714,0.2,0.285714,-0.028571,-6.666667
3.1.马约特,马约特 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.马绍尔群岛,马绍尔群岛 新增次日留存UV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.1.马耳他,马耳他 新增次日留存UV,1.0,0.25,0.8,0.25,1.0,0.75,0.166667,0.0,0.75,300.0
3.1.马达加斯加,马达加斯加 新增次日留存UV,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,-0.25,-100.0
3.1.马里,马里 新增次日留存UV,0.0,0.333333,0.5,0.0,0.0,0.0,0.333333,0.0,-0.333333,-100.0
3.1.黎巴嫩,黎巴嫩 新增次日留存UV,0.0,0.0,0.5,0.2,0.666667,0.2,0.0,0.166667,0.0,
3.1.黑山,黑山 新增次日留存UV,0.714286,0.0,0.2,0.0,0.285714,0.6,0.0,0.333333,0.714286,
3.2,自然 新增次日留存UV,5032.714286,4902.428571,4478.857143,4223.571429,4269.142857,4728.0,4215.0,4181.428571,130.285714,2.657575
3.2.unknow,unknow 新增次日留存UV,0.25,0.0,0.0,0.0,0.166667,0.0,0.2,0.0,0.25,
3.2.不丹,不丹 新增次日留存UV,0.5,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.5,
3.2.东帝汶,东帝汶 新增次日留存UV,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,-0.25,-100.0
3.2.中国,中国 新增次日留存UV,35.571429,60.714286,51.428571,6.857143,7.0,6.428571,9.571429,10.571429,-25.142857,-41.411765
3.2.中非,中非 新增次日留存UV,0.333333,0.5,0.333333,0.0,0.0,0.4,0.0,0.2,-0.166667,-33.333333
3.2.丹麦,丹麦 新增次日留存UV,5.428571,5.571429,7.428571,7.571429,7.0,3.285714,6.857143,5.285714,-0.142857,-2.564103
3.2.乌克兰,乌克兰 新增次日留存UV,143.142857,86.428571,86.285714,83.285714,85.142857,82.571429,114.428571,55.571429,56.714286,65.619835
3.2.乌兹别克斯坦,乌兹别克斯坦 新增次日留存UV,9.571429,5.857143,5.428571,6.0,7.714286,25.428571,4.857143,7.0,3.714286,63.414634
3.2.乌干达,乌干达 新增次日留存UV,3.714286,1.714286,2.285714,1.714286,3.428571,2.714286,2.857143,2.857143,2.0,116.666667
3.2.乌拉圭,乌拉圭 新增次日留存UV,3.0,2.571429,1.857143,2.428571,2.142857,2.0,1.857143,1.285714,0.428571,16.666667
3.2.乍得,乍得 新增次日留存UV,0.714286,0.0,0.2,0.285714,0.428571,0.0,0.5,0.0,0.714286,
3.2.也门,也门 新增次日留存UV,2.142857,0.714286,1.0,0.714286,1.285714,0.714286,0.571429,0.857143,1.428571,200.0
3.2.亚美尼亚,亚美尼亚 新增次日留存UV,9.571429,11.428571,14.857143,10.571429,11.571429,9.0,14.285714,38.571429,-1.857143,-16.25
