层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1.2.摩洛哥,摩洛哥 DNU,155.714286,107.0,115.0,85.714286,86.714286,65.0,68.571429,62.285714,48.714286,45.52737
1.2.摩纳哥,摩纳哥 DNU,1.333333,1.5,1.25,2.0,1.5,1.5,1.2,1.666667,-0.166667,-11.111111
1.2.文莱,文莱 DNU,2.0,2.0,1.4,1.166667,1.6,1.4,1.75,1.833333,0.0,0.0
1.2.斐济,斐济 DNU,3.0,2.166667,2.75,2.666667,1.714286,2.5,1.666667,2.2,0.833333,38.461538
1.2.斯威士兰,斯威士兰 DNU,1.0,1.2,1.0,1.0,1.333333,1.333333,1.0,1.333333,-0.2,-16.666667
1.2.斯洛伐克,斯洛伐克 DNU,31.428571,23.0,21.857143,23.285714,24.571429,20.714286,20.571429,18.714286,8.428571,36.645963
1.2.斯洛文尼亚,斯洛文尼亚 DNU,13.285714,13.142857,12.714286,11.714286,12.857143,13.142857,14.0,14.142857,0.142857,1.086957
1.2.斯里兰卡,斯里兰卡 DNU,24.142857,14.0,11.285714,16.285714,13.285714,13.571429,12.857143,10.571429,10.142857,72.44898
1.2.新加坡,新加坡 DNU,56.857143,41.714286,41.714286,35.428571,47.0,34.714286,38.571429,34.428571,15.142857,36.30137
1.2.新喀里多尼亚,新喀里多尼亚 DNU,3.0,1.333333,1.333333,1.0,1.0,1.0,1.0,1.0,1.666667,125.0
1.2.新西兰,新西兰 DNU,30.571429,25.285714,26.714286,29.142857,31.714286,23.571429,28.142857,24.714286,5.285714,20.903955
1.2.日本,日本 DNU,48.571429,48.285714,39.142857,44.142857,39.428571,37.571429,46.571429,61.142857,0.285714,0.591716
1.2.智利,智利 DNU,80.142857,69.714286,55.857143,56.285714,50.714286,57.714286,55.428571,48.571429,10.428571,14.959016
1.2.柬埔寨,柬埔寨 DNU,15.571429,10.142857,12.142857,7.857143,7.428571,10.714286,9.857143,11.142857,5.428571,53.521127
1.2.根西岛,根西岛 DNU,1.5,1.25,1.4,1.333333,1.333333,1.5,1.25,1.0,0.25,20.0
1.2.格林纳达,格林纳达 DNU,2.75,1.666667,2.0,1.5,1.2,1.666667,1.25,1.5,1.083333,65.0
1.2.格陵兰,格陵兰 DNU,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1.2.格鲁吉亚,格鲁吉亚 DNU,77.571429,77.285714,78.0,72.714286,60.857143,67.571429,63.142857,66.571429,0.285714,0.369686
1.2.比利时,比利时 DNU,77.0,81.0,84.428571,55.428571,59.428571,60.857143,56.857143,59.857143,-4.0,-4.938272
1.2.毛里塔尼亚,毛里塔尼亚 DNU,4.571429,2.428571,5.5,2.714286,6.142857,4.166667,4.571429,6.0,2.142857,88.235294
1.2.毛里求斯,毛里求斯 DNU,5.285714,3.857143,4.857143,6.571429,4.857143,6.142857,3.857143,3.571429,1.428571,37.037037
