日期,平台,国家,订阅类型,订阅毛利（剔除退款，$）,新增毛利,续订毛利
2025-06-01,整体,墨西哥,整体,53110.376,20508.351,35591.028000000006
2025-06-01,整体,多哥,整体,0.0,,
2025-06-01,整体,多米尼克,整体,52.375,37.675,14.7
2025-06-01,整体,多米尼加,整体,3075.3920000000007,1380.5030000000002,1846.0789999999997
2025-06-01,整体,奥兰群岛,整体,0.0,,
2025-06-01,整体,奥地利,整体,8134.681000000002,4337.287,3991.942
2025-06-01,整体,委内瑞拉,整体,174.558,90.153,84.40499999999999
2025-06-01,整体,孟加拉,整体,38.739,14.211,24.528
2025-06-01,整体,安哥拉,整体,238.51100000000002,72.59,165.92099999999996
2025-06-01,整体,安圭拉,整体,0.0,,
2025-06-01,整体,安提瓜和巴布达,整体,139.748,41.041000000000004,98.707
2025-06-01,整体,安道尔,整体,0.0,,
2025-06-01,整体,密克罗尼西亚联邦,整体,0.0,,
2025-06-01,整体,尼加拉瓜,整体,357.34499999999997,165.81799999999998,203.42699999999996
2025-06-01,整体,尼日利亚,整体,1541.076,955.0849999999998,627.1629999999999
2025-06-01,整体,尼日尔,整体,17.5,17.5,0.0
2025-06-01,整体,尼泊尔,整体,33.918,25.533,8.385
2025-06-01,整体,巴勒斯坦,整体,0.0,,
2025-06-01,整体,巴哈马,整体,694.833,499.12,253.61300000000003
2025-06-01,整体,巴基斯坦,整体,1174.939,661.4259999999999,564.739
2025-06-01,整体,巴巴多斯,整体,210.85,150.06,84.60999999999999
2025-06-01,整体,巴布亚新几内亚,整体,54.915,21.7,33.215
2025-06-01,整体,巴拉圭,整体,1503.218,693.086,810.1320000000001
2025-06-01,整体,巴拿马,整体,1705.5109999999997,783.489,987.1220000000001
2025-06-01,整体,巴林,整体,503.8880000000001,313.11500000000007,190.773
2025-06-01,整体,巴西,整体,363395.22000000003,223933.01899999997,170154.59400000004
2025-06-01,整体,布基纳法索,整体,32.052,26.451999999999998,5.6
2025-06-01,整体,布隆迪,整体,0.0,,
2025-06-01,整体,布韦岛,整体,0.0,,
2025-06-01,整体,希腊,整体,13192.71,5994.209000000001,7604.56
