渠道自然,国家,日期,平台,新老,MAU
Organic,也门,2025-06-01,Android,整体,390.0
non-Organic,法属圣马丁,2025-07-01,整体,整体,9.0
non-Organic,土库曼斯坦,2025-07-01,Android,整体,122.0
Organic,法国,2025-09-01,整体,整体,46112.0
Organic,土库曼斯坦,2025-09-01,Android,整体,153.0
non-Organic,基里巴斯,2025-12-01,整体,整体,1.0
Organic,美属萨摩亚,2025-12-01,iOS,整体,8.0
整体,埃及,2025-12-01,整体,整体,29883.0
non-Organic,法国,2025-11-01,iOS,整体,1208.0
Organic,乌拉圭,2026-02-01,iOS,整体,2829.0
Organic,叙利亚,2026-03-01,Android,整体,2661.0
Organic,土库曼斯坦,2026-03-01,整体,整体,110.0
Organic,乌拉圭,2026-05-01,整体,整体,3119.0
non-Organic,斯威士兰,2025-08-01,整体,整体,22.0
Organic,阿联酋,2025-08-01,Android,整体,3154.0
non-Organic,索马里,2025-08-01,iOS,整体,61.0
整体,斯威士兰,2026-01-01,整体,整体,120.0
整体,乌拉圭,2026-01-01,Android,整体,1398.0
整体,美属萨摩亚,2026-01-01,iOS,整体,6.0
Organic,索马里,2026-04-01,Android,整体,824.0
Organic,安道尔,2026-04-01,Android,整体,32.0
Organic,瑙鲁,2025-10-01,iOS,整体,2.0
Organic,圣多美和普林西比,2025-10-01,整体,整体,50.0
Organic,尼日利亚,2025-10-01,Android,整体,15468.0
non-Organic,索马里,2025-10-01,整体,整体,218.0
整体,索马里,2025-06-01,iOS,整体,717.0
non-Organic,乌拉圭,2025-07-01,整体,整体,268.0
整体,津巴布韦,2025-07-01,iOS,整体,489.0
Organic,圣多美和普林西比,2025-07-01,iOS,整体,14.0
non-Organic,叙利亚,2025-09-01,iOS,整体,274.0
non-Organic,也门,2025-09-01,Android,整体,518.0
整体,塞拉利昂,2025-09-01,整体,整体,836.0
整体,津巴布韦,2025-12-01,Android,整体,649.0
non-Organic,阿尔及利亚,2025-12-01,iOS,整体,29.0
non-Organic,瑙鲁,2025-12-01,整体,整体,1.0
non-Organic,卢森堡,2025-12-01,Android,整体,14.0
Organic,埃及,2025-12-01,整体,整体,25086.0
整体,也门,2025-11-01,整体,整体,1213.0
Organic,洪都拉斯,2026-02-01,Android,整体,1491.0
整体,基里巴斯,2026-02-01,iOS,整体,2.0
整体,克罗地亚,2026-07-01,Android,整体,3839.0
Organic,也门,2026-07-01,iOS,整体,68.0
整体,索马里,2026-05-01,整体,整体,1549.0
non-Organic,土库曼斯坦,2026-05-01,Android,整体,7.0
non-Organic,美属萨摩亚,2026-05-01,整体,整体,2.0
non-Organic,柬埔寨,2026-05-01,Android,整体,65.0
整体,尼日利亚,2026-05-01,iOS,整体,58914.0
non-Organic,塞拉利昂,2025-08-01,iOS,整体,8.0
non-Organic,尼日利亚,2025-08-01,整体,整体,4190.0
整体,亚美尼亚,2026-03-01,Android,整体,987.0
non-Organic,斯威士兰,2026-04-01,整体,整体,3.0
non-Organic,斯威士兰,2026-06-01,整体,整体,3.0
Organic,津巴布韦,2026-06-01,iOS,整体,452.0
Organic,卢森堡,2026-06-01,整体,整体,1298.0
non-Organic,柬埔寨,2025-06-01,整体,整体,398.0
整体,津巴布韦,2025-06-01,iOS,整体,475.0
Organic,塞拉利昂,2025-07-01,iOS,整体,277.0
整体,塞拉利昂,2025-07-01,整体,整体,916.0
Organic,克罗地亚,2025-07-01,iOS,整体,16823.0
整体,美属萨摩亚,2025-07-01,Android,整体,6.0
整体,塞浦路斯,2025-07-01,iOS,整体,7462.0
non-Organic,柬埔寨,2025-09-01,iOS,整体,131.0
non-Organic,美属萨摩亚,2025-09-01,Android,整体,2.0
整体,法国,2025-09-01,Android,整体,17342.0
整体,法属圣马丁,2025-12-01,iOS,整体,97.0
Organic,塞浦路斯,2025-12-01,iOS,整体,3616.0
整体,尼日利亚,2025-12-01,整体,整体,40971.0
Organic,圣卢西亚,2025-12-01,iOS,整体,397.0
Organic,柬埔寨,2025-11-01,整体,整体,1551.0
Organic,津巴布韦,2025-11-01,整体,整体,1027.0
整体,索马里,2025-11-01,Android,整体,1413.0
整体,卢森堡,2025-11-01,整体,整体,1326.0
整体,安提瓜和巴布达,2025-11-01,整体,整体,473.0
整体,克罗地亚,2026-02-01,整体,整体,10381.0
non-Organic,亚美尼亚,2026-07-01,Android,整体,137.0
non-Organic,叙利亚,2026-05-01,整体,整体,690.0
Organic,索马里,2026-05-01,iOS,整体,564.0
Organic,基里巴斯,2026-05-01,iOS,整体,4.0
non-Organic,亚美尼亚,2025-08-01,Android,整体,366.0
Organic,阿联酋,2026-03-01,Android,整体,2796.0
整体,塞浦路斯,2026-03-01,整体,整体,3964.0
整体,克罗地亚,2026-03-01,iOS,整体,8103.0
整体,安提瓜和巴布达,2026-03-01,iOS,整体,461.0
non-Organic,东帝汶,2026-04-01,整体,整体,13.0
整体,尼日利亚,2026-04-01,整体,整体,58045.0
Organic,柬埔寨,2026-04-01,Android,整体,287.0
Organic,乌拉圭,2026-01-01,整体,整体,5112.0
non-Organic,亚美尼亚,2026-01-01,iOS,整体,81.0
non-Organic,津巴布韦,2026-06-01,整体,整体,60.0
Organic,东帝汶,2026-06-01,iOS,整体,33.0
non-Organic,叙利亚,2026-06-01,Android,整体,584.0
整体,克罗地亚,2025-10-01,Android,整体,4877.0
