渠道自然,国家,日期,平台,新老,MAU
Organic,尼加拉瓜,2025-12-01,Android,整体,1093.0
Organic,福克兰群岛,2025-07-01,整体,整体,5.0
整体,福克兰群岛,2026-07-01,整体,整体,10.0
整体,南苏丹,2026-07-01,Android,整体,6196.0
non-Organic,荷兰加勒比,2026-07-01,整体,整体,8.0
Organic,荷兰加勒比,2026-01-01,整体,整体,79.0
整体,哥伦比亚,2026-06-01,iOS,整体,37607.0
non-Organic,瑞士,2026-06-01,整体,整体,978.0
Organic,斯洛文尼亚,2026-06-01,整体,整体,3172.0
整体,尼加拉瓜,2026-06-01,整体,整体,1835.0
Organic,乌克兰,2025-08-01,整体,整体,82594.0
Organic,马恩岛,2025-08-01,Android,整体,37.0
non-Organic,法属波利尼西亚,2025-08-01,iOS,整体,15.0
non-Organic,格林纳达,2025-08-01,Android,整体,12.0
整体,圣文森特和格林纳丁斯,2025-06-01,Android,整体,75.0
non-Organic,马恩岛,2025-06-01,Android,整体,6.0
Organic,海地,2026-03-01,整体,整体,3695.0
整体,波黑,2026-03-01,iOS,整体,10032.0
Organic,圣文森特和格林纳丁斯,2026-03-01,Android,整体,45.0
整体,法属波利尼西亚,2026-05-01,Android,整体,27.0
整体,海地,2026-05-01,iOS,整体,1347.0
整体,立陶宛,2026-05-01,整体,整体,9736.0
整体,摩纳哥,2026-05-01,整体,整体,302.0
Organic,福克兰群岛,2026-05-01,iOS,整体,3.0
non-Organic,尼日尔,2025-11-01,整体,整体,10.0
non-Organic,哥伦比亚,2025-11-01,Android,整体,2035.0
整体,拉脱维亚,2025-11-01,iOS,整体,5033.0
non-Organic,尼加拉瓜,2025-11-01,iOS,整体,27.0
non-Organic,福克兰群岛,2026-02-01,iOS,整体,2.0
non-Organic,新西兰,2025-10-01,整体,整体,243.0
整体,海地,2025-10-01,iOS,整体,1429.0
整体,立陶宛,2025-10-01,整体,整体,9618.0
Organic,尼加拉瓜,2026-04-01,Android,整体,851.0
non-Organic,澳门,2026-04-01,整体,整体,17.0
整体,安圭拉,2026-04-01,整体,整体,107.0
Organic,南苏丹,2026-04-01,整体,整体,5547.0
整体,尼日尔,2026-04-01,iOS,整体,237.0
整体,圣文森特和格林纳丁斯,2025-12-01,Android,整体,56.0
整体,萨尔瓦多,2025-07-01,Android,整体,2449.0
non-Organic,圣文森特和格林纳丁斯,2026-07-01,Android,整体,3.0
Organic,海地,2026-01-01,整体,整体,4438.0
Organic,格林纳达,2026-01-01,iOS,整体,152.0
Organic,库拉索,2026-06-01,整体,整体,569.0
整体,阿鲁巴,2025-09-01,整体,整体,739.0
Organic,塞内加尔,2025-09-01,Android,整体,2001.0
整体,摩纳哥,2025-08-01,整体,整体,472.0
non-Organic,安圭拉,2025-08-01,Android,整体,2.0
Organic,瑞士,2025-06-01,整体,整体,14378.0
整体,新西兰,2025-06-01,整体,整体,9637.0
non-Organic,塞内加尔,2026-03-01,iOS,整体,70.0
Organic,斯洛文尼亚,2026-03-01,整体,整体,2909.0
整体,尼加拉瓜,2026-03-01,iOS,整体,870.0
non-Organic,乌克兰,2026-03-01,iOS,整体,861.0
non-Organic,法属波利尼西亚,2026-05-01,iOS,整体,15.0
Organic,利比亚,2026-05-01,整体,整体,1275.0
Organic,阿根廷,2025-11-01,iOS,整体,21444.0
Organic,尼加拉瓜,2025-11-01,整体,整体,1850.0
整体,利比亚,2026-02-01,Android,整体,1044.0
Organic,瑞士,2026-02-01,整体,整体,12528.0
整体,安圭拉,2026-02-01,Android,整体,9.0
整体,新西兰,2026-02-01,整体,整体,8504.0
Organic,澳门,2025-10-01,Android,整体,42.0
Organic,哥伦比亚,2026-04-01,Android,整体,18198.0
整体,福克兰群岛,2026-04-01,整体,整体,8.0
non-Organic,法属波利尼西亚,2025-12-01,整体,整体,8.0
整体,海地,2025-12-01,整体,整体,4477.0
整体,马约特,2025-12-01,Android,整体,2.0
整体,库拉索,2025-07-01,iOS,整体,553.0
non-Organic,拉脱维亚,2025-07-01,Android,整体,179.0
Organic,格林纳达,2026-07-01,整体,整体,168.0
Organic,马恩岛,2026-07-01,iOS,整体,264.0
Organic,圣文森特和格林纳丁斯,2026-01-01,Android,整体,44.0
整体,摩纳哥,2026-01-01,iOS,整体,141.0
Organic,尼加拉瓜,2026-06-01,Android,整体,810.0
non-Organic,尼日尔,2026-06-01,iOS,整体,16.0
non-Organic,福克兰群岛,2026-06-01,整体,整体,1.0
整体,澳门,2025-09-01,整体,整体,243.0
Organic,法属波利尼西亚,2025-09-01,iOS,整体,129.0
non-Organic,立陶宛,2025-09-01,Android,整体,181.0
non-Organic,哥伦比亚,2025-08-01,iOS,整体,1247.0
non-Organic,库拉索,2025-08-01,整体,整体,72.0
Organic,瑞士,2025-08-01,整体,整体,13838.0
non-Organic,尼加拉瓜,2025-08-01,iOS,整体,48.0
non-Organic,立陶宛,2025-08-01,Android,整体,216.0
整体,尼日尔,2025-08-01,iOS,整体,92.0
整体,斯洛文尼亚,2025-08-01,整体,整体,3710.0
Organic,福克兰群岛,2025-06-01,Android,整体,3.0
non-Organic,拉脱维亚,2025-06-01,Android,整体,181.0
整体,安圭拉,2025-06-01,整体,整体,78.0
整体,圣文森特和格林纳丁斯,2025-06-01,整体,整体,194.0
non-Organic,阿鲁巴,2025-06-01,整体,整体,129.0
整体,阿鲁巴,2026-03-01,整体,整体,1051.0
Organic,法属波利尼西亚,2026-03-01,Android,整体,15.0
non-Organic,乌克兰,2026-03-01,整体,整体,2367.0
non-Organic,澳门,2026-03-01,Android,整体,2.0
整体,格林纳达,2026-03-01,iOS,整体,186.0
non-Organic,立陶宛,2026-05-01,Android,整体,99.0
non-Organic,马恩岛,2026-05-01,Android,整体,2.0
non-Organic,瑞士,2025-11-01,Android,整体,154.0
non-Organic,南苏丹,2025-11-01,Android,整体,892.0
整体,拉脱维亚,2025-11-01,整体,整体,6261.0
整体,波黑,2026-02-01,Android,整体,3699.0
整体,尼日尔,2026-02-01,iOS,整体,102.0
整体,圣文森特和格林纳丁斯,2025-10-01,iOS,整体,138.0
整体,立陶宛,2025-10-01,iOS,整体,7639.0
Organic,拉脱维亚,2025-10-01,iOS,整体,5140.0
non-Organic,阿鲁巴,2026-04-01,Android,整体,10.0
non-Organic,澳门,2026-04-01,Android,整体,3.0
Organic,拉脱维亚,2026-04-01,iOS,整体,7451.0
Organic,阿根廷,2025-12-01,iOS,整体,22368.0
non-Organic,利比亚,2025-12-01,iOS,整体,21.0
Organic,拉脱维亚,2025-07-01,Android,整体,1031.0
non-Organic,法属波利尼西亚,2025-07-01,iOS,整体,12.0
non-Organic,哥伦比亚,2026-07-01,iOS,整体,1010.0
整体,圣文森特和格林纳丁斯,2026-07-01,iOS,整体,136.0
整体,萨尔瓦多,2026-07-01,整体,整体,3378.0
Organic,越南,2026-01-01,iOS,整体,5683.0
non-Organic,立陶宛,2026-01-01,Android,整体,99.0
Organic,尼日尔,2026-01-01,iOS,整体,115.0
Organic,安圭拉,2026-01-01,整体,整体,70.0
整体,瑞士,2026-06-01,整体,整体,17741.0
Organic,海地,2026-06-01,iOS,整体,1159.0
Organic,阿根廷,2025-09-01,整体,整体,41422.0
Organic,乌克兰,2025-08-01,Android,整体,17246.0
Organic,爱沙尼亚,2025-06-01,Android,整体,491.0
Organic,马约特,2025-06-01,iOS,整体,7.0
non-Organic,利比亚,2026-03-01,整体,整体,431.0
Organic,波黑,2025-11-01,整体,整体,14844.0
整体,斯洛文尼亚,2025-11-01,Android,整体,768.0
Organic,尼日尔,2026-02-01,iOS,整体,101.0
non-Organic,海地,2026-02-01,Android,整体,92.0
Organic,塞内加尔,2026-02-01,Android,整体,1020.0
non-Organic,塞内加尔,2025-10-01,整体,整体,101.0
Organic,马恩岛,2025-10-01,整体,整体,379.0
Organic,阿根廷,2025-10-01,Android,整体,27877.0
non-Organic,尼日尔,2025-10-01,iOS,整体,1.0
non-Organic,摩纳哥,2025-10-01,Android,整体,1.0
non-Organic,瑞士,2026-04-01,Android,整体,239.0
non-Organic,利比亚,2026-04-01,整体,整体,383.0
Organic,马约特,2025-12-01,iOS,整体,6.0
non-Organic,马恩岛,2025-12-01,iOS,整体,13.0
non-Organic,海地,2025-12-01,整体,整体,221.0
Organic,尼日尔,2025-07-01,iOS,整体,94.0
non-Organic,阿根廷,2025-07-01,整体,整体,3794.0
Organic,越南,2025-07-01,iOS,整体,7350.0
Organic,斯洛文尼亚,2025-07-01,整体,整体,3565.0
Organic,波黑,2026-07-01,整体,整体,14201.0
Organic,尼日尔,2026-07-01,Android,整体,218.0
non-Organic,南苏丹,2026-01-01,Android,整体,966.0
Organic,摩纳哥,2026-01-01,Android,整体,11.0
non-Organic,南苏丹,2026-06-01,整体,整体,812.0
整体,海地,2025-09-01,Android,整体,3592.0
整体,格林纳达,2025-09-01,整体,整体,219.0
non-Organic,澳门,2025-09-01,iOS,整体,11.0
整体,爱沙尼亚,2025-09-01,iOS,整体,2339.0
Organic,塞内加尔,2025-06-01,Android,整体,2531.0
Organic,斯洛文尼亚,2025-06-01,Android,整体,833.0
Organic,哥伦比亚,2026-03-01,Android,整体,18994.0
Organic,库拉索,2026-03-01,iOS,整体,548.0
整体,荷兰加勒比,2026-03-01,iOS,整体,74.0
non-Organic,尼日尔,2026-05-01,iOS,整体,27.0
Organic,拉脱维亚,2026-05-01,整体,整体,9914.0
整体,瑞士,2026-05-01,iOS,整体,14858.0
Organic,爱沙尼亚,2026-05-01,整体,整体,6535.0
Organic,拉脱维亚,2025-11-01,iOS,整体,4969.0
整体,斯洛文尼亚,2025-11-01,iOS,整体,2459.0
整体,福克兰群岛,2025-11-01,Android,整体,1.0
整体,利比亚,2025-11-01,Android,整体,1553.0
Organic,摩纳哥,2026-02-01,整体,整体,118.0
整体,库拉索,2025-10-01,Android,整体,122.0
整体,尼日尔,2026-04-01,整体,整体,437.0
整体,摩纳哥,2026-04-01,Android,整体,14.0
Organic,荷兰加勒比,2026-04-01,iOS,整体,83.0
non-Organic,摩纳哥,2026-04-01,整体,整体,20.0
non-Organic,荷兰加勒比,2025-12-01,整体,整体,5.0
Organic,圣文森特和格林纳丁斯,2025-12-01,iOS,整体,119.0
整体,荷兰加勒比,2025-12-01,Android,整体,8.0
non-Organic,利比亚,2025-07-01,iOS,整体,58.0
Organic,澳门,2025-07-01,iOS,整体,154.0
整体,越南,2025-07-01,整体,整体,11504.0
non-Organic,摩纳哥,2025-07-01,整体,整体,40.0
整体,马约特,2025-07-01,iOS,整体,13.0
整体,利比亚,2025-07-01,iOS,整体,665.0
non-Organic,库拉索,2026-07-01,iOS,整体,49.0
Organic,斯洛文尼亚,2026-07-01,iOS,整体,2661.0
Organic,立陶宛,2026-07-01,Android,整体,1655.0
整体,格林纳达,2026-01-01,Android,整体,55.0
non-Organic,澳门,2026-01-01,Android,整体,3.0
整体,福克兰群岛,2026-01-01,整体,整体,8.0
整体,摩纳哥,2026-06-01,iOS,整体,451.0
Organic,澳门,2026-06-01,Android,整体,25.0
整体,爱沙尼亚,2026-06-01,iOS,整体,7331.0
non-Organic,格林纳达,2025-09-01,Android,整体,9.0
整体,摩纳哥,2025-09-01,整体,整体,306.0
Organic,萨尔瓦多,2025-08-01,Android,整体,1979.0
non-Organic,马恩岛,2025-08-01,整体,整体,40.0
Organic,立陶宛,2025-06-01,整体,整体,6483.0
non-Organic,尼日尔,2025-06-01,Android,整体,21.0
non-Organic,立陶宛,2025-06-01,Android,整体,194.0
Organic,阿根廷,2025-06-01,iOS,整体,20801.0
Organic,利比亚,2026-03-01,Android,整体,651.0
Organic,波黑,2026-05-01,Android,整体,3864.0
整体,圣文森特和格林纳丁斯,2026-05-01,整体,整体,145.0
non-Organic,荷兰加勒比,2025-11-01,Android,整体,1.0
整体,福克兰群岛,2025-11-01,iOS,整体,1.0
Organic,南苏丹,2026-02-01,iOS,整体,504.0
Organic,安圭拉,2026-02-01,整体,整体,70.0
整体,萨尔瓦多,2025-10-01,iOS,整体,2208.0
Organic,塞内加尔,2025-10-01,iOS,整体,1304.0
Organic,塞内加尔,2025-10-01,Android,整体,2252.0
Organic,新西兰,2025-10-01,iOS,整体,9310.0
non-Organic,爱沙尼亚,2025-12-01,Android,整体,47.0
整体,南苏丹,2025-12-01,Android,整体,7019.0
non-Organic,波黑,2025-12-01,整体,整体,168.0
Organic,立陶宛,2025-12-01,整体,整体,9568.0
Organic,新西兰,2025-12-01,Android,整体,1400.0
Organic,海地,2025-12-01,Android,整体,2958.0
non-Organic,瑞士,2025-12-01,Android,整体,200.0
整体,马恩岛,2025-07-01,整体,整体,417.0
non-Organic,海地,2025-07-01,整体,整体,581.0
整体,阿根廷,2025-07-01,iOS,整体,21833.0
non-Organic,乌克兰,2025-07-01,整体,整体,5828.0
整体,尼加拉瓜,2025-07-01,整体,整体,2499.0
Organic,哥伦比亚,2026-07-01,Android,整体,17460.0
non-Organic,乌克兰,2026-07-01,Android,整体,1044.0
整体,圣文森特和格林纳丁斯,2026-07-01,Android,整体,43.0
整体,萨尔瓦多,2026-07-01,iOS,整体,1726.0
整体,爱沙尼亚,2026-01-01,iOS,整体,3437.0
整体,哥伦比亚,2026-01-01,整体,整体,67306.0
Organic,法属波利尼西亚,2026-06-01,Android,整体,26.0
Organic,利比亚,2026-06-01,iOS,整体,572.0
non-Organic,乌克兰,2026-06-01,iOS,整体,918.0
整体,尼加拉瓜,2026-06-01,iOS,整体,877.0
non-Organic,瑞士,2025-09-01,iOS,整体,1131.0
Organic,斯洛文尼亚,2025-08-01,iOS,整体,2756.0
non-Organic,瑞士,2025-08-01,iOS,整体,1106.0
整体,利比亚,2025-08-01,Android,整体,2403.0
整体,摩纳哥,2025-08-01,Android,整体,27.0
non-Organic,斯洛文尼亚,2025-08-01,整体,整体,135.0
整体,立陶宛,2025-08-01,Android,整体,1616.0
non-Organic,塞内加尔,2025-06-01,iOS,整体,37.0
整体,瑞士,2025-06-01,iOS,整体,13509.0
non-Organic,安圭拉,2025-06-01,整体,整体,15.0
non-Organic,格林纳达,2026-03-01,iOS,整体,18.0
整体,库拉索,2026-03-01,Android,整体,94.0
整体,萨尔瓦多,2026-05-01,整体,整体,3465.0
non-Organic,萨尔瓦多,2026-05-01,iOS,整体,91.0
non-Organic,新西兰,2026-05-01,Android,整体,107.0
整体,哥伦比亚,2026-05-01,iOS,整体,39238.0
Organic,阿鲁巴,2025-11-01,Android,整体,85.0
non-Organic,萨尔瓦多,2025-11-01,iOS,整体,46.0
整体,荷兰加勒比,2025-11-01,iOS,整体,64.0
non-Organic,圣文森特和格林纳丁斯,2025-11-01,iOS,整体,3.0
non-Organic,乌克兰,2025-11-01,Android,整体,1144.0
整体,新西兰,2026-02-01,Android,整体,1209.0
Organic,瑞士,2026-02-01,Android,整体,2169.0
整体,波黑,2026-02-01,iOS,整体,9325.0
Organic,萨尔瓦多,2026-02-01,整体,整体,3169.0
non-Organic,爱沙尼亚,2025-10-01,整体,整体,88.0
整体,马恩岛,2025-10-01,iOS,整体,364.0
non-Organic,瑞士,2025-10-01,Android,整体,207.0
整体,塞内加尔,2025-10-01,整体,整体,3657.0
Organic,拉脱维亚,2025-10-01,Android,整体,1297.0
整体,尼加拉瓜,2026-04-01,iOS,整体,904.0
Organic,立陶宛,2026-04-01,整体,整体,8495.0
non-Organic,立陶宛,2026-04-01,Android,整体,99.0
Organic,阿根廷,2026-04-01,Android,整体,15370.0
整体,越南,2025-12-01,iOS,整体,5641.0
整体,越南,2025-07-01,Android,整体,1644.0
整体,斯洛文尼亚,2026-07-01,整体,整体,3350.0
整体,马恩岛,2026-07-01,iOS,整体,301.0
整体,马约特,2026-07-01,整体,整体,8.0
Organic,荷兰加勒比,2026-07-01,整体,整体,61.0
Organic,利比亚,2026-07-01,iOS,整体,592.0
整体,塞内加尔,2026-01-01,Android,整体,1434.0
整体,塞内加尔,2026-06-01,整体,整体,6518.0
non-Organic,拉脱维亚,2026-06-01,iOS,整体,277.0
整体,斯洛文尼亚,2025-09-01,iOS,整体,2574.0
整体,萨尔瓦多,2025-09-01,整体,整体,4101.0
non-Organic,海地,2025-09-01,Android,整体,377.0
整体,越南,2025-08-01,整体,整体,10615.0
non-Organic,新西兰,2025-08-01,iOS,整体,271.0
整体,尼日尔,2025-08-01,整体,整体,374.0
Organic,马恩岛,2025-08-01,整体,整体,372.0
Organic,越南,2025-08-01,Android,整体,1403.0
整体,尼日尔,2026-03-01,iOS,整体,143.0
Organic,瑞士,2026-05-01,整体,整体,16559.0
整体,爱沙尼亚,2026-05-01,iOS,整体,5653.0
整体,澳门,2025-11-01,Android,整体,37.0
整体,哥伦比亚,2025-11-01,Android,整体,24921.0
non-Organic,阿鲁巴,2025-11-01,整体,整体,55.0
Organic,尼日尔,2025-11-01,整体,整体,273.0
non-Organic,利比亚,2025-11-01,iOS,整体,22.0
non-Organic,库拉索,2026-02-01,iOS,整体,47.0
non-Organic,乌克兰,2026-02-01,Android,整体,1364.0
non-Organic,南苏丹,2026-02-01,iOS,整体,22.0
Organic,波黑,2026-02-01,iOS,整体,9183.0
non-Organic,新西兰,2026-04-01,iOS,整体,221.0
non-Organic,越南,2026-04-01,Android,整体,120.0
non-Organic,澳门,2026-04-01,iOS,整体,14.0
non-Organic,波黑,2026-04-01,iOS,整体,174.0
Organic,荷兰加勒比,2026-04-01,整体,整体,88.0
整体,立陶宛,2026-04-01,Android,整体,1510.0
non-Organic,海地,2025-12-01,Android,整体,121.0
non-Organic,阿根廷,2025-12-01,iOS,整体,282.0
non-Organic,南苏丹,2025-12-01,整体,整体,997.0
non-Organic,哥伦比亚,2025-12-01,整体,整体,3296.0
整体,爱沙尼亚,2025-07-01,iOS,整体,2697.0
Organic,萨尔瓦多,2025-07-01,Android,整体,1914.0
Organic,福克兰群岛,2025-07-01,iOS,整体,1.0
Organic,格林纳达,2025-07-01,iOS,整体,150.0
整体,乌克兰,2025-07-01,整体,整体,89939.0
non-Organic,马恩岛,2026-07-01,iOS,整体,37.0
整体,尼日尔,2026-07-01,整体,整体,488.0
整体,爱沙尼亚,2026-07-01,Android,整体,1312.0
整体,立陶宛,2026-07-01,iOS,整体,10267.0
non-Organic,南苏丹,2026-07-01,整体,整体,896.0
整体,塞内加尔,2026-01-01,整体,整体,2755.0
Organic,海地,2026-01-01,iOS,整体,1368.0
Organic,马恩岛,2026-01-01,Android,整体,21.0
整体,法属波利尼西亚,2026-01-01,iOS,整体,120.0
non-Organic,摩纳哥,2026-06-01,Android,整体,1.0
non-Organic,爱沙尼亚,2026-06-01,Android,整体,66.0
整体,荷兰加勒比,2026-06-01,整体,整体,73.0
整体,尼日尔,2026-06-01,Android,整体,191.0
non-Organic,乌克兰,2025-09-01,Android,整体,3590.0
non-Organic,格林纳达,2025-08-01,iOS,整体,19.0
整体,利比亚,2025-06-01,整体,整体,3618.0
Organic,乌克兰,2026-03-01,iOS,整体,47305.0
整体,立陶宛,2026-03-01,Android,整体,1848.0
Organic,新西兰,2026-05-01,整体,整体,7428.0
non-Organic,波黑,2026-05-01,iOS,整体,193.0
整体,塞内加尔,2026-05-01,整体,整体,9122.0
整体,荷兰加勒比,2025-11-01,整体,整体,68.0
Organic,斯洛文尼亚,2025-11-01,iOS,整体,2441.0
整体,南苏丹,2025-10-01,整体,整体,9650.0
Organic,格林纳达,2025-10-01,iOS,整体,193.0
整体,尼加拉瓜,2025-10-01,Android,整体,1754.0
整体,爱沙尼亚,2025-10-01,Android,整体,731.0
整体,澳门,2026-04-01,Android,整体,33.0
Organic,波黑,2026-04-01,整体,整体,13810.0
整体,福克兰群岛,2026-04-01,Android,整体,2.0
整体,澳门,2026-02-01,iOS,整体,136.0
Organic,南苏丹,2025-12-01,iOS,整体,560.0
non-Organic,斯洛文尼亚,2025-07-01,iOS,整体,69.0
整体,尼加拉瓜,2025-07-01,iOS,整体,919.0
整体,圣文森特和格林纳丁斯,2025-07-01,整体,整体,234.0
non-Organic,新西兰,2025-07-01,iOS,整体,306.0
non-Organic,福克兰群岛,2026-07-01,Android,整体,1.0
non-Organic,格林纳达,2026-07-01,整体,整体,14.0
non-Organic,安圭拉,2026-07-01,Android,整体,3.0
整体,尼日尔,2026-01-01,iOS,整体,116.0
整体,尼加拉瓜,2026-01-01,整体,整体,2237.0
整体,哥伦比亚,2026-06-01,整体,整体,56110.0
Organic,圣文森特和格林纳丁斯,2025-09-01,Android,整体,44.0
Organic,尼加拉瓜,2026-03-01,Android,整体,875.0
整体,新西兰,2026-05-01,Android,整体,1151.0
Organic,哥伦比亚,2026-05-01,Android,整体,18335.0
整体,摩纳哥,2026-05-01,iOS,整体,284.0
non-Organic,塞内加尔,2026-05-01,iOS,整体,190.0
non-Organic,圣文森特和格林纳丁斯,2025-11-01,整体,整体,7.0
non-Organic,荷兰加勒比,2025-11-01,iOS,整体,2.0
Organic,安圭拉,2025-11-01,Android,整体,7.0
non-Organic,乌克兰,2026-02-01,整体,整体,2174.0
non-Organic,荷兰加勒比,2026-02-01,整体,整体,7.0
Organic,萨尔瓦多,2025-10-01,整体,整体,4925.0
整体,安圭拉,2025-10-01,整体,整体,39.0
整体,哥伦比亚,2026-04-01,整体,整体,59372.0
non-Organic,马恩岛,2026-04-01,整体,整体,27.0
Organic,安圭拉,2026-04-01,iOS,整体,78.0
non-Organic,格林纳达,2026-04-01,Android,整体,5.0
non-Organic,荷兰加勒比,2026-04-01,Android,整体,1.0
Organic,哥伦比亚,2025-12-01,iOS,整体,42443.0
non-Organic,圣文森特和格林纳丁斯,2025-12-01,Android,整体,6.0
Organic,马恩岛,2025-12-01,Android,整体,19.0
Organic,南苏丹,2025-12-01,整体,整体,6602.0
Organic,瑞士,2025-07-01,iOS,整体,11693.0
整体,格林纳达,2025-07-01,iOS,整体,164.0
non-Organic,尼日尔,2026-07-01,iOS,整体,8.0
Organic,阿鲁巴,2026-07-01,iOS,整体,939.0
整体,库拉索,2026-01-01,Android,整体,98.0
整体,澳门,2026-01-01,iOS,整体,169.0
整体,立陶宛,2026-01-01,整体,整体,9600.0
non-Organic,澳门,2026-01-01,整体,整体,9.0
Organic,瑞士,2026-01-01,Android,整体,2436.0
整体,安圭拉,2026-06-01,整体,整体,97.0
整体,萨尔瓦多,2025-09-01,iOS,整体,1662.0
non-Organic,拉脱维亚,2025-09-01,整体,整体,600.0
non-Organic,萨尔瓦多,2025-08-01,iOS,整体,105.0
整体,阿鲁巴,2025-08-01,整体,整体,974.0
整体,尼日尔,2025-08-01,Android,整体,282.0
整体,尼日尔,2025-06-01,整体,整体,315.0
Organic,越南,2026-03-01,iOS,整体,5884.0
整体,乌克兰,2025-11-01,iOS,整体,48468.0
整体,阿鲁巴,2025-11-01,Android,整体,89.0
整体,安圭拉,2025-11-01,iOS,整体,59.0
non-Organic,尼加拉瓜,2026-02-01,iOS,整体,44.0
non-Organic,阿根廷,2026-02-01,iOS,整体,385.0
整体,库拉索,2026-02-01,Android,整体,79.0
整体,波黑,2026-04-01,iOS,整体,10362.0
Organic,荷兰加勒比,2026-04-01,Android,整体,5.0
non-Organic,安圭拉,2026-04-01,iOS,整体,13.0
整体,荷兰加勒比,2025-12-01,iOS,整体,64.0
整体,立陶宛,2025-12-01,iOS,整体,7982.0
Organic,斯洛文尼亚,2025-12-01,Android,整体,776.0
Organic,新西兰,2025-12-01,整体,整体,9922.0
Organic,圣文森特和格林纳丁斯,2025-12-01,Android,整体,50.0
non-Organic,斯洛文尼亚,2025-12-01,iOS,整体,25.0
Organic,澳门,2025-07-01,Android,整体,20.0
Organic,瑞士,2025-07-01,整体,整体,13787.0
Organic,摩纳哥,2026-07-01,Android,整体,15.0
整体,法属波利尼西亚,2026-01-01,整体,整体,140.0
non-Organic,乌克兰,2026-01-01,整体,整体,2309.0
Organic,越南,2026-06-01,整体,整体,5922.0
non-Organic,尼加拉瓜,2026-06-01,整体,整体,193.0
Organic,利比亚,2026-06-01,整体,整体,1161.0
整体,圣文森特和格林纳丁斯,2025-09-01,Android,整体,59.0
整体,格林纳达,2025-09-01,iOS,整体,161.0
non-Organic,圣文森特和格林纳丁斯,2025-08-01,整体,整体,22.0
Organic,爱沙尼亚,2025-08-01,iOS,整体,2479.0
non-Organic,阿鲁巴,2025-08-01,整体,整体,108.0
Organic,塞内加尔,2025-06-01,整体,整体,4414.0
Organic,乌克兰,2025-06-01,iOS,整体,62716.0
整体,法属波利尼西亚,2026-03-01,整体,整体,120.0
Organic,塞内加尔,2026-05-01,Android,整体,2757.0
non-Organic,拉脱维亚,2026-05-01,Android,整体,142.0
整体,马约特,2025-11-01,Android,整体,3.0
Organic,拉脱维亚,2025-11-01,Android,整体,1168.0
non-Organic,爱沙尼亚,2026-02-01,iOS,整体,73.0
整体,尼加拉瓜,2026-02-01,iOS,整体,817.0
Organic,海地,2025-10-01,Android,整体,3627.0
Organic,马约特,2025-10-01,iOS,整体,8.0
整体,马恩岛,2025-10-01,Android,整体,33.0
non-Organic,乌克兰,2026-04-01,iOS,整体,845.0
整体,尼加拉瓜,2026-04-01,Android,整体,1032.0
整体,新西兰,2026-04-01,iOS,整体,6804.0
non-Organic,越南,2025-12-01,iOS,整体,384.0
整体,尼日尔,2025-12-01,整体,整体,277.0
non-Organic,新西兰,2025-07-01,整体,整体,617.0
整体,海地,2025-07-01,iOS,整体,1178.0
整体,法属波利尼西亚,2025-07-01,Android,整体,28.0
non-Organic,法属波利尼西亚,2025-07-01,Android,整体,3.0
Organic,马约特,2026-07-01,Android,整体,1.0
non-Organic,爱沙尼亚,2026-07-01,Android,整体,90.0
non-Organic,马恩岛,2026-01-01,Android,整体,3.0
整体,圣文森特和格林纳丁斯,2026-01-01,iOS,整体,150.0
Organic,澳门,2026-01-01,整体,整体,188.0
整体,越南,2026-01-01,整体,整体,7474.0
non-Organic,安圭拉,2026-06-01,Android,整体,3.0
Organic,格林纳达,2026-06-01,Android,整体,39.0
Organic,安圭拉,2026-06-01,Android,整体,5.0
Organic,马恩岛,2025-09-01,iOS,整体,316.0
non-Organic,南苏丹,2025-08-01,Android,整体,1178.0
Organic,新西兰,2025-06-01,Android,整体,1546.0
Organic,利比亚,2025-06-01,Android,整体,1203.0
Organic,阿根廷,2025-06-01,Android,整体,21200.0
整体,爱沙尼亚,2025-06-01,iOS,整体,2397.0
non-Organic,爱沙尼亚,2025-06-01,Android,整体,103.0
Organic,萨尔瓦多,2025-06-01,iOS,整体,1652.0
整体,马恩岛,2026-05-01,Android,整体,21.0
Organic,瑞士,2025-11-01,整体,整体,13636.0
Organic,海地,2025-11-01,整体,整体,4053.0
Organic,库拉索,2025-11-01,iOS,整体,496.0
non-Organic,瑞士,2025-10-01,整体,整体,587.0
Organic,波黑,2025-10-01,Android,整体,4267.0
non-Organic,库拉索,2025-10-01,iOS,整体,27.0
non-Organic,新西兰,2026-04-01,整体,整体,348.0
整体,塞内加尔,2026-04-01,iOS,整体,2943.0
整体,越南,2026-04-01,Android,整体,1270.0
non-Organic,摩纳哥,2025-12-01,iOS,整体,8.0
non-Organic,阿根廷,2025-12-01,Android,整体,1703.0
non-Organic,哥伦比亚,2025-12-01,iOS,整体,876.0
Organic,利比亚,2025-12-01,iOS,整体,550.0
整体,南苏丹,2025-12-01,iOS,整体,580.0
non-Organic,福克兰群岛,2025-07-01,Android,整体,1.0
non-Organic,拉脱维亚,2026-07-01,iOS,整体,381.0
整体,乌克兰,2026-01-01,整体,整体,62100.0
整体,利比亚,2026-01-01,整体,整体,1969.0
non-Organic,乌克兰,2026-06-01,Android,整体,1049.0
non-Organic,海地,2026-06-01,Android,整体,77.0
整体,波黑,2026-06-01,Android,整体,3656.0
non-Organic,海地,2025-09-01,整体,整体,509.0
Organic,圣文森特和格林纳丁斯,2025-09-01,整体,整体,148.0
Organic,萨尔瓦多,2025-08-01,整体,整体,3717.0
