功能组合,使用人数,使用占比,付费人数,付费率
Face + Magic + Skin,13117,6.41%,2406,18.34%
Face + Makeup + Skin,12735,6.22%,2253,17.69%
AI Retouch + Face + Skin,12429,6.07%,2170,17.46%
AI Retouch + Face + Magic,12025,5.88%,2167,18.02%
AI Retouch + Magic + Skin,10817,5.29%,1970,18.21%
