层级,指标,数据来源,指标对应值,取数口径,本月,上月,2月前,3月前,4月前,5月前,6月前,7月前,8月前,9月前,10月前,11月前,12月前,13月前,mom,mom%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,订阅毛利（剔除退款，$）,raw_data/bookings.csv,订阅毛利（剔除退款，$）,订阅类型=整体，国家=整体，平台=整体,3946054.908,4002914.104,3593301.987,3655952.809,3339299.378,3884464.89,3923846.69,3656423.515,3685427.322,3654574.486,3967339.153,3998519.618,3435567.067,3613274.504,-56859.196,-1.420445,-56859.196,100.0,-1.420445
1.1,新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=整体，平台=整体,2028264.431,2063548.86,1841108.376,1845293.854,1569201.841,1950293.985,1783295.658,1632842.188,1508020.62,1471209.239,1789837.931,1770760.904,1711628.618,1847796.945,-35284.429,-1.709891,-35284.429,62.0558,-0.881469
1.1.不丹,不丹新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,29.327,,,20.66,,,24.5,,,7.7,,,,,,,,
1.1.东帝汶,东帝汶新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.中国,中国新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,158.905,264.049,164.664,43345.543,65287.151,21031.625,13896.347,1882.992,377.859,138.048,181.527,315.397,232.421,224.805,-105.144,-39.819882,-105.144,0.18492,-0.002627
1.1.中国内地,中国内地新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.中国台湾,中国台湾新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,266.099,283.362,308.05,188.324,308.867,241.71,484.709,619.324,147.549,220.512,297.408,563.562,263.932,354.213,-17.263,-6.092207,-17.263,0.030361,-0.000431
1.1.中国澳门,中国澳门新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,38.546,,0.0,21.693,0.0,0.0,7.7,0.0,0.0,0.0,30.8,7.7,,24.5,,,,,
1.1.中国香港,中国香港新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,470.783,347.24,204.765,449.992,353.038,515.166,419.551,300.929,543.631,556.186,555.693,415.514,380.86,355.304,123.543,35.578562,123.543,-0.217279,0.003086
1.1.中非,中非新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.丹麦,丹麦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,4235.679,4681.273,3658.688,3338.905,2751.612,4328.085,3285.559,2710.005,2536.686,2695.736,4323.302,4407.495,3579.464,3498.391,-445.594,-9.51865,-445.594,0.78368,-0.011132
1.1.乌克兰,乌克兰新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,21206.175,16657.95,12485.873,12483.498,11049.068,12497.389,9844.746,9880.565,9707.951,11183.913,14785.983,13605.817,11776.044,11590.637,4548.225,27.30363,4548.225,-7.999102,0.113623
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,890.564,538.853,349.571,403.786,364.434,469.506,311.253,431.633,326.275,264.795,418.692,343.616,293.938,294.818,351.711,65.270306,351.711,-0.618565,0.008786
1.1.乌干达,乌干达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,180.789,245.99,195.465,133.174,100.017,87.799,175.818,59.621,141.964,152.008,88.349,99.651,105.253,142.117,-65.201,-26.505549,-65.201,0.114671,-0.001629
1.1.乌拉圭,乌拉圭新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,558.466,385.948,542.738,623.918,420.986,952.663,780.953,907.108,635.68,629.929,823.294,660.45,731.785,531.044,172.518,44.699804,172.518,-0.303413,0.00431
1.1.乍得,乍得新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5.593,0.0,5.593,0.0,13.6,0.0,,,,0.0,30.8,42.7,0.0,0.0,5.593,,5.593,-0.009837,0.00014
1.1.也门,也门新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,0.0,3.392,17.417,3.995,12.054,0.85,0.0,12.75,,0.0,,35.127,0.595,0.0,,0.0,-0.0,0.0
1.1.亚美尼亚,亚美尼亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,959.131,1034.254,566.242,409.949,348.654,618.257,537.961,438.178,452.852,353.305,530.286,585.975,522.373,467.479,-75.123,-7.263496,-75.123,0.132121,-0.001877
1.1.以色列,以色列新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,13160.288,13487.771,8857.924,7455.074,7533.832,7286.521,8410.204,9286.75,10095.991,12212.776,13443.299,12289.3,8865.801,10465.132,-327.483,-2.427999,-327.483,0.575954,-0.008181
1.1.伊拉克,伊拉克新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,172.228,159.686,158.086,127.555,152.017,81.476,228.624,116.468,140.171,147.62,69.58,98.555,179.338,133.633,12.542,7.854164,12.542,-0.022058,0.000313
1.1.伊朗,伊朗新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.伯利兹,伯利兹新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,21.693,55.91,30.678,45.553,27.286,105.618,26.784,25.292,6.45,79.188,4.988,27.3,43.537,22.55,-34.217,-61.200143,-34.217,0.060178,-0.000855
1.1.佛得角,佛得角新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,36.736,25.085,48.979,17.417,0.0,36.736,11.2,23.8,44.384,2.542,0.0,0.0,11.9,27.2,11.651,46.446083,11.651,-0.020491,0.000291
1.1.俄罗斯,俄罗斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,2327.426,1906.732,3372.419,16174.296,10589.163,13305.573,11305.468,11143.547,10061.98,10805.743,12697.69,16017.822,11293.441,11025.52,420.694,22.063615,420.694,-0.739887,0.01051
1.1.保加利亚,保加利亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,3012.788,3196.805,2517.165,2465.746,1833.639,2332.647,2093.349,1766.308,1466.451,1814.55,2649.061,2338.182,2694.681,2004.17,-184.017,-5.756279,-184.017,0.323636,-0.004597
1.1.克罗地亚,克罗地亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,6505.359,6481.88,4302.82,4399.951,4335.633,4983.606,4308.246,4322.914,4305.129,5368.276,6969.823,6354.317,6044.374,5934.6,23.479,0.362225,23.479,-0.041293,0.000587
1.1.关岛,关岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,4.242,7.634,0.0,3.392,0.0,17.842,0.0,,,,,
1.1.冈比亚,冈比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,292.474,399.903,177.996,273.399,150.374,67.74,127.118,38.246,56.575,24.918,67.775,40.475,156.383,89.948,-107.429,-26.863764,-107.429,0.188939,-0.002684
1.1.冰岛,冰岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,639.189,496.724,424.452,342.562,126.942,455.177,407.969,364.998,370.924,388.414,374.18,447.005,538.507,410.859,142.465,28.680917,142.465,-0.250558,0.003559
1.1.几内亚,几内亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.几内亚比绍,几内亚比绍新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,0.0,,,0.0,0.0,,,,,,,,,,,,,
1.1.列支敦士登,列支敦士登新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.刚果共和国,刚果共和国新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,5.593,21.693,13.923,8.386,0.0,0.0,11.9,0.0,5.6,5.6,0.0,16.8,18.135,-5.593,-100.0,-5.593,0.009837,-0.00014
1.1.刚果民主共和国,刚果民主共和国新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,129.168,6.885,44.646,27.286,106.008,83.909,22.4,11.2,27.175,27.859,54.044,22.917,65.109,72.61,122.283,1776.078431,122.283,-0.215063,0.003055
1.1.利比亚,利比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,0.0,,3.995,0.0,21.693,0.0,3.995,0.0,21.7,0.0,0.85,0.85,0.0,0.0,,0.0,-0.0,0.0
1.1.利比里亚,利比里亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,182.775,176.667,137.604,101.343,62.724,86.332,124.53,56.04,70.284,106.118,170.424,136.561,120.255,138.39,6.108,3.457352,6.108,-0.010742,0.000153
1.1.加拿大,加拿大新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,91120.869,91177.176,79476.396,81322.067,68801.394,89203.458,74661.173,68403.301,62459.434,61097.827,82912.016,80845.144,80100.275,74517.914,-56.307,-0.061756,-56.307,0.099029,-0.001407
1.1.加纳,加纳新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1011.361,849.264,550.715,500.645,266.65,508.758,409.572,368.855,389.756,277.929,530.187,381.394,504.358,275.503,162.097,19.086762,162.097,-0.285085,0.004049
1.1.加蓬,加蓬新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,27.286,43.95,35.565,0.0,25.144,44.554,21.7,32.9,8.33,0.0,0.0,16.387,0.0,0.0,-16.664,-37.915813,-16.664,0.029307,-0.000416
1.1.匈牙利,匈牙利新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,3356.015,2947.328,2455.255,2205.642,1583.113,2004.725,2269.045,1621.238,2188.197,1649.046,2518.245,2476.943,1873.689,1916.074,408.687,13.866356,408.687,-0.71877,0.01021
1.1.北马其顿,北马其顿新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1193.025,1264.394,930.233,861.884,907.873,913.936,675.307,675.461,638.125,853.264,1020.522,1212.999,847.451,671.353,-71.369,-5.644522,-71.369,0.125519,-0.001783
1.1.北马里亚纳群岛,北马里亚纳群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,3.392,0.0,0.0,0.0,3.392,0.0,0.0,,,,,
1.1.南极洲,南极洲新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.南苏丹,南苏丹新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.南非,南非新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,5671.651,6248.653,6361.306,6540.851,5340.06,6933.688,6956.131,5158.051,5041.334,5215.298,5188.099,4734.741,4091.438,4932.574,-577.002,-9.234022,-577.002,1.014791,-0.014415
1.1.博茨瓦纳,博茨瓦纳新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,164.92,95.781,97.099,106.187,61.278,78.901,52.037,146.482,50.46,143.564,121.527,86.926,73.726,85.267,69.139,72.184462,69.139,-0.121597,0.001727
1.1.卡塔尔,卡塔尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,563.835,660.388,586.792,451.542,547.15,499.866,593.97,675.126,691.642,717.875,685.467,620.723,893.479,863.769,-96.553,-14.620647,-96.553,0.169811,-0.002412
1.1.卢旺达,卢旺达新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,86.401,55.864,56.471,27.286,5.593,46.123,66.86,32.614,33.6,34.875,11.9,8.4,16.8,20.367,30.537,54.66311,30.537,-0.053706,0.000763
1.1.卢森堡,卢森堡新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,500.031,508.012,826.069,405.696,395.392,360.059,307.121,475.877,413.011,293.904,704.058,456.492,589.836,287.989,-7.981,-1.571026,-7.981,0.014036,-0.000199
1.1.印度,印度新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,0.0,4.921,0.0,0.0,,,0.0,,3.366,0.0,,21.227,0.0,,-4.921,-100.0,-4.921,0.008655,-0.000123
1.1.印度尼西亚,印度尼西亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1504.327,1740.271,1431.82,1611.601,1204.497,1362.204,1118.351,1184.976,1266.748,1095.171,1313.118,1117.147,888.795,1264.264,-235.944,-13.557888,-235.944,0.414962,-0.005894
1.1.危地马拉,危地马拉新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1098.983,905.761,927.936,918.989,1017.068,1463.89,1263.596,1099.158,775.248,1008.136,1067.251,859.558,868.166,829.717,193.222,21.332559,193.222,-0.339825,0.004827
1.1.厄瓜多尔,厄瓜多尔新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,2233.751,2732.168,2341.344,2617.773,2395.258,3199.747,2491.501,2320.095,1713.146,2102.237,2452.313,2112.817,2217.053,2550.289,-498.417,-18.242546,-498.417,0.876581,-0.012451
1.1.叙利亚,叙利亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.古巴,古巴新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.吉尔吉斯斯坦,吉尔吉斯斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1596.717,1435.977,521.406,403.185,356.805,397.53,539.024,321.357,445.895,299.688,451.51,338.338,461.301,284.149,160.74,11.193773,160.74,-0.282698,0.004016
1.1.吉布提,吉布提新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,0.0,,,,,
1.1.哈萨克斯坦,哈萨克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,7906.245,5414.114,3494.288,3137.755,2573.036,2982.231,2884.354,2668.079,2463.15,2319.47,3395.658,3679.12,2782.338,2659.13,2492.131,46.030265,2492.131,-4.382987,0.062258
1.1.哥伦比亚,哥伦比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,10207.961,10356.517,9156.85,8828.603,8272.652,10927.456,8667.958,8255.597,6628.449,6401.806,7490.087,7180.739,6551.355,6395.694,-148.556,-1.43442,-148.556,0.26127,-0.003711
1.1.哥斯达黎加,哥斯达黎加新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,1084.766,1405.155,1209.664,1375.55,1270.517,1317.259,1485.82,1176.892,875.104,1031.489,1440.023,1433.704,1199.196,1132.388,-320.389,-22.800972,-320.389,0.563478,-0.008004
1.1.喀麦隆,喀麦隆新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,339.935,231.236,232.075,112.619,182.288,77.33,86.264,38.871,11.73,28.024,35.834,4.312,24.203,53.124,108.699,47.007819,108.699,-0.191172,0.002715
1.1.土库曼斯坦,土库曼斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,0.0,17.417,21.693,0.0,,,8.33,,5.6,,,,,,,,
1.1.土耳其,土耳其新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,16653.847,12339.871,8898.39,7725.852,6265.532,7772.06,6075.159,6152.568,5840.47,6706.495,7811.071,8258.985,7276.184,6680.338,4313.976,34.959652,4313.976,-7.587121,0.107771
1.1.圣卢西亚,圣卢西亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,35.846,89.107,20.763,101.375,64.195,65.339,156.892,70.381,99.185,57.663,124.156,126.395,56.316,129.496,-53.261,-59.77196,-53.261,0.093672,-0.001331
1.1.圣基茨和尼维斯,圣基茨和尼维斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,66.357,65.588,9.577,5.593,35.571,33.633,54.6,43.025,29.846,63.0,41.875,56.117,11.65,24.5,0.769,1.172471,0.769,-0.001352,1.9e-05
1.1.圣多美和普林西比,圣多美和普林西比新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣巴泰勒米岛,圣巴泰勒米岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣文森特和格林纳丁斯,圣文森特和格林纳丁斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,13.923,98.938,26.002,73.409,0.0,8.33,35.7,0.0,30.8,24.5,0.0,8.33,33.248,43.45,-85.015,-85.927551,-85.015,0.149518,-0.002124
1.1.圣皮埃尔和密克隆群岛,圣皮埃尔和密克隆群岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣诞岛,圣诞岛新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圣马力诺,圣马力诺新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.圭亚那,圭亚那新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,91.308,167.93,129.857,93.065,99.007,142.044,57.05,11.2,65.8,65.1,21.7,53.548,71.05,101.14,-76.622,-45.627345,-76.622,0.134757,-0.001914
1.1.坦桑尼亚,坦桑尼亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,272.857,289.609,200.102,171.435,138.809,182.488,211.79,128.483,160.074,108.273,78.274,134.474,117.286,121.245,-16.752,-5.784351,-16.752,0.029462,-0.000418
1.1.埃及,埃及新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,650.558,729.218,645.952,464.549,626.116,497.858,370.799,505.766,509.204,649.668,585.267,546.299,544.342,507.421,-78.66,-10.786898,-78.66,0.138342,-0.001965
1.1.埃塞俄比亚,埃塞俄比亚新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.基里巴斯,基里巴斯新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,,,,,,,,,,,,,,,,,,,
1.1.塔吉克斯坦,塔吉克斯坦新增毛利,raw_data/bookings.csv,新增毛利,订阅类型=整体，国家=x（非整体），平台=整体,343.821,236.665,163.917,97.388,66.843,106.475,40.928,49.968,57.39,27.915,57.972,96.782,41.222,30.088,107.156,45.277502,107.156,-0.188459,0.002677
