月份,西班牙_iOS_新增月,西班牙_iOS_新增季,西班牙_iOS_新增年,西班牙_iOS_新增周,西班牙_iOS_续费月,西班牙_iOS_续费季,西班牙_iOS_续费年,西班牙_iOS_续费周,西班牙_Android_新增月,西班牙_Android_新增季,西班牙_Android_新增年,西班牙_Android_新增周,西班牙_Android_续费月,西班牙_Android_续费季,西班牙_Android_续费年,西班牙_Android_续费周,其他_iOS_新增月,其他_iOS_新增季,其他_iOS_新增年,其他_iOS_新增周,其他_iOS_续费月,其他_iOS_续费季,其他_iOS_续费年,其他_iOS_续费周,其他_Android_新增月,其他_Android_新增季,其他_Android_新增年,其他_Android_新增周,其他_Android_续费月,其他_Android_续费季,其他_Android_续费年,其他_Android_续费周,墨西哥_iOS_新增月,墨西哥_iOS_新增季,墨西哥_iOS_新增年,墨西哥_iOS_新增周,墨西哥_iOS_续费月,墨西哥_iOS_续费季,墨西哥_iOS_续费年,墨西哥_iOS_续费周,墨西哥_Android_新增月,墨西哥_Android_新增季,墨西哥_Android_新增年,墨西哥_Android_新增周,墨西哥_Android_续费月,墨西哥_Android_续费季,墨西哥_Android_续费年,墨西哥_Android_续费周,美国_iOS_新增月,美国_iOS_新增季,美国_iOS_新增年,美国_iOS_新增周,美国_iOS_续费月,美国_iOS_续费季,美国_iOS_续费年,美国_iOS_续费周,美国_Android_新增月,美国_Android_新增季,美国_Android_新增年,美国_Android_新增周,美国_Android_续费月,美国_Android_续费季,美国_Android_续费年,美国_Android_续费周,巴西_iOS_新增月,巴西_iOS_新增季,巴西_iOS_新增年,巴西_iOS_新增周,巴西_iOS_续费月,巴西_iOS_续费季,巴西_iOS_续费年,巴西_iOS_续费周,巴西_Android_新增月,巴西_Android_新增季,巴西_Android_新增年,巴西_Android_新增周,巴西_Android_续费月,巴西_Android_续费季,巴西_Android_续费年,巴西_Android_续费周,加拿大_iOS_新增月,加拿大_iOS_新增季,加拿大_iOS_新增年,加拿大_iOS_新增周,加拿大_iOS_续费月,加拿大_iOS_续费季,加拿大_iOS_续费年,加拿大_iOS_续费周,加拿大_Android_新增月,加拿大_Android_新增季,加拿大_Android_新增年,加拿大_Android_新增周,加拿大_Android_续费月,加拿大_Android_续费季,加拿大_Android_续费年,加拿大_Android_续费周,英国_iOS_新增月,英国_iOS_新增季,英国_iOS_新增年,英国_iOS_新增周,英国_iOS_续费月,英国_iOS_续费季,英国_iOS_续费年,英国_iOS_续费周,英国_Android_新增月,英国_Android_新增季,英国_Android_新增年,英国_Android_新增周,英国_Android_续费月,英国_Android_续费季,英国_Android_续费年,英国_Android_续费周,澳大利亚_iOS_新增月,澳大利亚_iOS_新增季,澳大利亚_iOS_新增年,澳大利亚_iOS_新增周,澳大利亚_iOS_续费月,澳大利亚_iOS_续费季,澳大利亚_iOS_续费年,澳大利亚_iOS_续费周,澳大利亚_Android_新增月,澳大利亚_Android_新增季,澳大利亚_Android_新增年,澳大利亚_Android_新增周,澳大利亚_Android_续费月,澳大利亚_Android_续费季,澳大利亚_Android_续费年,澳大利亚_Android_续费周
202101,4.6759375,,18.1278,,4.352894736842106,,16.728571428571428,,3.3514,7.2700000000000005,17.448875,,3.3506666666666667,7.766249999999999,19.01,,4.8537904703726324,,19.004355086794114,,4.576010269882971,,18.140955937266618,,3.2898495575221243,7.55030612244898,17.757517466231953,,3.3033417828474865,7.614808743169399,17.435526315789474,,4.8762393162393165,,18.811242603550294,,4.560075075075075,,17.758921568627454,,2.7561809045226133,6.365428571428571,13.158342857142857,,2.7602333333333333,6.341052631578948,14.793333333333335,,5.722858435097241,,22.030414155736736,,5.297745075584059,,21.03968998960859,,3.5430966292134833,7.950362694300519,18.06623502567028,,3.549763157894737,7.947612687813021,17.770350877192982,,4.928396101019052,,18.939264214046823,,4.704610791685095,,18.270809061488674,,2.3954572940287227,5.425033333333333,11.913538461538462,,2.3999935732647812,5.4151945080091535,13.377,,5.713846153846154,,22.017040540540542,,5.308952051408799,,21.174296296296298,,3.3914166666666667,8.099666666666668,18.169483282674772,,3.390824175824176,8.127333333333333,18.525,,4.75804897314376,,18.313725265271007,,4.430487170792358,,17.29918048780488,,3.421357048748353,8.12653846153846,18.220611353711792,,3.4315649978965084,8.4,18.655,,5.196817375886525,,19.830208728652753,,4.884621274268526,,19.077769423558898,,3.570588235294118,8.362333333333334,18.59375,,3.5732590051457978,8.353243243243243,17.673333333333336,
202102,4.666219512195122,,18.952765957446807,,4.4420819112627985,,18.339411764705883,,3.3495081967213114,7.203,17.379166666666666,,3.3249411764705883,7.99,16.015,,4.840183963901423,,19.309791666666666,,4.652736388014457,,19.019866539561487,,3.2808861386138615,7.589208633093526,17.781512605042018,,3.29833937326796,7.726040955631399,17.38939393939394,,4.92,,19.046303501945523,,4.645957767722473,,18.579891304347825,,2.709214285714286,6.487777777777778,13.150748299319728,,2.7180067567567567,6.2755882352941175,14.1,,5.737944222169923,,22.346412234402493,,5.375781236131246,,22.22745594028613,,3.545351913084554,7.9045367412140575,17.98608551541266,,3.5509055787358985,7.936118299445471,17.590434782608696,,4.936219709208401,,19.19571928460342,,4.779115834218916,,19.327277108433734,,2.3607329317269077,5.349456869009585,11.887615526802218,,2.3724893487522825,5.362054794520548,12.353333333333333,,5.706657101865137,,22.34851762820513,,5.401513903192585,,22.230617283950618,,3.4174,8.11107142857143,18.183409961685822,,3.392723880597015,8.263157894736842,18.726666666666667,,4.749405158069884,,18.429145325516817,,4.500061477786799,,18.46512168141593,,3.4755754475703324,8.383015873015873,18.65657458563536,,3.481806108897742,8.622673267326732,19.105999999999998,,5.206518771331058,,20.130007818608288,,4.969772972972973,,20.523408450704228,,3.5904907975460123,8.372916666666667,18.780590551181103,,3.5861698440207967,8.405263157894737,19.086666666666666,
202103,4.665612244897959,,17.779328859060403,,4.6919883040935675,,17.048292682926828,,3.3894117647058826,7.947500000000001,17.28515789473684,,3.3824193548387096,7.593999999999999,18.44,,4.825691362239673,,18.70197648624667,,4.908485845295056,,18.015555555555558,,3.2403508771929825,7.5006367041198505,17.447745945945947,,3.4192022086824068,7.524453125,17.398809523809526,,4.8809767441860465,,18.8827969348659,,5.050012594458439,,17.914545454545454,,2.6579881656804734,6.1866666666666665,13.112083333333334,,2.7031111111111112,6.162571428571429,15.1525,,5.695717054263566,,21.912677210475046,,5.834110832110981,,21.109858700040373,,3.545777871979652,7.905055248618785,17.82789251844046,,3.6937897209173807,7.943754385964912,17.989538461538462,,4.924672789896671,,18.98214025131739,,5.0513048347955944,,18.308337129840545,,2.2686016096579475,5.1396126760563385,11.568528138528139,,2.366848520023215,5.138802816901409,11.67,,5.703309455587393,,21.786965317919076,,5.837678268251273,,20.971342857142858,,3.4261658031088085,8.286,18.12462897526502,,3.5283778966131907,8.159705882352942,18.16,,4.731247747747748,,18.18832165498832,,4.8080351935646055,,17.50329283110571,,3.4843501326259942,8.630535714285715,18.60458947368421,,3.7045299469294917,8.524335664335664,19.150833333333335,,5.166845637583893,,19.706678726483357,,5.2240644692195835,,19.090057636887607,,3.5687407407407403,8.324347826086957,18.3923487544484,,3.6178762541806018,8.306923076923077,19.091666666666665,
202104,4.619545454545454,,18.682087912087912,,4.522653631284916,,17.544594594594592,,3.3240000000000003,7.143333333333334,17.577966101694912,,3.2903783783783784,7.4655555555555555,18.47,,4.814848484848485,,19.480046114825917,,4.736362395162864,,18.318523206751053,,3.235473948524796,7.541538461538462,17.680913705583755,,3.247083495145631,7.4974535809018565,17.98111111111111,,4.85765,,19.578034188034188,,4.781832718327183,,18.42553571428571,,2.7621666666666664,6.038571428571428,13.290422535211267,,2.7557371794871792,6.307894736842105,14.66,,5.672339212166015,,22.785800828933173,,5.508518269392462,,21.427152442860137,,3.543349106203996,7.915068965517241,18.180552845528453,,3.5537180363735814,7.97820895522388,17.82913043478261,,4.910559903672486,,19.68512594962015,,4.8439821156773215,,18.642175324675325,,2.29903078677309,5.217971360381862,11.771889168765743,,2.3005091137649276,5.2076975945017185,12.804444444444444,,5.659838945827233,,22.75494313874147,,5.5318129848917925,,21.452852233676975,,3.512137931034483,8.271739130434783,18.717671957671957,,3.4804659498207884,8.414242424242424,18.89,,4.718516411378555,,18.905753551575046,,4.5975613844788485,,17.842352941176472,,3.4661561561561562,8.241764705882353,18.845852660300135,,3.4695278310940503,8.459999999999999,19.04576923076923,,5.141482720178372,,20.58988911988912,,5.060142348754448,,19.485954692556636,,3.5605839416058394,8.34153846153846,18.696815642458102,,3.562945454545454,8.325714285714286,19.064,
202105,4.610408163265306,,16.438097826086956,,4.55609022556391,,17.634583333333335,,3.3971014492753624,7.335263157894737,17.46688172043011,,3.338323699421965,7.941666666666666,18.364166666666666,,4.805618022328549,,17.356980570975416,,4.828358788974243,,18.63294559099437,,3.2714581373471305,7.547463235294117,16.729053010808027,,3.3134962906600722,7.6765063291139235,17.927788778877886,,4.850591397849462,,17.668464163822524,,4.914130688448075,,18.45013698630137,,2.761027397260274,6.419375,13.006932515337423,,2.77959375,6.495581395348837,14.9035,,5.677057024251694,,20.229668846910304,,5.66161992556046,,21.492638815441566,,3.547846545146249,7.938497409326425,17.283630295250322,,3.5639159350891196,7.954503937007874,17.861531165311654,,4.925448933782267,,17.9433981981982,,4.93733194009056,,18.81489898989899,,2.414763406940063,5.457913533834587,11.390924092409241,,2.4362889879057925,5.468097731239092,13.061222222222222,,5.673182552504039,,20.262540540540538,,5.690917838638046,,21.3985,,3.607175925925926,8.559583333333334,18.372887537993922,,3.614213286713287,8.704102564102564,19.39910714285714,,4.72830223880597,,16.97670832291927,,4.713538711717409,,17.937292659675883,,3.5311802030456856,8.596301369863014,18.15819387755102,,3.5472590139808684,8.647238805970149,19.690212765957448,,5.197843915343916,,17.833153935185184,,5.153499335989375,,19.578591160220995,,3.593961038961039,8.385555555555555,17.11532786885246,,3.6002836879432625,8.373888888888889,19.368399999999998,
202106,4.607830188679245,,18.574177215189874,,4.570406091370558,,18.09441860465116,,3.3322000000000003,7.716666666666666,17.930519480519482,,3.3445698924731184,7.9471428571428575,18.2625,,4.794173172462739,,19.300189916346373,,4.801096820292962,,18.60123203285421,,3.283336698637052,7.5093856655290105,17.82567842605156,,3.298395750810227,7.65394472361809,17.50238219895288,,4.881049723756906,,19.081672597864767,,4.817477578475336,,19.066865671641793,,2.7360689655172417,6.366190476190476,14.080123456790124,,2.7595975232198144,6.378125,14.391052631578948,,5.652445057861769,,22.747097075477207,,5.608898610841057,,21.729280392156863,,3.53613698630137,7.961693811074918,18.005675675675676,,3.55872604140046,7.984391447368421,17.843974522292996,,4.930185070943862,,19.55095666394113,,4.910537855429942,,18.80601750547046,,2.5281952117863717,5.736283185840708,13.169848484848485,,2.5493831352574987,5.743599290780142,13.807956989247312,,5.64136638452237,,22.712669014084508,,5.634413511507053,,21.677471590909093,,3.544,8.60375,19.192638888888887,,3.5673121869782976,8.525454545454545,19.34176470588235,,4.690493975903615,,18.93324316015985,,4.685512682137075,,18.167436170212767,,3.4938746803069054,8.62718309859155,19.296461352657005,,3.5226312130691695,8.689302325581396,19.457268292682926,,5.155099502487562,,20.564832775919733,,5.148749722899579,,19.781901840490796,,3.4745967741935484,8.18764705882353,18.68780346820809,,3.544900332225914,8.26575,18.765283018867922,
202107,4.608897637795276,,18.797512437810948,,4.6866742081447965,,17.807966101694916,,3.28109756097561,7.5425,16.820289855072463,,3.2950510204081636,7.568965517241379,17.995454545454546,,4.7908543194134525,,19.340700164744646,,4.906439580259059,,18.82339344262295,,3.2237812789620017,7.28509375,17.447641395908544,,3.2666984126984127,7.49962703962704,17.586810897435896,,4.853481012658228,,19.62444015444015,,5.049989316239317,,19.060147058823528,,2.7504371584699454,6.4350000000000005,13.545714285714284,,2.7979885057471265,6.246,14.749722222222223,,5.705587293770007,,22.92602424242424,,5.833402894982427,,22.080792537075425,,3.5440357142857146,7.918559322033898,18.249135638297872,,3.5848835516739443,7.979616477272727,17.994524475524475,,4.923259436788496,,19.770528957528956,,5.060373240550372,,18.984100227790435,,2.474078164825828,5.622125850340136,12.579007263922518,,2.510793231094659,5.631143847487002,13.266971830985916,,5.686869806094183,,22.91447963800905,,5.870266666666667,,22.226302521008403,,3.4851515151515153,8.401785714285714,18.74176029962547,,3.5116773162939294,8.415277777777778,18.965607476635512,,4.742294007490637,,19.046033668044892,,4.84175172975173,,18.407982978723407,,3.4477830188679244,8.4,18.630037735849054,,3.507260450160772,8.437659574468086,19.377023411371237,,5.198559892328398,,20.82183399209486,,5.278441641727234,,20.32087818696884,,3.437865168539326,8.025882352941176,18.002031249999998,,3.439898648648649,8.019285714285715,18.364117647058823,
202108,4.5092763157894735,,18.28987603305785,,4.6460612691466086,,17.827638888888888,,3.1748958333333337,7.115294117647059,17.0294,,3.2827354260089683,7.229655172413793,17.473076923076924,,4.655825740318907,,19.109979867123013,,4.839926734092538,,18.584074319840745,,3.1763562231759654,7.304608150470219,17.49971369078605,,3.233957055214724,7.504977168949772,17.632883435582823,,4.7408791208791214,,19.25968503937008,,4.87210355987055,,18.150392156862743,,2.717564766839378,6.442857142857143,13.735974025974027,,2.751256544502618,6.397200000000001,14.499,,5.535175470552519,,22.47482680007599,,5.686357638200911,,21.35791512915129,,3.5088109074653553,7.92330303030303,18.23404657016992,,3.5561545745058587,7.9768845618915165,17.91253829321663,,4.755737791932059,,19.476639544344998,,4.965404348506179,,18.532049808429118,,2.434200913242009,5.505473321858863,12.34934131736527,,2.4344829317269077,5.512309058614565,12.86293103448276,,5.551383647798742,,22.455261797026502,,5.7120754119138155,,21.35272407732865,,3.6107766990291266,8.495185185185186,19.694589041095888,,3.686431718061674,8.797948717948717,19.96891891891892,,4.610674587964738,,18.716398148148148,,4.744207667731629,,17.69992460589445,,3.3847865168539326,8.45225352112676,18.726360505166475,,3.4625428921568626,8.50362962962963,19.304986666666668,,5.116991774383079,,20.671978221415607,,5.2053707672524645,,19.344073226544623,,3.257465753424657,7.898695652173912,17.78017857142857,,3.377392,7.905757575757575,18.19659793814433,
202109,4.583962264150943,,18.538,,4.647194092827005,,16.80272727272727,,3.2385135135135137,7.010909090909092,17.508125,,3.2651666666666666,7.62047619047619,16.592499999999998,,4.79236690923018,,19.366725583503285,,4.842737481732175,,17.59643564356436,,3.2071994062345373,7.425058365758755,17.596349124613802,,3.2362390670553935,7.543986636971047,17.294473684210526,,4.848333333333334,,19.68080568720379,,4.895102481121899,,17.49111111111111,,2.752175732217573,6.2711538461538465,13.263533333333333,,2.7546055979643764,6.401794871794872,15.146666666666667,,5.706287649517222,,22.895696812971764,,5.699033109167014,,20.23307104372886,,3.551959367945824,7.974792332268371,18.23748760842627,,3.5524681696063545,7.9976898222940225,17.908457792207795,,4.925751146788991,,19.728306609307783,,4.952205882352941,,17.451883289124666,,2.4305560235888795,5.503604436229205,12.274488017429194,,2.435404466501241,5.507790143084261,12.839935064935064,,5.721917562724014,,22.887720530835285,,5.73308968058968,,20.105007898894154,,3.7308152173913043,8.91074074074074,20.209964157706093,,3.7297941176470593,9.02344827586207,19.806527777777777,,4.739036208732695,,18.995636301603547,,4.7464020748192395,,16.74397583081571,,3.4498486932599723,8.476739130434783,18.720168539325844,,3.4386560565870914,8.518235294117646,18.968067796610168,,5.198725617685306,,20.7086176727909,,5.228016991297141,,18.335192926045014,,3.385,7.920434782608695,17.788951612903226,,3.368554817275747,7.873243243243243,18.00661971830986,
202110,4.687176470588236,,18.235113636363636,,4.714019607843137,,17.020517241379313,,3.287090909090909,7.1345,17.012613636363636,,3.2600396825396825,7.536969696969697,17.294074074074075,,4.78838229683327,,19.15330592105263,,4.927230255839822,,17.99561669829222,,3.190538258575198,7.274064748201439,17.095076660988074,,3.2737747064942786,7.39792490118577,17.254150943396226,,4.86237037037037,,19.237476635514017,,5.022407592407593,,17.845175438596492,,2.6976878612716764,6.2888,12.787481481481482,,2.754061135371179,6.209142857142857,14.444615384615386,,5.705719499478623,,22.57060168397763,,5.857314378370225,,20.82369186687238,,3.556099417823556,7.93117166212534,18.032417456215907,,3.6072616769836805,7.957472677595629,17.830667793744716,,4.91239224137931,,19.652080433101315,,5.060443695591126,,17.948404118404117,,2.3170272727272727,5.255318761384335,11.344237995824635,,2.36618029739777,5.241819620253165,12.41993006993007,,5.674269662921349,,22.55227205882353,,5.860289940828402,,20.798534107402034,,3.8075510204081633,8.921111111111111,20.225163636363636,,3.8872987721691676,9.109545454545454,20.350749999999998,,4.756199788583509,,18.67363440860215,,4.864558702020582,,17.202853470437017,,3.422857142857143,8.278245614035088,18.06234536082474,,3.4789110340843443,8.274225352112676,18.831666666666667,,5.180728323699422,,20.230304243394716,,5.327842519685039,,18.92596638655462,,3.4196103896103898,8.0,17.60573122529644,,3.429662379421222,7.998636363636364,17.964285714285715,
