层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,整体DNU,40447.857143,49009.285714,42443.714286,42277.428571,44210.285714,45928.142857,47333.857143,42419.0,-8561.428571,-17.468993,-8561.428571,100.0,-17.468993
1.1,渠道 DNU,13768.571429,19097.571429,16449.714286,17167.571429,17285.142857,18954.142857,18273.571429,16875.0,-5329.0,-27.904072,-5329.0,62.244285,-10.87345
1.1.unknow,unknow DNU,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0
1.1.不丹,不丹 DNU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,-0.0,0.0
1.1.东帝汶,东帝汶 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,-0.0,0.0
1.1.中国,中国 DNU,1.0,1.333333,1.4,1.0,1.0,2.0,1.0,1.0,-0.333333,-25.0,-0.333333,0.003893,-0.00068
1.1.中国台湾,中国台湾 DNU,1.5,1.0,1.0,1.4,1.5,1.0,2.0,1.0,0.5,50.0,0.5,-0.00584,0.00102
1.1.中国澳门,中国澳门 DNU,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,-0.0,0.0
1.1.中国香港,中国香港 DNU,161.714286,552.857143,85.0,12.0,11.857143,13.571429,5.857143,3.428571,-391.142857,-70.749354,-391.142857,4.568663,-0.798099
1.1.中非,中非 DNU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0
1.1.丹麦,丹麦 DNU,1.666667,2.142857,2.0,1.333333,1.166667,1.75,1.4,1.8,-0.47619,-22.222222,-0.47619,0.005562,-0.000972
1.1.乌克兰,乌克兰 DNU,24.0,22.285714,25.285714,21.857143,21.285714,22.285714,25.142857,28.285714,1.714286,7.692308,1.714286,-0.020023,0.003498
1.1.乌兹别克斯坦,乌兹别克斯坦 DNU,5.285714,5.857143,5.714286,3.714286,5.714286,3.714286,6.571429,4.285714,-0.571429,-9.756098,-0.571429,0.006674,-0.001166
1.1.乌干达,乌干达 DNU,1.5,1.0,1.5,1.0,1.0,1.5,1.0,1.4,0.5,50.0,0.5,-0.00584,0.00102
1.1.乌拉圭,乌拉圭 DNU,1.2,2.8,2.4,1.333333,1.4,1.8,2.0,3.166667,-1.6,-57.142857,-1.6,0.018688,-0.003265
1.1.乍得,乍得 DNU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,-0.0,0.0
1.1.也门,也门 DNU,0.0,0.0,1.0,0.0,0.0,1.5,1.0,0.0,0.0,,0.0,-0.0,0.0
1.1.亚美尼亚,亚美尼亚 DNU,1.8,2.4,2.714286,2.666667,2.0,1.8,2.333333,2.666667,-0.6,-25.0,-0.6,0.007008,-0.001224
1.1.以色列,以色列 DNU,12.142857,19.0,3.0,2.0,3.142857,2.6,3.571429,2.166667,-6.857143,-36.090226,-6.857143,0.080093,-0.013992
1.1.伊拉克,伊拉克 DNU,9.571429,8.285714,7.285714,6.285714,6.571429,6.714286,8.285714,5.285714,1.285714,15.517241,1.285714,-0.015018,0.002623
1.1.伊朗,伊朗 DNU,986.142857,2600.714286,626.857143,108.428571,50.428571,40.428571,27.333333,1.0,-1614.571429,-62.081846,-1614.571429,18.858668,-3.294419
1.1.伯利兹,伯利兹 DNU,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0
1.1.佛得角,佛得角 DNU,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0
1.1.俄罗斯,俄罗斯 DNU,314.142857,312.714286,291.428571,277.142857,286.142857,305.428571,337.285714,306.714286,1.428571,0.45683,1.428571,-0.016686,0.002915
1.1.保加利亚,保加利亚 DNU,3.285714,5.0,4.0,2.0,3.5,2.428571,1.833333,2.5,-1.714286,-34.285714,-1.714286,0.020023,-0.003498
