层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,日均订阅毛利（剔除退款，$）,136684.466286,139307.200857,125573.207286,130205.769,128979.13,132157.568714,130155.445571,131974.666571,-2622.734571,-1.882698,-2622.734571,100.0,-1.882698
1.1,新增毛利,68291.456429,67073.118857,64702.051857,67470.585286,68773.459429,69906.667143,68766.961,66666.334714,1218.337571,1.816432,1218.337571,-46.45295,0.874569
1.1.不丹,不丹新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.327,0.0,,0.0,-0.0,0.0
1.1.东帝汶,东帝汶新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0
1.1.中国,中国新增毛利,0.747429,7.686286,13.079667,1.2408,0.0,12.3705,16.7594,4.634333,-6.938857,-90.275816,-6.938857,0.264566,-0.004981
1.1.中国内地,中国内地新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0
1.1.中国台湾,中国台湾新增毛利,8.149571,0.0,21.0292,4.889,13.177571,6.562667,20.932667,8.539857,8.149571,,8.149571,-0.310728,0.00585
1.1.中国澳门,中国澳门新增毛利,0.0,0.0,0.0,19.273,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0
1.1.中国香港,中国香港新增毛利,25.550333,19.904,13.645286,9.488,36.4225,8.788667,14.043714,9.078429,5.646333,28.367832,5.646333,-0.215284,0.004053
1.1.中非,中非新增毛利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0
1.1.丹麦,丹麦新增毛利,122.139571,181.660429,144.825286,128.712571,151.237286,140.187143,131.503571,133.187714,-59.520857,-32.7649,-59.520857,2.26942,-0.042726
1.1.乌克兰,乌克兰新增毛利,747.083429,727.561,673.244,687.266429,687.426143,789.184,659.531571,556.638571,19.522429,2.68327,19.522429,-0.744354,0.014014
1.1.乌兹别克斯坦,乌兹别克斯坦新增毛利,30.853,26.661143,24.228571,36.821286,41.401,16.569714,18.221286,25.094286,4.191857,15.722721,4.191857,-0.159828,0.003009
