层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
2.2.2.肯尼亚,肯尼亚 活跃UV,171.857143,182.571429,185.285714,180.142857,182.428571,186.428571,172.142857,173.428571,-10.714286,-5.868545,-6.009e-07,-0.084392,-0.000186
2.2.2.芬兰,芬兰 活跃UV,1546.0,1452.285714,1399.714286,1383.285714,1306.0,1209.714286,1106.714286,1007.428571,93.714286,6.452882,6.364e-07,0.089386,0.000197
2.2.2.苏丹,苏丹 活跃UV,6.714286,7.428571,5.714286,6.571429,7.428571,8.0,3.285714,4.714286,-0.714286,-9.615385,3.7e-09,0.000516,1e-06
2.2.2.苏里南,苏里南 活跃UV,23.285714,23.714286,20.142857,20.571429,22.142857,21.285714,21.571429,25.0,-0.428571,-1.807229,1.64e-08,0.002303,5e-06
2.2.2.英国,英国 活跃UV,34801.285714,34738.285714,33507.714286,31734.714286,31377.857143,37756.285714,31154.714286,30107.714286,63.0,0.181356,-3.561e-06,-0.500143,-0.001104
2.2.2.英属印度洋领地,英属印度洋领地 活跃UV,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.3e-09,0.000889,2e-06
2.2.2.英属维尔京群岛,英属维尔京群岛 活跃UV,7.0,11.285714,12.714286,6.714286,7.714286,10.285714,5.285714,11.571429,-4.285714,-37.974684,4.656e-07,0.065387,0.000144
2.2.2.荷兰,荷兰 活跃UV,7675.714286,7903.571429,8205.0,7886.428571,7421.857143,7830.428571,7470.571429,7497.571429,-227.857143,-2.882964,2.58e-06,0.362356,0.0008
2.2.2.荷兰加勒比,荷兰加勒比 活跃UV,5.285714,4.571429,5.0,4.285714,2.571429,5.571429,5.0,6.714286,0.714286,15.625,7.25e-08,0.010179,2.2e-05
2.2.2.荷属圣马丁,荷属圣马丁 活跃UV,23.142857,18.142857,19.142857,19.428571,23.428571,19.714286,21.285714,21.857143,5.0,27.559055,1.7652e-06,0.247915,0.000547
2.2.2.荷属安的列斯,荷属安的列斯 活跃UV,0.0,2.0,1.333333,1.0,0.0,0.0,1.0,1.0,-2.0,-100.0,,,
2.2.2.莫桑比克,莫桑比克 活跃UV,89.0,87.714286,78.714286,79.428571,81.857143,93.142857,78.0,82.285714,1.285714,1.465798,1.1e-09,0.000151,0.0
2.2.2.莱索托,莱索托 活跃UV,6.857143,5.857143,9.428571,7.571429,8.142857,7.0,9.0,8.142857,1.0,17.073171,6.48e-08,0.009106,2e-05
2.2.2.菲律宾,菲律宾 活跃UV,3101.857143,3081.142857,3254.285714,3228.142857,3245.142857,3373.714286,3348.857143,3318.857143,20.714286,0.672292,-3.196e-07,-0.044893,-9.9e-05
2.2.2.萨尔瓦多,萨尔瓦多 活跃UV,245.142857,242.0,250.285714,226.285714,226.857143,238.714286,227.857143,254.0,3.142857,1.298701,-2.39e-08,-0.003363,-7e-06
2.2.2.萨摩亚,萨摩亚 活跃UV,2.0,1.857143,1.5,2.833333,4.285714,2.833333,3.571429,2.285714,0.142857,7.692308,-1.13e-08,-0.00159,-4e-06
2.2.2.葡萄牙,葡萄牙 活跃UV,5096.571429,4946.428571,4977.428571,5288.857143,5070.428571,5146.714286,4797.428571,4520.142857,150.142857,3.035379,2.3026e-06,0.323394,0.000714
2.2.2.蒙古,蒙古 活跃UV,45.857143,38.142857,42.714286,41.285714,37.571429,41.428571,40.0,38.142857,7.714286,20.224719,-4.365e-07,-0.061308,-0.000135
2.2.2.蒙塞拉特岛,蒙塞拉特岛 活跃UV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
