层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%,对整体变化绝对值贡献,对整体变化值贡献率,对整体变化率贡献
1,整体 新增次留,0.136161,0.142303,0.142372,0.144165,0.134085,0.138158,0.136863,0.128231,-0.006142,-4.316123,-0.006142,100.0,-4.316123
1.1,渠道 新增次留,0.101853,0.110935,0.107046,0.105954,0.095577,0.095517,0.092436,0.090674,-0.009083,-8.187281,-0.0035198688,57.308186,-2.473492
1.1.unknow,unknow 新增次留,,0.0,0.0,,,,,,,,,,
1.1.不丹,不丹 新增次留,,,,,1.0,,1.0,0.0,,,,,
1.1.东帝汶,东帝汶 新增次留,,,,,,,0.0,0.0,,,,,
1.1.中国,中国 新增次留,0.0,0.142857,0.0,0.0,0.5,1.0,0.0,0.0,-0.142857,-100.0,-4.7121e-06,0.07672,-0.003311
1.1.中国台湾,中国台湾 新增次留,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,-0.25,-50.0,-5.8902e-06,0.0959,-0.004139
1.1.中国澳门,中国澳门 新增次留,,,,0.0,,0.0,0.0,0.0,,,,,
1.1.中国香港,中国香港 新增次留,0.131266,0.127731,0.130952,0.289157,0.2,0.146341,0.333333,0.142857,0.003535,2.767578,7.0794e-06,-0.115262,0.004975
1.1.中非,中非 新增次留,,,,,,,,1.0,,,,,
1.1.丹麦,丹麦 新增次留,0.066667,0.333333,0.25,0.0,0.428571,0.142857,0.222222,0.357143,-0.266667,-80.0,-1.25656e-05,0.204585,-0.00883
1.1.乌克兰,乌克兰 新增次留,0.134615,0.124294,0.124183,0.120805,0.134615,0.142045,0.106061,0.085714,0.010322,8.304196,6.1487e-06,-0.100109,0.004321
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.04878,0.1,0.076923,0.15,0.115385,0.086957,0.033333,0.083333,-0.05122,-51.219512,-6.8959e-06,0.112274,-0.004846
1.1.乌干达,乌干达 新增次留,0.0,0.333333,0.5,0.0,0.666667,0.0,0.285714,0.125,-0.333333,-100.0,-1.17803e-05,0.191799,-0.008278
1.1.乌拉圭,乌拉圭 新增次留,0.071429,0.0,0.0,0.0,0.111111,0.0,0.105263,0.076923,0.071429,,4.039e-06,-0.06576,0.002838
1.1.乍得,乍得 新增次留,,,,,0.0,,0.0,0.0,,,,,
1.1.也门,也门 新增次留,,1.0,,,0.0,0.0,,,,,,,
1.1.亚美尼亚,亚美尼亚 新增次留,0.166667,0.157895,0.0,0.166667,0.222222,0.142857,0.0,0.333333,0.008772,5.555556,5.61e-07,-0.009133,0.000394
1.1.以色列,以色列 新增次留,0.233083,0.055556,0.25,0.0,0.0,0.16,0.153846,0.038462,0.177527,319.548872,1.25479e-05,-0.204297,0.008818
1.1.伊拉克,伊拉克 新增次留,0.12069,0.137255,0.068182,0.152174,0.148936,0.206897,0.108108,0.041667,-0.016565,-12.068966,-2.8435e-06,0.046296,-0.001998
1.1.伊朗,伊朗 新增次留,0.117056,0.123519,0.134387,0.17847,0.141343,0.189024,0.5,0.0,-0.006463,-5.232353,-9.54529e-05,1.554102,-0.067077
1.1.伯利兹,伯利兹 新增次留,0.0,,,0.0,0.0,,0.0,0.0,,,,,
1.1.佛得角,佛得角 新增次留,0.333333,1.0,0.0,,1.0,0.0,0.0,,-0.666667,-66.666667,-1.57071e-05,0.255732,-0.011038
