层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体 新增次留,0.167233,0.160996,0.157097,0.141583,0.136161,0.142303,0.142372,0.144165,0.006237,3.874276
1.1,渠道 新增次留,0.142202,0.127378,0.125889,0.105862,0.101853,0.110935,0.107046,0.105954,0.014824,11.637819
1.1.unknow,unknow 新增次留,0.0,,,,,0.0,0.0,,,
1.1.不丹,不丹 新增次留,0.0,,,,,,,,,
1.1.东帝汶,东帝汶 新增次留,,0.0,1.0,,,,,,,
1.1.中国,中国 新增次留,0.125,0.0,0.25,0.333333,0.0,0.142857,0.0,0.0,0.125,
1.1.中非,中非 新增次留,,,1.0,,,,,,,
1.1.丹麦,丹麦 新增次留,0.1,0.0,0.25,0.0,0.066667,0.333333,0.25,0.0,0.1,
1.1.乌克兰,乌克兰 新增次留,0.099099,0.109589,0.089172,0.083333,0.134615,0.124294,0.124183,0.120805,-0.01049,-9.572072
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.125,0.153846,0.1,0.0,0.04878,0.1,0.076923,0.15,-0.028846,-18.75
1.1.乌干达,乌干达 新增次留,0.0,0.666667,0.25,0.333333,0.0,0.333333,0.5,0.0,-0.666667,-100.0
1.1.乌拉圭,乌拉圭 新增次留,0.333333,0.181818,0.0,0.166667,0.071429,0.0,0.0,0.0,0.151515,83.333333
1.1.乍得,乍得 新增次留,0.0,0.0,0.333333,,,,,,0.0,
1.1.也门,也门 新增次留,0.0,,,,,1.0,,,,
1.1.亚美尼亚,亚美尼亚 新增次留,0.153846,0.0,0.0,0.222222,0.166667,0.157895,0.0,0.166667,0.153846,
1.1.以色列,以色列 新增次留,0.125,0.076923,0.142857,0.176471,0.233083,0.055556,0.25,0.0,0.048077,62.5
1.1.伊拉克,伊拉克 新增次留,0.085714,0.157895,0.066667,0.119403,0.12069,0.137255,0.068182,0.152174,-0.07218,-45.714286
1.1.伊朗,伊朗 新增次留,0.11194,0.134409,0.13748,0.105027,0.117056,0.123519,0.134387,0.17847,-0.022468,-16.716418
1.1.伯利兹,伯利兹 新增次留,0.333333,0.333333,0.0,0.0,0.0,,,0.0,0.0,0.0
1.1.佛得角,佛得角 新增次留,0.0,0.0,0.0,0.25,0.333333,1.0,0.0,,0.0,
1.1.俄罗斯,俄罗斯 新增次留,0.129583,0.120073,0.114549,0.103229,0.121517,0.10098,0.115464,0.103844,0.00951,7.920226
1.1.保加利亚,保加利亚 新增次留,0.052632,0.166667,0.235294,0.086957,0.057143,0.142857,0.333333,0.095238,-0.114035,-68.421053
1.1.克罗地亚,克罗地亚 新增次留,0.24,0.225806,0.294118,0.533333,0.285714,0.192308,0.473684,0.25,0.014194,6.285714
1.1.关岛,关岛 新增次留,,0.0,0.0,0.0,,0.0,0.0,,,
1.1.冈比亚,冈比亚 新增次留,0.2,0.230769,0.210526,0.153846,0.307692,0.166667,0.1,0.066667,-0.030769,-13.333333
1.1.冰岛,冰岛 新增次留,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,
1.1.几内亚,几内亚 新增次留,0.0,0.0,,0.0,0.0,0.333333,0.0,0.0,0.0,
1.1.几内亚比绍,几内亚比绍 新增次留,0.0,,,,1.0,,,,,
1.1.列支敦士登,列支敦士登 新增次留,,0.0,,0.0,,,,,,
1.1.刚果共和国,刚果共和国 新增次留,,0.0,0.0,0.0,,0.0,,,,
1.1.刚果民主共和国,刚果民主共和国 新增次留,0.0,0.25,0.0,0.25,0.2,1.0,0.5,0.333333,-0.25,-100.0
1.1.利比亚,利比亚 新增次留,0.0,0.5,,0.25,0.5,0.333333,0.5,0.2,-0.5,-100.0
1.1.利比里亚,利比里亚 新增次留,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,-0.25,-100.0
1.1.加拿大,加拿大 新增次留,0.099469,0.084211,0.082148,0.106908,0.079893,0.105488,0.086106,0.081408,0.015259,18.120027
1.1.加纳,加纳 新增次留,0.113208,0.282609,0.222222,0.184211,0.205882,0.2,0.184211,0.257143,-0.169401,-59.941945
1.1.加蓬,加蓬 新增次留,0.0,,0.5,,,,,0.0,,
1.1.匈牙利,匈牙利 新增次留,0.0,0.0,0.153846,0.2,0.0,0.0,0.111111,0.0,0.0,
