层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
3.Pecs,Pecs保存率,3e-06,3e-06,4e-06,5e-06,4e-06,4e-06,3e-06,4e-06,-0.0,-9.007057
3.Pecsarm,Pecsarm保存率,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,
3.Pecsbreast,Pecsbreast保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,
3.Pecscollarbone,Pecscollarbone保存率,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,
3.Plump,Plump保存率,0.006142,0.006392,0.006476,0.006518,0.006525,0.006614,0.00664,0.006216,-0.00025,-3.905228
3.Plumping,Plumping保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Preset,Preset保存率,0.005784,0.006026,0.006173,0.006304,0.006583,0.006702,0.006687,0.006362,-0.000242,-4.023042
3.Prism,Prism保存率,0.002336,0.00233,0.002332,0.002334,0.002423,0.00262,0.00249,0.002306,6e-06,0.24532
3.Redness,Redness保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Redness Fix,Redness Fix保存率,0.002248,0.000283,2e-06,0.0,0.0,0.0,0.0,0.0,0.001965,693.738936
3.Refine,Refine保存率,0.000349,0.000325,0.000312,0.000192,3.1e-05,9e-06,9e-06,8e-06,2.4e-05,7.284216
3.Relight,Relight保存率,0.08145,0.075776,0.071388,0.064232,0.059361,0.05923,0.058616,0.050507,0.005674,7.488152
3.Rembrandt,Rembrandt保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Res,Res保存率,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,
3.Reshape,Reshape保存率,0.192824,0.193564,0.193238,0.191058,0.188391,0.191134,0.185835,0.172086,-0.000739,-0.381963
3.Resize,Resize保存率,0.033607,0.033683,0.033879,0.033718,0.033773,0.034246,0.033252,0.031018,-7.6e-05,-0.224908
3.Restore,Restore保存率,2e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,-0.0,-1.424311
3.Ret,Ret保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retch,Retch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Reto,Reto保存率,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,1e-06,0.0,
3.Retouch,Retouch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retouchch,Retouchch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retouchedit,Retouchedit保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retouchetouch,Retouchetouch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retouchouch,Retouchouch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retouchretouch,Retouchretouch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retouchuch,Retouchuch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retouetouch,Retouetouch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Retououch,Retououch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Ring Light,Ring Light保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Select Area,Select Area保存率,0.000552,0.000576,0.000567,0.000577,0.000557,0.000567,0.000592,0.000552,-2.5e-05,-4.321591
3.Selfie Reflector,Selfie Reflector保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Shimmer,Shimmer保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Shoulders,Shoulders保存率,0.0,1e-06,1e-06,1e-06,2e-06,1e-06,1e-06,2e-06,-1e-06,-100.0
3.Side Backlight,Side Backlight保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Skikin Tone,Skikin Tone保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Skin,Skin保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Skin ,Skin 保存率,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,
3.Skin E,Skin E保存率,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06,-100.0
3.Skin Tone,Skin Tone保存率,0.081264,0.081216,0.081989,0.081495,0.080705,0.080202,0.077032,0.068747,4.9e-05,0.059762
3.Skinls,Skinls保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Skinreshape,Skinreshape保存率,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,
3.Skls,Skls保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Slim,Slim保存率,1e-06,0.0,1e-06,3e-06,6e-06,3e-06,1e-06,0.0,1e-06,
3.Smooth,Smooth保存率,0.16003,0.161523,0.164326,0.166575,0.167101,0.166368,0.160078,0.144161,-0.001493,-0.924203
3.Soft Flash,Soft Flash保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Soft Glow,Soft Glow保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Soft glow,Soft glow保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Square Shoulders,Square Shoulders保存率,1e-06,0.0,1e-06,2e-06,2e-06,2e-06,1e-06,2e-06,1e-06,
3.Stains,Stains保存率,0.000218,0.000219,0.000208,0.0002,0.0002,8.6e-05,4e-06,0.0,-1e-06,-0.347962
3.Stamp,Stamp保存率,0.002553,0.002515,0.002491,0.002505,0.002467,0.002421,0.002395,0.002282,3.8e-05,1.521629
3.Stretch,Stretch保存率,0.023786,0.02385,0.024098,0.023831,0.023808,0.02446,0.023646,0.021629,-6.4e-05,-0.267592
3.Sun-kissed,Sun-kissed保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Sunlight,Sunlight保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Sunlit,Sunlit保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Sunset,Sunset保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Tan Flash,Tan Flash保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Tanned,Tanned保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Tattoo,Tattoo保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Teal Orange,Teal Orange保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Technicolor,Technicolor保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.Teeth,Teeth保存率,0.052055,0.052282,0.051627,0.052247,0.052966,0.054731,0.05532,0.051276,-0.000227,-0.433609
3.Text,Text保存率,0.002191,0.002185,0.002226,0.002199,0.002181,0.002202,0.002179,0.002042,6e-06,0.27558
3.Texture,Texture保存率,0.002362,0.002404,0.002517,0.002578,0.002565,0.002537,0.002484,0.002351,-4.2e-05,-1.759381
3.Tint,Tint保存率,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,4e-06,0.0,
3.Tummy,Tummy保存率,0.0,0.0,0.0,1e-06,1e-06,1e-06,1e-06,0.0,0.0,
3.Uch,Uch保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3.V Line,V Line保存率,6e-06,5e-06,4e-06,4e-06,3e-06,3e-06,2e-06,3e-06,1e-06,15.00497
3.V Lineabs,V Lineabs保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,
3.V Linearm,V Linearm保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,
3.V Linebreast,V Linebreast保存率,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,0.0,
3.Vertical,Vertical保存率,4.4e-05,4.3e-05,3.8e-05,2.2e-05,6e-06,2e-06,1e-06,1e-06,2e-06,3.619096
3.Volume,Volume保存率,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,
3.Waist,Waist保存率,0.0,0.0,1e-06,3e-06,4e-06,2e-06,1e-06,1e-06,0.0,
3.Whiten,Whiten保存率,7.8e-05,7.5e-05,7.9e-05,6.4e-05,3.3e-05,1.3e-05,1e-06,2e-06,3e-06,4.052116
3.Wrinkle,Wrinkle保存率,0.024115,0.024626,0.025378,0.025478,0.025082,0.025169,0.024954,0.023008,-0.000512,-2.077796
3.X100,X100保存率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
