层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体 DAU,727028.0,716672.857143,713123.285714,723184.142857,741351.714286,730721.571429,723297.0,740301.428571,10355.142857,1.444891
1.1,新用户 DAU,38060.571429,35197.857143,34350.0,40447.857143,49009.285714,42443.714286,42277.428571,44210.285714,2862.714286,8.133206
1.2,老用户 DAU,688967.428571,681475.0,678773.285714,682736.285714,692342.428571,688277.857143,681019.571429,696091.142857,7492.428571,1.099443
1.2.unknow,unknow DAU,58.285714,56.857143,58.857143,62.857143,58.571429,55.857143,49.714286,56.857143,1.428571,2.512563
1.2.unknow.1,iOS DAU,31.714286,35.0,35.857143,39.428571,37.142857,34.0,26.714286,29.285714,-3.285714,-9.387755
1.2.unknow.2,Android DAU,26.571429,21.857143,23.0,23.428571,21.428571,21.857143,23.0,27.571429,4.714286,21.568627
1.2.不丹,不丹 DAU,3.571429,3.142857,3.428571,3.166667,3.428571,4.571429,4.285714,4.714286,0.428571,13.636364
1.2.不丹.1,iOS DAU,2.2,1.714286,1.5,1.5,1.857143,2.857143,2.666667,3.6,0.485714,28.333333
1.2.不丹.2,Android DAU,2.0,2.0,2.571429,2.6,1.833333,1.714286,2.333333,2.142857,0.0,0.0
1.2.东帝汶,东帝汶 DAU,9.428571,7.571429,9.285714,7.142857,7.142857,7.857143,7.857143,8.428571,1.857143,24.528302
1.2.东帝汶.1,iOS DAU,5.0,4.571429,4.857143,4.142857,3.285714,4.0,4.142857,4.285714,0.428571,9.375
1.2.东帝汶.2,Android DAU,4.428571,3.0,4.428571,3.0,3.857143,3.857143,3.714286,4.142857,1.428571,47.619048
1.2.中国,中国 DAU,645.571429,409.0,320.0,349.0,360.714286,468.285714,348.285714,340.428571,236.571429,57.841425
1.2.中国.1,iOS DAU,168.428571,152.428571,142.285714,155.142857,159.142857,255.142857,149.428571,155.714286,16.0,10.49672
1.2.中国.2,Android DAU,477.142857,256.571429,177.714286,193.857143,201.571429,213.142857,198.857143,184.714286,220.571429,85.96882
1.2.中非,中非 DAU,3.142857,4.0,4.142857,3.166667,2.571429,2.571429,2.0,2.5,-0.857143,-21.428571
1.2.中非.1,iOS DAU,2.333333,1.571429,2.0,1.333333,3.333333,1.333333,1.25,1.666667,0.761905,48.484848
1.2.中非.2,Android DAU,1.6,2.428571,3.4,2.2,1.333333,2.333333,1.5,1.666667,-0.828571,-34.117647
