层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1.2.2.以色列,以色列 次留,0.352517,0.335554,0.342665,0.346745,0.335909,0.344208,0.345151,0.34967,0.016963,5.055352
1.2.2.伊拉克,伊拉克 次留,0.233738,0.217873,0.223529,0.219083,0.210507,0.233702,0.223211,0.213075,0.015865,7.281595
1.2.2.伊朗,伊朗 次留,0.243043,0.251005,0.243057,0.24652,0.249946,0.240497,0.244816,0.259017,-0.007961,-3.171748
1.2.2.伯利兹,伯利兹 次留,0.252459,0.305994,0.366337,0.347267,0.32716,0.352941,0.305921,0.312693,-0.053535,-17.495352
1.2.2.佛得角,佛得角 次留,0.405018,0.407625,0.425856,0.379699,0.40942,0.44702,0.428571,0.41875,-0.002607,-0.639488
1.2.2.俄罗斯,俄罗斯 次留,0.289097,0.287846,0.287675,0.281323,0.280372,0.275803,0.278551,0.287727,0.001252,0.434877
1.2.2.保加利亚,保加利亚 次留,0.33637,0.35509,0.357243,0.341587,0.335666,0.337646,0.329368,0.343253,-0.01872,-5.271901
1.2.2.克罗地亚,克罗地亚 次留,0.398964,0.391723,0.387805,0.373694,0.372252,0.380072,0.390064,0.360722,0.007241,1.848504
1.2.2.关岛,关岛 次留,0.289216,0.320755,0.357955,0.244604,0.304348,0.338235,0.320513,0.302905,-0.031539,-9.832757
1.2.2.冈比亚,冈比亚 次留,0.316877,0.345821,0.341908,0.361111,0.381868,0.379838,0.418214,0.401466,-0.028944,-8.36969
1.2.2.冰岛,冰岛 次留,0.326788,0.339463,0.300813,0.316017,0.31454,0.316147,0.363095,0.353642,-0.012674,-3.733637
1.2.2.几内亚,几内亚 次留,0.229839,0.256966,0.260116,0.244776,0.275568,0.227405,0.256131,0.279487,-0.027127,-10.556743
1.2.2.几内亚比绍,几内亚比绍 次留,0.3,0.212121,0.4,0.219512,0.347826,0.25,0.511628,0.25,0.087879,41.428571
1.2.2.列支敦士登,列支敦士登 次留,0.473684,0.529412,0.388889,0.409091,0.733333,0.428571,0.5,0.470588,-0.055728,-10.526316
1.2.2.刚果共和国,刚果共和国 次留,0.186916,0.196078,0.158416,0.234568,0.209091,0.186567,0.268456,0.231788,-0.009163,-4.672897
1.2.2.刚果民主共和国,刚果民主共和国 次留,0.288719,0.349138,0.32967,0.274809,0.293144,0.308068,0.302222,0.326797,-0.060419,-17.305196
1.2.2.利比亚,利比亚 次留,0.306494,0.332536,0.337029,0.343358,0.310777,0.373762,0.37018,0.331633,-0.026042,-7.831449
1.2.2.利比里亚,利比里亚 次留,0.315789,0.347921,0.307436,0.306017,0.290554,0.301724,0.314872,0.296566,-0.032132,-9.235353
1.2.2.加拿大,加拿大 次留,0.30259,0.307121,0.300252,0.310997,0.305531,0.296147,0.296464,0.303343,-0.004531,-1.475265
1.2.2.加纳,加纳 次留,0.238768,0.249766,0.241007,0.245147,0.240702,0.238877,0.23518,0.25526,-0.010998,-4.403282
1.2.2.加蓬,加蓬 次留,0.111111,0.230769,0.2,0.181818,0.166667,0.111111,0.333333,0.4,-0.119658,-51.851852
1.2.2.匈牙利,匈牙利 次留,0.345921,0.341756,0.348802,0.338617,0.321995,0.344707,0.317088,0.334661,0.004165,1.218706
1.2.2.北马其顿,北马其顿 次留,0.360309,0.338881,0.323749,0.316079,0.294977,0.311381,0.314186,0.328815,0.021428,6.323125
1.2.2.北马里亚纳群岛,北马里亚纳群岛 次留,0.0,0.166667,0.4,0.0,0.0,,,,-0.166667,-100.0
1.2.2.南极洲,南极洲 次留,,0.0,,0.0,,0.0,1.0,0.5,,
1.2.2.南苏丹,南苏丹 次留,0.342466,0.352941,0.386447,0.333333,0.309028,0.328685,0.33652,0.280269,-0.010475,-2.968037
1.2.2.南非,南非 次留,0.328783,0.334914,0.342349,0.345419,0.337763,0.331996,0.335152,0.333996,-0.006131,-1.830637
1.2.2.博茨瓦纳,博茨瓦纳 次留,0.341216,0.286792,0.301653,0.330769,0.301471,0.311594,0.388462,0.330579,0.054424,18.976707
1.2.2.卡塔尔,卡塔尔 次留,0.36236,0.364095,0.367332,0.35361,0.364839,0.356101,0.371906,0.347436,-0.001736,-0.476694
1.2.2.卢旺达,卢旺达 次留,0.38141,0.303226,0.286567,0.312693,0.304615,0.269504,0.297101,0.253623,0.078184,25.784233
