result.date_p,result.platform,result.install_days_type,country_type,result.hist_sub_type,target_user_uv,day_paid_user_uv,day_revenue_usd,skin_tone_paid_user_uv,skin_tone_revenue_usd
20260801,iOS,30天以上,巴西,历史未订阅过,796,9,57.86,5,35.28
20260802,iOS,30天内,以色列,历史未订阅过,1,0,0.0,0,0.0
20260803,Android,30天以上,其他,历史未订阅过,356,2,6.03,2,6.03
20260806,iOS,30天以上,以色列,历史订阅过（含试用）,2,0,0.0,0,0.0
20260722,iOS,30天以上,澳大利亚,历史未订阅过,38,3,65.0,3,65.0
20260725,iOS,新用户,其他,历史未订阅过,72,1,6.16,1,6.16
20260726,iOS,新用户,巴西,历史未订阅过,41,0,0.0,0,0.0
20260728,Android,30天内,英国,历史未订阅过,3,0,0.0,0,0.0
20260804,iOS,30天以上,加拿大,历史订阅过（含试用）,36,1,8.95,1,8.95
20260723,Android,30天以上,墨西哥,历史订阅过（含试用）,3,0,0.0,0,0.0
20260724,Android,30天以上,墨西哥,历史订阅过（含试用）,2,0,0.0,0,0.0
20260729,Android,30天以上,澳大利亚,历史订阅过（含试用）,1,0,0.0,0,0.0
20260730,iOS,30天以上,其他,历史未订阅过,1234,11,156.82,9,139.54
20260801,iOS,30天以上,澳大利亚,历史订阅过（含试用）,42,2,17.89,2,17.89
20260801,iOS,新用户,以色列,历史未订阅过,3,1,22.88,0,0.0
20260805,Android,30天以上,巴西,历史订阅过（含试用）,43,1,7.3,0,0.0
20260806,Android,30天以上,西班牙,历史未订阅过,12,0,0.0,0,0.0
20260724,Android,30天以上,德国,历史未订阅过,7,0,0.0,0,0.0
20260726,iOS,30天以上,西班牙,历史订阅过（含试用）,45,3,43.9,3,43.9
20260729,iOS,30天内,巴西,历史订阅过（含试用）,1,0,0.0,0,0.0
20260723,iOS,30天内,英国,历史订阅过（含试用）,1,0,0.0,0,0.0
20260724,Android,新用户,美国,历史未订阅过,1,0,0.0,0,0.0
20260725,Android,30天以上,其他,历史未订阅过,371,0,0.0,0,0.0
20260726,Android,30天以上,西班牙,历史订阅过（含试用）,2,0,0.0,0,0.0
20260726,iOS,30天以上,德国,历史订阅过（含试用）,27,5,68.18,5,68.18
20260728,Android,30天内,墨西哥,历史未订阅过,3,1,9.88,0,0.0
20260728,iOS,新用户,墨西哥,历史未订阅过,5,0,0.0,0,0.0
20260729,Android,30天以上,乌克兰,历史未订阅过,2,0,0.0,0,0.0
20260801,Android,新用户,其他,历史未订阅过,14,0,0.0,0,0.0
20260801,iOS,30天以上,西班牙,历史订阅过（含试用）,32,1,10.0,1,10.0
20260805,Android,30天以上,西班牙,历史订阅过（含试用）,3,0,0.0,0,0.0
20260805,iOS,30天内,巴西,历史订阅过（含试用）,1,0,0.0,0,0.0
20260722,Android,新用户,其他,历史未订阅过,23,0,0.0,0,0.0
20260725,Android,30天以上,墨西哥,历史订阅过（含试用）,3,0,0.0,0,0.0
20260726,Android,30天以上,以色列,历史未订阅过,1,0,0.0,0,0.0
20260727,iOS,新用户,其他,历史未订阅过,75,0,0.0,0,0.0
20260729,Android,30天内,墨西哥,历史未订阅过,4,0,0.0,0,0.0
20260729,iOS,30天以上,其他,历史订阅过（含试用）,323,15,128.68,8,60.05
20260730,Android,30天以上,西班牙,历史订阅过（含试用）,1,0,0.0,0,0.0
20260801,Android,30天内,巴西,历史未订阅过,20,0,0.0,0,0.0
20260801,Android,新用户,德国,历史未订阅过,3,0,0.0,0,0.0
20260802,iOS,30天内,巴西,历史订阅过（含试用）,3,0,0.0,0,0.0
20260803,iOS,30天内,德国,历史订阅过（含试用）,1,0,0.0,0,0.0
20260723,iOS,30天以上,巴西,历史订阅过（含试用）,289,6,32.8,4,26.35
20260724,Android,30天以上,英国,历史订阅过（含试用）,3,0,0.0,0,0.0
20260726,iOS,30天内,德国,历史未订阅过,7,0,0.0,0,0.0
20260729,Android,30天内,美国,历史订阅过（含试用）,1,0,0.0,0,0.0
20260730,iOS,新用户,英国,历史未订阅过,13,0,0.0,0,0.0
20260723,Android,30天内,墨西哥,历史订阅过（含试用）,1,0,0.0,0,0.0
20260724,iOS,30天以上,墨西哥,历史未订阅过,83,0,0.0,0,0.0
20260725,iOS,30天以上,澳大利亚,历史订阅过（含试用）,57,5,42.64,2,17.77
20260726,Android,新用户,其他,历史未订阅过,20,0,0.0,0,0.0
20260727,Android,30天以上,澳大利亚,历史未订阅过,2,0,0.0,0,0.0
20260805,iOS,30天内,墨西哥,历史订阅过（含试用）,1,0,0.0,0,0.0
20260724,Android,30天内,英国,历史未订阅过,1,0,0.0,0,0.0
20260727,Android,30天以上,西班牙,历史订阅过（含试用）,1,1,7.99,1,7.99
20260727,iOS,30天以上,其他,历史未订阅过,1412,12,189.85,10,165.91
20260730,iOS,30天内,巴西,历史未订阅过,69,1,5.87,1,5.87
20260801,Android,新用户,巴西,历史未订阅过,4,0,0.0,0,0.0
20260803,iOS,30天以上,巴西,历史未订阅过,1172,11,63.56,6,24.81
