层级,指标,本周,上周,2周前,3周前,4周前,5周前,6周前,7周前,wow,wow%
1,整体 新增次留,0.157097,0.141583,0.136161,0.142303,0.142372,0.144165,0.134085,0.138158,0.015514,10.957892
1.1,渠道 新增次留,0.125889,0.105862,0.101853,0.110935,0.107046,0.105954,0.095577,0.095517,0.020027,18.918223
1.1.unknow,unknow 新增次留,,,,0.0,0.0,,,,,
1.1.不丹,不丹 新增次留,,,,,,,1.0,,,
1.1.东帝汶,东帝汶 新增次留,1.0,,,,,,,,,
1.1.中国,中国 新增次留,0.25,0.333333,0.0,0.142857,0.0,0.0,0.5,1.0,-0.083333,-25.0
1.1.中非,中非 新增次留,1.0,,,,,,,,,
1.1.丹麦,丹麦 新增次留,0.25,0.0,0.066667,0.333333,0.25,0.0,0.428571,0.142857,0.25,
1.1.乌克兰,乌克兰 新增次留,0.089172,0.083333,0.134615,0.124294,0.124183,0.120805,0.134615,0.142045,0.005839,7.006369
1.1.乌兹别克斯坦,乌兹别克斯坦 新增次留,0.1,0.0,0.04878,0.1,0.076923,0.15,0.115385,0.086957,0.1,
1.1.乌干达,乌干达 新增次留,0.25,0.333333,0.0,0.333333,0.5,0.0,0.666667,0.0,-0.083333,-25.0
1.1.乌拉圭,乌拉圭 新增次留,0.0,0.166667,0.071429,0.0,0.0,0.0,0.111111,0.0,-0.166667,-100.0
1.1.乍得,乍得 新增次留,0.333333,,,,,,0.0,,,
1.1.也门,也门 新增次留,,,,1.0,,,0.0,0.0,,
1.1.亚美尼亚,亚美尼亚 新增次留,0.0,0.222222,0.166667,0.157895,0.0,0.166667,0.222222,0.142857,-0.222222,-100.0
1.1.以色列,以色列 新增次留,0.142857,0.176471,0.233083,0.055556,0.25,0.0,0.0,0.16,-0.033613,-19.047619
1.1.伊拉克,伊拉克 新增次留,0.066667,0.119403,0.12069,0.137255,0.068182,0.152174,0.148936,0.206897,-0.052736,-44.166667
1.1.伊朗,伊朗 新增次留,0.13748,0.105027,0.117056,0.123519,0.134387,0.17847,0.141343,0.189024,0.032453,30.899486
1.1.伯利兹,伯利兹 新增次留,0.0,0.0,0.0,,,0.0,0.0,,0.0,
1.1.佛得角,佛得角 新增次留,0.0,0.25,0.333333,1.0,0.0,,1.0,0.0,-0.25,-100.0
1.1.俄罗斯,俄罗斯 新增次留,0.114549,0.103229,0.121517,0.10098,0.115464,0.103844,0.106642,0.102922,0.011321,10.96658
1.1.保加利亚,保加利亚 新增次留,0.235294,0.086957,0.057143,0.142857,0.333333,0.095238,0.058824,0.454545,0.148338,170.588235
1.1.克罗地亚,克罗地亚 新增次留,0.294118,0.533333,0.285714,0.192308,0.473684,0.25,0.0,0.48,-0.239216,-44.852941
1.1.关岛,关岛 新增次留,0.0,0.0,,0.0,0.0,,,0.5,0.0,
1.1.冈比亚,冈比亚 新增次留,0.210526,0.153846,0.307692,0.166667,0.1,0.066667,0.3,0.333333,0.05668,36.842105
1.1.冰岛,冰岛 新增次留,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,
1.1.几内亚,几内亚 新增次留,,0.0,0.0,0.333333,0.0,0.0,1.0,,,
1.1.几内亚比绍,几内亚比绍 新增次留,,,1.0,,,,,,,
1.1.列支敦士登,列支敦士登 新增次留,,0.0,,,,,,,,
1.1.刚果共和国,刚果共和国 新增次留,0.0,0.0,,0.0,,,0.0,0.0,0.0,
1.1.刚果民主共和国,刚果民主共和国 新增次留,0.0,0.25,0.2,1.0,0.5,0.333333,0.25,0.0,-0.25,-100.0
1.1.利比亚,利比亚 新增次留,,0.25,0.5,0.333333,0.5,0.2,0.0,0.0,,
1.1.利比里亚,利比里亚 新增次留,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
1.1.加拿大,加拿大 新增次留,0.082148,0.106908,0.079893,0.105488,0.086106,0.081408,0.072362,0.063628,-0.024759,-23.159558
1.1.加纳,加纳 新增次留,0.222222,0.184211,0.205882,0.2,0.184211,0.257143,0.190476,0.357143,0.038012,20.634921
1.1.加蓬,加蓬 新增次留,0.5,,,,,0.0,,,,
1.1.匈牙利,匈牙利 新增次留,0.153846,0.2,0.0,0.0,0.111111,0.0,0.153846,0.111111,-0.046154,-23.076923
1.1.北马其顿,北马其顿 新增次留,0.0,0.2,0.0,0.333333,0.5,0.0,0.166667,0.428571,-0.2,-100.0
1.1.北马里亚纳群岛,北马里亚纳群岛 新增次留,,,,,,,0.0,,,
1.1.南苏丹,南苏丹 新增次留,0.34,0.280702,0.254902,0.166667,0.139535,0.348837,0.25,0.142857,0.059298,21.125
1.1.南非,南非 新增次留,0.1875,0.260274,0.163121,0.125,0.136364,0.2,0.2,0.076923,-0.072774,-27.960526
1.1.博茨瓦纳,博茨瓦纳 新增次留,,,0.0,0.0,,,,0.0,,
1.1.卡塔尔,卡塔尔 新增次留,0.428571,0.0,0.142857,0.153846,0.25,0.0,0.125,0.1,0.428571,
1.1.卢旺达,卢旺达 新增次留,0.0,0.0,0.333333,0.25,,0.0,1.0,,0.0,
1.1.卢森堡,卢森堡 新增次留,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,
1.1.印度,印度 新增次留,0.210046,0.209424,0.227488,0.192513,0.154762,0.190141,0.198795,0.190751,0.000622,0.296804
1.1.印度尼西亚,印度尼西亚 新增次留,0.166667,0.149254,0.12987,0.090909,0.104167,0.135135,0.219512,0.15625,0.017413,11.666667
1.1.危地马拉,危地马拉 新增次留,0.0,0.038462,0.117647,0.133333,0.0,0.0,0.0,0.142857,-0.038462,-100.0
1.1.厄瓜多尔,厄瓜多尔 新增次留,0.15,0.117647,0.185185,0.216216,0.08,0.055556,0.035714,0.16129,0.032353,27.5
1.1.叙利亚,叙利亚 新增次留,0.139535,0.138889,0.121951,0.137931,0.227273,0.166667,0.152174,0.117647,0.000646,0.465116
1.1.古巴,古巴 新增次留,0.0,0.0,0.5,0.142857,0.0,0.166667,0.5,0.0,0.0,
